0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,19/04/2009,Scotland,Willowmoore Park,J A R Blain (b),1.0,1/2,,6.00,2.00,1,2.00
2.0,30/08/2009,Netherlands,VRA Ground,,2.0,0/6,,18.00,2.67,,8.00
3.0,01/09/2009,Netherlands,VRA Ground,B Zuiderent (lbw),6.0,3/35,,13.50,4.78,2,10.75
,,,,D L S van Bunge (c Samiullah Shinwari),,,,,,3,
,,,,E S Szwarczynski (lbw),,,,,,4,
4.0,16/02/2010,Canada,Sharjah Cricket Stadium,,3.0,0/26,,18.00,5.75,,17.25
5.0,01/07/2010,Canada,Sportpark Westvliet,,3.0,0/13,,22.50,5.47,,20.50
6.0,03/07/2010,Ireland,Hazelaarweg,,4.0,0/18,,28.50,5.26,,25.00
7.0,05/07/2010,Kenya,VRA Ground,,7.0,0/29,,39.00,4.96,,32.25
8.0,09/07/2010,Scotland,Hazelaarweg,D R Lockhart (lbw),8.0,2/22,,34.00,4.44,5,25.17
,,,,R D Berrington (c Javed Ahmadi),,,,,,6,
9.0,10/07/2010,Netherlands,Hazelaarweg,,4.0,0/10,,38.00,4.24,,26.83
10.0,17/08/2010,Scotland,Cambusdoon New Ground,,0.5,0/7,,38.83,4.33,,28.00
11.0,07/08/2011,Canada,Maple Leaf North - West Ground,,2.0,0/9,,40.83,4.33,,29.50
12.0,09/08/2011,Canada,"Cricket, Skating & Curling Club",A S Hansra (c Shabir Noori),2.0,1/8,,36.71,4.32,7,26.43
13.0,31/03/2012,Netherlands,Sharjah Cricket Stadium,,1.0,0/10,,37.57,4.45,,27.86
14.0,03/03/2014,Sri Lanka,Shere Bangla National Stadium,,3.0,0/17,,40.14,4.53,,30.29
15.0,04/03/2015,Australia,WACA Ground,M R Marsh (c Najibullah Zadran),1.0,1/14,,35.88,4.72,8,28.25
16.0,01/10/2016,Bangladesh,Shere Bangla National Stadium,,1.0,0/9,,36.63,4.81,,29.38
