0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,16.0,1,109,2,0,2/52,54.50,48.00,6.81
Basin Reserve,6.0,0,28,0,0,0/28,,,4.67
Bellerive Oval,29.0,3,87,5,0,3/17,17.40,34.80,3.00
Brisbane Cricket Ground,37.0,2,178,4,0,1/27,44.50,55.50,4.81
Captain Roop Singh Stadium,7.0,0,38,0,0,0/38,,,5.43
Cazaly's Stadium,15.0,0,53,3,0,2/24,17.67,30.00,3.53
Darren Sammy National Cricket Stadium,10.0,1,44,1,0,1/44,44.00,60.00,4.40
Eden Gardens,8.0,0,51,1,0,1/51,51.00,48.00,6.38
Eden Park,7.0,0,33,1,0,1/33,33.00,42.00,4.71
Etihad Stadium,20.0,2,58,4,0,3/30,14.50,30.00,2.90
Gymkhana Club Ground,14.0,1,55,2,0,1/22,27.50,42.00,3.93
Kingsmead,19.0,1,85,5,0,3/43,17.00,22.80,4.47
M Chinnaswamy Stadium,9.0,0,46,0,0,0/46,,,5.11
Mangaung Oval,10.0,0,50,2,0,2/50,25.00,30.00,5.00
Marrara Cricket Ground,10.0,1,35,1,0,1/35,35.00,60.00,3.50
McLean Park,10.0,0,42,1,0,1/42,42.00,60.00,4.20
Melbourne Cricket Ground,64.0,3,252,2,0,1/33,126.00,192.00,3.94
Nahar Singh Stadium,7.0,0,29,1,0,1/29,29.00,42.00,4.14
National Cricket Stadium (Grenada),10.0,0,52,1,0,1/52,52.00,60.00,5.20
Nehru Stadium (Guwahati),7.0,0,21,1,0,1/21,21.00,42.00,3.00
Nehru Stadium (Pune),9.0,0,59,1,0,1/59,59.00,54.00,6.56
Newlands,8.0,0,34,1,0,1/34,34.00,48.00,4.25
Queen's Park Oval,10.0,0,67,2,0,2/67,33.50,30.00,6.70
Sabina Park,12.0,1,65,2,0,2/27,32.50,36.00,5.42
Senwes Park,16.0,2,57,5,0,3/13,11.40,19.20,3.56
St George's Park,25.0,4,53,8,1,7/20,6.63,18.75,2.12
SuperSport Park,26.0,2,115,1,0,1/50,115.00,156.00,4.42
Sydney Cricket Ground,47.3,4,237,14,2,5/19,16.93,20.36,4.99
WACA Ground,39.2,0,217,3,0,1/38,72.33,78.67,5.52
Wanderers Stadium,29.0,0,182,3,0,2/55,60.67,58.00,6.28
Wankhede Stadium,6.0,0,31,1,0,1/31,31.00,36.00,5.17
Overall (31),542.5,28,2463,78,3,7/20,31.58,41.76,4.54
