0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Afghanistan,1,0,0,0,0,0,0,0,,,4,1
Bangladesh,1,1,1,0,0,0,11*,11,,137.50,0,0
England,5,5,1,0,0,0,46,161,40.25,96.99,3,0
India,9,9,3,0,1,0,55*,205,34.17,99.51,8,2
New Zealand,1,1,0,0,1,0,71,71,71.00,98.61,3,0
Pakistan,6,4,1,0,1,1,55,100,33.33,90.09,8,1
South Africa,4,4,0,0,1,0,85,207,51.75,81.82,4,1
Sri Lanka,1,1,0,0,0,0,4,4,4.00,133.33,4,0
West Indies,1,1,0,0,0,0,45,45,45.00,81.82,0,0
Overall (9),29,26,6,0,4,1,85,804,40.20,91.99,34,5
