0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,24/09/1986,India,Lal Bahadur Shastri Stadium,did not bat,-,-,-,,0,,
2,02/10/1986,India,Arun Jaitley Stadium,not out,45*,43,104.65,,45,,104.65
3,05/10/1986,India,Sardar Patel Stadium,run out,6,7,85.71,,51,51.00,102.00
4,07/10/1986,India,Madhavrao Scindia Cricket Ground,did not bat,-,-,-,,51,51.00,102.00
5,09/10/1987,India,MA Chidambaram Stadium,did not bat,-,-,-,,51,51.00,102.00
6,13/10/1987,Zimbabwe,MA Chidambaram Stadium,c G A Paterson b I P Butchart,27,20,135.00,,78,39.00,111.43
7,18/10/1987,New Zealand,Nehru Stadium (Indore),did not bat,-,-,-,,78,39.00,111.43
8,22/10/1987,India,Arun Jaitley Stadium,c Kapil Dev b M M Prabhakar,15,12,125.00,,93,31.00,113.41
9,27/10/1987,New Zealand,Sector 16 Stadium,b E J Chatfield,8,10,80.00,,101,25.25,109.78
10,30/10/1987,Zimbabwe,Barabati Stadium,did not bat,-,-,-,,101,25.25,109.78
11,04/11/1987,Pakistan,Gaddafi Stadium,b Imran Khan,0,1,0.00,,101,20.20,108.60
12,08/11/1987,England,Eden Gardens,did not bat,-,-,-,,101,20.20,108.60
13,02/01/1988,Sri Lanka,WACA Ground,run out,9,12,75.00,,110,18.33,104.76
14,03/01/1988,New Zealand,WACA Ground,c sub b M C Snedden,4,22,18.18,,114,16.29,89.76
15,07/01/1988,New Zealand,Melbourne Cricket Ground,c A H Jones b E J Chatfield,38,46,82.61,,152,19.00,87.86
16,10/01/1988,Sri Lanka,Adelaide Oval,not out,3*,2,150.00,,155,19.38,88.57
17,14/01/1988,Sri Lanka,Melbourne Cricket Ground,c R S Madugalle b G F Labrooy,4,18,22.22,,159,17.67,82.38
18,17/01/1988,New Zealand,Brisbane Cricket Ground,did not bat,-,-,-,,159,17.67,82.38
19,19/01/1988,Sri Lanka,Sydney Cricket Ground,b A Ranatunga,4,16,25.00,,163,16.30,77.99
20,20/01/1988,New Zealand,Sydney Cricket Ground,c J J Crowe b V R Brown,11,18,61.11,,174,15.82,76.65
21,22/01/1988,New Zealand,Melbourne Cricket Ground,did not bat,-,-,-,,174,15.82,76.65
22,24/01/1988,New Zealand,Sydney Cricket Ground,did not bat,-,-,-,,174,15.82,76.65
23,04/02/1988,England,Melbourne Cricket Ground,did not bat,-,-,-,,174,15.82,76.65
No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,No. of Innings Played = 13,,
