0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,01/02/2013,West Indies,WACA Ground,-,0,,2/14,2,7.00,,0,,,,22 years 278 days
2.0,03/02/2013,West Indies,WACA Ground,39,39,39.00,0/40,2,27.00,1,1,,,,22 years 280 days
3.0,06/02/2013,West Indies,Manuka Oval,2,41,20.50,4/48,6,17.00,,1,,,,22 years 283 days
4.0,08/02/2013,West Indies,Sydney Cricket Ground,-,41,20.50,1/62,7,23.43,,1,,,,22 years 285 days
5.0,10/02/2013,West Indies,Melbourne Cricket Ground,31*,72,36.00,1/47,8,26.38,1,2,,,,22 years 287 days
6.0,08/06/2013,England,Edgbaston,54*,126,63.00,2/48,10,25.90,,2,,,,23 years 40 days
7.0,12/06/2013,New Zealand,Edgbaston,6,132,44.00,0/7,10,26.60,,2,,,,23 years 44 days
8.0,17/06/2013,Sri Lanka,Kennington Oval,17,149,37.25,1/60,11,29.64,,2,,,,23 years 49 days
9.0,03/09/2013,Scotland,Grange Cricket Club,-,149,37.25,2/32,13,27.54,,2,,,,23 years 127 days
10.0,08/09/2013,England,Old Trafford,18,167,33.40,1/39,14,28.36,1,3,,,,23 years 132 days
11.0,11/09/2013,England,Edgbaston,-,167,33.40,0/3,14,28.57,,3,,,,23 years 135 days
12.0,14/09/2013,England,Sophia Gardens,1,168,28.00,1/43,15,29.53,,3,,,,23 years 138 days
13.0,16/09/2013,England,The Rose Bowl,10,178,25.43,3/38,18,26.72,,3,,,,23 years 140 days
14.0,13/10/2013,India,Maharashtra Cricket Association Stadium,27,205,25.63,3/47,21,25.14,,3,,,,23 years 167 days
15.0,16/10/2013,India,Sawai Mansingh Stadium,-,205,25.63,1/60,22,26.73,,3,,,,23 years 170 days
16.0,19/10/2013,India,Punjab Cricket Association IS Bindra Stadium,64*,269,33.63,1/65,23,28.39,,3,,,,23 years 173 days
17.0,23/10/2013,India,JSCA International Stadium Complex,23*,292,36.50,,23,28.39,,3,,,,23 years 177 days
18.0,30/10/2013,India,Vidarbha Cricket Association Stadium,-,292,36.50,1/73,24,30.25,1,4,,,,23 years 184 days
19.0,02/11/2013,India,M Chinnaswamy Stadium,116,408,45.33,1/75,25,32.04,,4,,,,23 years 187 days
20.0,12/01/2014,England,Melbourne Cricket Ground,-,408,45.33,1/68,26,33.42,,4,,,,23 years 258 days
21.0,17/01/2014,England,Brisbane Cricket Ground,69*,477,53.00,2/73,28,33.64,,4,,,,23 years 263 days
22.0,19/01/2014,England,Sydney Cricket Ground,-,477,53.00,2/35,30,32.57,,4,,,,23 years 265 days
23.0,24/01/2014,England,WACA Ground,2,479,47.90,4/67,34,30.71,1,5,,,,23 years 270 days
24.0,26/01/2014,England,Adelaide Oval,27,506,46.00,2/37,36,30.03,,5,,,,23 years 272 days
25.0,25/08/2014,Zimbabwe,Harare Sports Club,5*,511,46.45,1/19,37,29.73,1,6,,,,24 years 118 days
26.0,27/08/2014,South Africa,Harare Sports Club,10*,521,47.36,0/59,37,31.32,1,7,,,,24 years 120 days
27.0,31/08/2014,Zimbabwe,Harare Sports Club,0,521,43.42,0/28,37,32.08,,7,,,,24 years 124 days
28.0,06/09/2014,South Africa,Harare Sports Club,39,560,43.08,1/54,38,32.66,1,8,,,,24 years 130 days
29.0,07/10/2014,Pakistan,Sharjah Cricket Stadium,11,571,40.79,0/20,38,33.18,1,9,,,,24 years 161 days
30.0,10/10/2014,Pakistan,Dubai International Cricket Stadium,26*,597,42.64,1/27,39,33.03,,9,,,,24 years 164 days
31.0,12/10/2014,Pakistan,Sheikh Zayed Stadium,33,630,42.00,2/52,41,32.68,1,10,,,,24 years 166 days
32.0,21/11/2014,South Africa,Melbourne Cricket Ground,34*,664,44.27,2/45,43,32.21,,10,,,,24 years 206 days
33.0,23/11/2014,South Africa,Sydney Cricket Ground,6*,670,44.67,1/51,44,32.64,,10,,,,24 years 208 days
34.0,16/01/2015,England,Sydney Cricket Ground,6*,676,45.07,3/47,47,31.55,,10,,,,24 years 262 days
35.0,18/01/2015,India,Melbourne Cricket Ground,9*,685,45.67,1/63,48,32.21,,10,,,,24 years 264 days
36.0,23/01/2015,England,Bellerive Oval,35,720,45.00,1/59,49,32.76,1,11,,,,24 years 269 days
37.0,26/01/2015,India,Sydney Cricket Ground,-,720,45.00,0/2,49,32.80,,11,,,,24 years 272 days
38.0,01/02/2015,England,WACA Ground,50*,770,48.13,1/11,50,32.36,,11,,,,24 years 278 days
39.0,04/03/2015,Afghanistan,WACA Ground,7,777,45.71,0/8,50,32.52,1,12,,,,24 years 309 days
40.0,08/03/2015,Sri Lanka,Sydney Cricket Ground,0,777,43.17,3/48,53,31.58,,12,,,,24 years 313 days
41.0,14/03/2015,Scotland,Bellerive Oval,16*,793,44.06,0/15,53,31.87,1,13,,,,24 years 319 days
42.0,20/03/2015,Pakistan,Adelaide Oval,-,793,44.06,1/31,54,31.85,3,16,,,,24 years 325 days
43.0,26/03/2015,India,Sydney Cricket Ground,21,814,42.84,3/59,57,31.21,,16,,,,24 years 331 days
44.0,29/03/2015,New Zealand,Melbourne Cricket Ground,-,814,42.84,3/36,60,30.25,,16,,,,24 years 334 days
45.0,12/01/2016,India,WACA Ground,1*,815,42.89,2/60,62,30.24,,16,,,,25 years 257 days
46.0,15/01/2016,India,Brisbane Cricket Ground,-,815,42.89,2/64,64,30.30,,16,,,,25 years 260 days
47.0,17/01/2016,India,Melbourne Cricket Ground,21*,836,44.00,1/63,65,30.80,,16,,,,25 years 262 days
48.0,20/01/2016,India,Manuka Oval,0,836,41.80,0/48,65,31.54,,16,,,,25 years 265 days
49.0,23/01/2016,India,Sydney Cricket Ground,1,837,39.86,0/54,65,32.37,,16,,,,25 years 268 days
50.0,03/02/2016,New Zealand,Eden Park,36,873,39.68,2/67,67,32.40,1,17,,,,25 years 279 days
51.0,11/06/2016,South Africa,Warner Park,1*,874,39.73,0/32,67,32.88,1,18,,,,26 years 43 days
52.0,13/06/2016,West Indies,Warner Park,4*,878,39.91,1/31,68,32.85,,18,,,,26 years 45 days
53.0,19/06/2016,South Africa,Kensington Oval,-,878,39.91,,68,32.85,,18,,,,26 years 51 days
54.0,21/06/2016,West Indies,Kensington Oval,-,878,39.91,2/56,70,32.71,,18,,,,26 years 53 days
55.0,21/08/2016,Sri Lanka,R Premadasa Stadium,5*,883,40.14,4/38,74,31.46,,18,,,,26 years 114 days
56.0,24/08/2016,Sri Lanka,R Premadasa Stadium,13,896,38.96,3/45,77,30.82,,18,,,,26 years 117 days
57.0,28/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,4,900,37.50,2/44,79,30.59,,18,,,,26 years 121 days
58.0,31/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,-,900,37.50,0/39,79,31.09,1,19,,,,26 years 124 days
59.0,04/09/2016,Sri Lanka,Pallekele International Cricket Stadium,8*,908,37.83,1/30,80,31.08,1,20,,,,26 years 128 days
60.0,06/12/2016,New Zealand,Manuka Oval,-,908,37.83,2/69,82,31.16,1,21,,,,26 years 221 days
61.0,09/12/2016,New Zealand,Melbourne Cricket Ground,13,921,36.84,2/26,84,30.73,1,22,,,,26 years 224 days
62.0,13/01/2017,Pakistan,Brisbane Cricket Ground,5,926,35.62,4/32,88,29.69,,22,,,,26 years 259 days
63.0,15/01/2017,Pakistan,Melbourne Cricket Ground,19,945,35.00,2/35,90,29.42,,22,,,,26 years 261 days
64.0,19/01/2017,Pakistan,WACA Ground,-,945,35.00,0/62,90,30.11,,22,,,,26 years 265 days
65.0,26/01/2017,Pakistan,Adelaide Oval,18*,963,35.67,1/60,91,30.44,,22,,,,26 years 272 days
66.0,30/01/2017,New Zealand,Eden Park,25,988,35.29,1/29,92,30.42,1,23,,,,26 years 276 days
67.0,05/02/2017,New Zealand,Seddon Park,0,988,34.07,3/59,95,30.08,,23,,,,26 years 282 days
68.0,17/09/2017,India,MA Chidambaram Stadium,32*,1020,35.17,1/67,96,30.47,1,24,,,,27 years 141 days
69.0,01/10/2017,India,Vidarbha Cricket Association Stadium,12,1032,34.40,0/37,96,30.85,,24,,,,27 years 155 days
