0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,06/02/2009,New Zealand,Melbourne Cricket Ground,6*,6,,,0,,,0,,,,24 years 77 days
2.0,08/02/2009,New Zealand,Sydney Cricket Ground,28,34,34.00,,0,,1,1,,,,24 years 79 days
3.0,10/02/2009,New Zealand,Adelaide Oval,13*,47,47.00,,0,,,1,,,,24 years 81 days
4.0,13/02/2009,New Zealand,Brisbane Cricket Ground,55*,102,102.00,,0,,1,2,,,,24 years 84 days
5.0,03/04/2009,South Africa,Kingsmead,25,127,63.50,,0,,,2,,,,24 years 133 days
6.0,05/04/2009,South Africa,SuperSport Park,50,177,59.00,,0,,,2,,,,24 years 135 days
7.0,09/04/2009,South Africa,Newlands,63,240,60.00,,0,,,2,,,,24 years 139 days
8.0,13/04/2009,South Africa,St George's Park,3,243,48.60,,0,,2,4,,,,24 years 143 days
9.0,17/04/2009,South Africa,Wanderers Stadium,41,284,47.33,,0,,,4,,,,24 years 147 days
10.0,22/04/2009,Pakistan,Dubai International Cricket Stadium,2,286,40.86,,0,,,4,,,,24 years 152 days
11.0,24/04/2009,Pakistan,Dubai International Cricket Stadium,10*,296,42.29,,0,,,4,,,,24 years 154 days
12.0,27/04/2009,Pakistan,Sheikh Zayed Stadium,41,337,42.13,,0,,,4,,,,24 years 157 days
13.0,01/05/2009,Pakistan,Sheikh Zayed Stadium,-,337,42.13,,0,,1,5,,,,24 years 161 days
14.0,03/05/2009,Pakistan,Sheikh Zayed Stadium,41*,378,47.25,,0,,,5,,,,24 years 163 days
15.0,04/09/2009,England,Kennington Oval,71*,449,56.13,,0,,,5,,,,24 years 287 days
16.0,06/09/2009,England,Lord's,55,504,56.00,,0,,,5,,,,24 years 289 days
17.0,09/09/2009,England,The Rose Bowl,20*,524,58.22,,0,,,5,,,,24 years 292 days
18.0,12/09/2009,England,Lord's,23*,547,60.78,,0,,1,6,,,,24 years 295 days
19.0,15/09/2009,England,Trent Bridge,17,564,56.40,,0,,,6,,,,24 years 298 days
20.0,17/09/2009,England,Trent Bridge,6,570,51.82,,0,,,6,,,,24 years 300 days
21.0,26/09/2009,West Indies,Wanderers Stadium,20,590,49.17,,0,,,6,,,,24 years 309 days
22.0,28/09/2009,India,SuperSport Park,2*,592,49.33,,0,,,6,,,,24 years 311 days
23.0,30/09/2009,Pakistan,SuperSport Park,7,599,46.08,,0,,,6,,,,24 years 313 days
24.0,02/10/2009,England,SuperSport Park,-,599,46.08,,0,,,6,,,,24 years 315 days
25.0,05/10/2009,New Zealand,SuperSport Park,-,599,46.08,,0,,,6,,,,24 years 318 days
26.0,07/11/2010,Sri Lanka,Brisbane Cricket Ground,-,599,46.08,,0,,1,7,,,,25 years 350 days
27.0,02/02/2011,England,Sydney Cricket Ground,46,645,46.07,,0,,,7,,,,26 years 72 days
28.0,06/02/2011,England,WACA Ground,15,660,44.00,,0,,,7,,,,26 years 76 days
29.0,11/04/2011,Bangladesh,Shere Bangla National Stadium,-,660,44.00,,0,,,7,,,,26 years 140 days
30.0,13/04/2011,Bangladesh,Shere Bangla National Stadium,3,663,41.44,,0,,,7,,,,26 years 142 days
