0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,16/01/1994,South Africa,WACA Ground,lbw b C R Matthews,2,12,16.67,,2,2.00,16.67
2,19/01/1994,New Zealand,Melbourne Cricket Ground,did not bat,-,-,-,,2,2.00,16.67
3,08/04/1994,South Africa,Mangaung Oval,did not bat,-,-,-,,2,2.00,16.67
4,14/04/1994,Sri Lanka,Sharjah Cricket Stadium,did not bat,-,-,-,,2,2.00,16.67
5,16/04/1994,New Zealand,Sharjah Cricket Stadium,did not bat,-,-,-,,2,2.00,16.67
6,19/04/1994,India,Sharjah Cricket Stadium,not out,2*,3,66.67,,4,4.00,26.67
7,13/09/1994,Sri Lanka,P Sara Oval,did not bat,-,-,-,,4,4.00,26.67
8,12/10/1994,South Africa,Gaddafi Stadium,did not bat,-,-,-,,4,4.00,26.67
9,14/10/1994,Pakistan,Ibn-e-Qasim Bagh Stadium,did not bat,-,-,-,,4,4.00,26.67
10,30/10/1994,Pakistan,Gaddafi Stadium,did not bat,-,-,-,,4,4.00,26.67
11,02/12/1994,Zimbabwe,WACA Ground,not out,0*,8,0.00,,4,4.00,17.39
12,08/12/1994,Zimbabwe,Bellerive Oval,did not bat,-,-,-,,4,4.00,17.39
13,10/01/1995,England,Melbourne Cricket Ground,not out,5*,12,41.67,,9,9.00,25.71
14,12/03/1995,West Indies,Queen's Park Oval,not out,5*,7,71.43,,14,14.00,33.33
15,27/02/1996,India,Wankhede Stadium,run out,0,1,0.00,,14,7.00,32.56
16,01/03/1996,Zimbabwe,Vidarbha Cricket Association Ground,did not bat,-,-,-,,14,7.00,32.56
17,04/03/1996,West Indies,Sawai Mansingh Stadium,did not bat,-,-,-,,14,7.00,32.56
18,11/03/1996,New Zealand,MA Chidambaram Stadium,did not bat,-,-,-,,14,7.00,32.56
19,14/03/1996,West Indies,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,14,7.00,32.56
20,17/03/1996,Sri Lanka,Gaddafi Stadium,did not bat,-,-,-,,14,7.00,32.56
21,26/08/1996,Zimbabwe,R Premadasa Stadium,did not bat,-,-,-,,14,7.00,32.56
22,30/08/1996,Sri Lanka,R Premadasa Stadium,c U D U Chandana b S T Jayasuriya,3,6,50.00,,17,5.67,34.69
23,06/09/1996,India,Sinhalese Sports Club Ground,did not bat,-,-,-,,17,5.67,34.69
24,07/09/1996,Sri Lanka,R Premadasa Stadium,not out,1*,1,100.00,,18,6.00,36.00
25,21/10/1996,India,M Chinnaswamy Stadium,did not bat,-,-,-,,18,6.00,36.00
26,25/10/1996,South Africa,Nahar Singh Stadium,not out,1*,1,100.00,,19,6.33,37.25
27,01/11/1996,South Africa,Nehru Stadium (Guwahati),did not bat,-,-,-,,19,6.33,37.25
28,01/04/1998,India,Nehru Stadium (Kochi),c A Kumble b J Srinath,5,7,71.43,,24,6.00,41.38
29,03/04/1998,Zimbabwe,Sardar Patel Stadium,did not bat,-,-,-,,24,6.00,41.38
30,07/04/1998,India,Green Park,not out,3*,2,150.00,,27,6.75,45.00
31,11/04/1998,Zimbabwe,Arun Jaitley Stadium,did not bat,-,-,-,,27,6.75,45.00
32,14/04/1998,India,Arun Jaitley Stadium,did not bat,-,-,-,,27,6.75,45.00
33,18/04/1998,New Zealand,Sharjah Cricket Stadium,did not bat,-,-,-,,27,6.75,45.00
34,19/04/1998,India,Sharjah Cricket Stadium,did not bat,-,-,-,,27,6.75,45.00
35,22/04/1998,India,Sharjah Cricket Stadium,did not bat,-,-,-,,27,6.75,45.00
36,24/04/1998,India,Sharjah Cricket Stadium,not out,1*,2,50.00,,28,7.00,45.16
37,28/10/1998,India,Bangabandhu National Stadium,not out,2*,4,50.00,,30,7.50,45.45
38,06/11/1998,Pakistan,National Stadium (Karachi),did not bat,-,-,-,,30,7.50,45.45
39,08/11/1998,Pakistan,Arbab Niaz Stadium,did not bat,-,-,-,,30,7.50,45.45
40,10/11/1998,Pakistan,Gaddafi Stadium,did not bat,-,-,-,,30,7.50,45.45
41,10/01/1999,England,Brisbane Cricket Ground,c A D Mullally b R D B Croft,2,7,28.57,,32,6.40,43.84
42,13/01/1999,Sri Lanka,Sydney Cricket Ground,did not bat,-,-,-,,32,6.40,43.84
43,15/01/1999,England,Melbourne Cricket Ground,did not bat,-,-,-,,32,6.40,43.84
44,17/01/1999,England,Sydney Cricket Ground,did not bat,-,-,-,,32,6.40,43.84
45,11/04/1999,West Indies,Arnos Vale Ground,run out,0,2,0.00,,32,5.33,42.67
46,14/04/1999,West Indies,National Cricket Stadium (Grenada),did not bat,-,-,-,,32,5.33,42.67
47,17/04/1999,West Indies,Queen's Park Oval,did not bat,-,-,-,,32,5.33,42.67
48,18/04/1999,West Indies,Queen's Park Oval,not out,0*,0,-,,32,5.33,42.67
49,21/04/1999,West Indies,Bourda,did not bat,-,-,-,,32,5.33,42.67
50,24/04/1999,West Indies,Kensington Oval,did not bat,-,-,-,,32,5.33,42.67
51,25/04/1999,West Indies,Kensington Oval,not out,0*,0,-,,32,5.33,42.67
52,16/05/1999,Scotland,New Road,did not bat,-,-,-,,32,5.33,42.67
53,20/05/1999,New Zealand,Sophia Gardens,not out,8*,11,72.73,,40,6.67,46.51
54,23/05/1999,Pakistan,Headingley,not out,4*,3,133.33,,44,7.33,49.44
55,27/05/1999,Bangladesh,Riverside Ground,did not bat,-,-,-,,44,7.33,49.44
56,30/05/1999,West Indies,Old Trafford,did not bat,-,-,-,,44,7.33,49.44
57,04/06/1999,India,Kennington Oval,did not bat,-,-,-,,44,7.33,49.44
58,09/06/1999,Zimbabwe,Lord's,did not bat,-,-,-,,44,7.33,49.44
59,13/06/1999,South Africa,Headingley,did not bat,-,-,-,,44,7.33,49.44
60,17/06/1999,South Africa,Edgbaston,b A A Donald,0,2,0.00,,44,6.29,48.35
61,20/06/1999,Pakistan,Lord's,did not bat,-,-,-,,44,6.29,48.35
62,22/08/1999,Sri Lanka,Galle International Stadium,not out,4*,6,66.67,,48,6.86,49.48
63,23/08/1999,India,Galle International Stadium,did not bat,-,-,-,,48,6.86,49.48
64,31/08/1999,Sri Lanka,R Premadasa Stadium,st R S Kaluwitharana b S T Jayasuriya,0,4,0.00,,48,6.00,47.52
65,21/10/1999,Zimbabwe,Queens Sports Club,did not bat,-,-,-,,48,6.00,47.52
66,23/10/1999,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,48,6.00,47.52
67,12/01/2000,India,Melbourne Cricket Ground,not out,14*,13,107.69,,62,7.75,54.39
68,14/01/2000,India,Sydney Cricket Ground,did not bat,-,-,-,,62,7.75,54.39
69,16/01/2000,Pakistan,Melbourne Cricket Ground,did not bat,-,-,-,,62,7.75,54.39
70,19/01/2000,Pakistan,Sydney Cricket Ground,b Abdul Razzaq,0,1,0.00,,62,6.89,53.91
71,23/01/2000,Pakistan,Melbourne Cricket Ground,st Moin Khan b Saqlain Mushtaq,10,14,71.43,,72,7.20,55.81
72,30/01/2000,India,WACA Ground,did not bat,-,-,-,,72,7.20,55.81
73,23/02/2000,New Zealand,Carisbrook,did not bat,-,-,-,,72,7.20,55.81
74,26/02/2000,New Zealand,AMI Stadium,did not bat,-,-,-,,72,7.20,55.81
75,01/03/2000,New Zealand,McLean Park,did not bat,-,-,-,,72,7.20,55.81
76,12/04/2000,South Africa,Kingsmead,c M Ntini b J H Kallis,29,45,64.44,,101,9.18,58.05
77,26/01/2001,West Indies,Adelaide Oval,did not bat,-,-,-,,101,9.18,58.05
78,28/01/2001,Zimbabwe,Sydney Cricket Ground,did not bat,-,-,-,,101,9.18,58.05
79,30/01/2001,Zimbabwe,Bellerive Oval,did not bat,-,-,-,,101,9.18,58.05
80,04/02/2001,Zimbabwe,WACA Ground,not out,6*,5,120.00,,107,9.73,59.78
81,07/02/2001,West Indies,Sydney Cricket Ground,c M V Nagamootoo b M N Samuels,14,12,116.67,,121,10.08,63.35
82,09/02/2001,West Indies,Melbourne Cricket Ground,did not bat,-,-,-,,121,10.08,63.35
83,25/03/2001,India,M Chinnaswamy Stadium,not out,0*,0,-,,121,10.08,63.35
