0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,20.0,1,111,0,0,0/50,,,5.55
AMI Stadium,5.0,0,29,0,0,0/29,,,5.80
Arun Jaitley Stadium,10.0,0,59,1,0,1/59,59.00,60.00,5.90
Brisbane Cricket Ground,9.0,1,42,1,0,1/42,42.00,54.00,4.67
Carisbrook,10.0,2,35,2,0,2/35,17.50,30.00,3.50
Lal Bahadur Shastri Stadium,1.0,0,1,0,0,0/1,,,1.00
Melbourne Cricket Ground,22.0,0,117,4,0,2/33,29.25,33.00,5.32
Sardar Patel Stadium,10.0,0,52,2,0,2/52,26.00,30.00,5.20
Sydney Cricket Ground,27.0,0,106,8,1,5/46,13.25,20.25,3.93
Overall (9),114.0,4,552,18,1,5/46,30.67,38.00,4.84
