0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,33.1,4,121,6,0,2/16,20.17,33.17,3.65
Arnos Vale Ground,5.0,0,14,0,0,0/14,,,2.80
Basin Reserve,10.0,1,38,1,0,1/38,38.00,60.00,3.80
Bellerive Oval,16.0,0,60,3,0,2/17,20.00,32.00,3.75
Brisbane Cricket Ground,28.0,1,140,1,0,1/39,140.00,168.00,5.00
Castle Avenue,9.0,1,14,5,1,5/14,2.80,10.80,1.56
Dr YS Rajasekhara Reddy Cricket Stadium,7.0,0,56,0,0,0/56,,,8.00
Dubai International Cricket Stadium,15.0,1,67,4,0,2/22,16.75,22.50,4.47
Eden Park,16.0,0,67,2,0,2/38,33.50,48.00,4.19
Etihad Stadium,22.0,3,79,2,0,1/16,39.50,66.00,3.59
Kennington Oval,15.0,1,70,0,0,0/14,,,4.67
Khan Shaheb Osman Ali Stadium,5.0,3,8,1,0,1/8,8.00,30.00,1.60
Kingsmead,7.0,1,24,2,0,2/24,12.00,21.00,3.43
Lord's,13.0,1,64,1,0,1/42,64.00,78.00,4.92
Marrara Cricket Ground,12.0,3,46,4,0,3/30,11.50,18.00,3.83
McLean Park,6.0,0,40,1,0,1/40,40.00,36.00,6.67
Melbourne Cricket Ground,41.0,3,163,5,0,2/30,32.60,49.20,3.98
National Cricket Stadium (Grenada),11.0,3,42,1,0,1/19,42.00,66.00,3.82
Nehru Stadium (Kochi),7.0,0,33,1,0,1/33,33.00,42.00,4.71
Newlands,8.0,0,64,0,0,0/64,,,8.00
Old Trafford,6.1,0,44,0,0,0/44,,,7.14
Rajiv Gandhi International Stadium,10.0,0,43,1,0,1/43,43.00,60.00,4.30
Reliance Stadium,5.0,0,23,0,0,0/10,,,4.60
Riverside Ground,6.0,1,29,1,0,1/29,29.00,36.00,4.83
Sector 16 Stadium,9.0,0,43,2,0,2/43,21.50,27.00,4.78
Seddon Park,8.0,0,49,0,0,0/49,,,6.13
Sheikh Zayed Stadium,13.0,0,48,0,0,0/5,,,3.69
Sophia Gardens,5.0,0,30,1,0,1/30,30.00,30.00,6.00
St George's Park,10.0,0,57,1,0,1/57,57.00,60.00,5.70
SuperSport Park,14.0,0,78,1,0,1/50,78.00,84.00,5.57
Sydney Cricket Ground,50.5,0,281,5,0,2/42,56.20,61.00,5.53
The Rose Bowl,12.0,0,64,1,0,1/34,64.00,72.00,5.33
Trent Bridge,9.0,0,32,3,0,3/32,10.67,18.00,3.56
Vidarbha Cricket Association Ground,4.0,0,30,1,0,1/30,30.00,24.00,7.50
WACA Ground,45.0,4,161,5,0,3/44,32.20,54.00,3.58
Wanderers Stadium,12.0,1,58,2,0,1/27,29.00,36.00,4.83
Wankhede Stadium,5.0,0,13,1,0,1/13,13.00,30.00,2.60
Warner Park,10.0,0,63,1,0,1/63,63.00,60.00,6.30
Westpac Stadium,6.0,0,28,1,0,1/28,28.00,36.00,4.67
Overall (39),526.1,32,2384,67,1,5/14,35.58,47.12,4.53
