0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,06/02/2011,England,WACA Ground,not out,6*,4,150.00,,6,,150.00
2,21/02/2011,Zimbabwe,Sardar Patel Stadium,did not bat,-,-,-,,6,,150.00
3,25/02/2011,New Zealand,Vidarbha Cricket Association Stadium,did not bat,-,-,-,,6,,150.00
4,05/03/2011,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,6,,150.00
5,13/03/2011,Kenya,M Chinnaswamy Stadium,did not bat,-,-,-,,6,,150.00
6,16/03/2011,Canada,M Chinnaswamy Stadium,did not bat,-,-,-,,6,,150.00
7,19/03/2011,Pakistan,R Premadasa Stadium,b Umar Gul,7,19,36.84,,13,13.00,56.52
8,24/03/2011,India,Sardar Patel Stadium,did not bat,-,-,-,,13,13.00,56.52
No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,No. of Innings Played = 2,,
