0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,3.0,0,25,0,0,0/25,,,8.33
England,69.0,2,338,16,2,5/33,21.13,25.88,4.90
India,33.0,0,218,4,0,2/55,54.50,49.50,6.61
Ireland,11.0,0,69,1,0,1/43,69.00,66.00,6.27
New Zealand,31.2,1,174,9,0,3/34,19.33,20.89,5.55
Pakistan,12.0,0,59,1,0,1/27,59.00,72.00,4.92
South Africa,87.0,0,538,8,0,2/23,67.25,65.25,6.18
Sri Lanka,2.0,0,12,0,0,0/12,,,6.00
West Indies,26.0,2,103,4,0,3/32,25.75,39.00,3.96
Zimbabwe,9.0,1,28,1,0,1/15,28.00,54.00,3.11
Overall (10),283.2,6,1564,44,2,5/33,35.55,38.64,5.52
