0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,24/06/2008,West Indies,Arnos Vale Ground,81,81,81.00,,0,,,0,,,,24 years 351 days
2.0,27/06/2008,West Indies,National Cricket Stadium (Grenada),12,93,46.50,,0,,,0,,,,24 years 354 days
3.0,29/06/2008,West Indies,National Cricket Stadium (Grenada),0,93,31.00,,0,,,0,,,,24 years 356 days
4.0,04/07/2008,West Indies,Warner Park,16,109,27.25,,0,,,0,,,,24 years 361 days
5.0,06/07/2008,West Indies,Warner Park,49,158,31.60,,0,,,0,,,,24 years 363 days
6.0,30/08/2008,Bangladesh,Marrara Cricket Ground,76,234,39.00,,0,,,0,,,,25 years 52 days
7.0,02/09/2008,Bangladesh,Marrara Cricket Ground,69*,303,50.50,,0,,,0,,,,25 years 55 days
8.0,06/09/2008,Bangladesh,Marrara Cricket Ground,30,333,47.57,,0,,,0,,,,25 years 59 days
9.0,16/01/2009,South Africa,Melbourne Cricket Ground,79,412,51.50,,0,,,0,,,,25 years 191 days
10.0,18/01/2009,South Africa,Bellerive Oval,78,490,54.44,,0,,,0,,,,25 years 193 days
11.0,23/01/2009,South Africa,Sydney Cricket Ground,43,533,53.30,,0,,,0,,,,25 years 198 days
12.0,26/01/2009,South Africa,Adelaide Oval,13,546,49.64,,0,,1,1,,,,25 years 201 days
13.0,30/01/2009,South Africa,WACA Ground,5,551,45.92,,0,,,1,,,,25 years 205 days
14.0,01/02/2009,New Zealand,WACA Ground,15,566,43.54,,0,,,1,,,,25 years 207 days
15.0,22/04/2009,Pakistan,Dubai International Cricket Stadium,16,582,41.57,,0,,,1,,,,25 years 287 days
16.0,28/10/2009,India,Vidarbha Cricket Association Stadium,21,603,40.20,,0,,,1,,,,26 years 111 days
17.0,02/11/2009,India,Punjab Cricket Association IS Bindra Stadium,5,608,38.00,,0,,,1,,,,26 years 116 days
18.0,05/11/2009,India,Rajiv Gandhi International Stadium,112,720,42.35,,0,,,1,,,,26 years 119 days
19.0,08/11/2009,India,Nehru Stadium (Guwahati),6,726,40.33,,0,,,1,,,,26 years 122 days
20.0,22/01/2010,Pakistan,Brisbane Cricket Ground,15,741,39.00,,0,,1,2,,,,26 years 197 days
21.0,24/01/2010,Pakistan,Sydney Cricket Ground,41,782,39.10,,0,,,2,,,,26 years 199 days
22.0,26/01/2010,Pakistan,Adelaide Oval,83,865,41.19,,0,,,2,,,,26 years 201 days
23.0,29/01/2010,Pakistan,WACA Ground,12,877,39.86,,0,,,2,,,,26 years 204 days
24.0,31/01/2010,Pakistan,WACA Ground,25,902,39.22,,0,,,2,,,,26 years 206 days
25.0,07/02/2010,West Indies,Melbourne Cricket Ground,20,922,38.42,,0,,1,3,,,,26 years 213 days
26.0,09/02/2010,West Indies,Adelaide Oval,27,949,37.96,,0,,1,4,,,,26 years 215 days
27.0,03/07/2010,England,Lord's,59,1008,38.77,,0,,2,6,,,,26 years 359 days
28.0,20/10/2010,India,Dr YS Rajasekhara Reddy Cricket Stadium,0,1008,37.33,,0,,,6,,,,27 years 103 days
29.0,03/11/2010,Sri Lanka,Melbourne Cricket Ground,31,1039,37.11,,0,,,6,,,,27 years 117 days
30.0,21/01/2011,England,Bellerive Oval,110,1149,39.62,,0,,,6,,,,27 years 196 days
31.0,23/01/2011,England,Sydney Cricket Ground,6,1155,38.50,,0,,,6,,,,27 years 198 days
32.0,26/01/2011,England,Adelaide Oval,1,1156,37.29,,0,,1,7,,,,27 years 201 days
33.0,30/01/2011,England,Brisbane Cricket Ground,16,1172,36.63,,0,,,7,,,,27 years 205 days
34.0,20/08/2011,Sri Lanka,R Premadasa Stadium,70,1242,37.64,,0,,,7,,,,28 years 42 days
35.0,22/08/2011,Sri Lanka,R Premadasa Stadium,2,1244,36.59,,0,,,7,,,,28 years 44 days
36.0,28/10/2011,South Africa,Kingsmead,30,1274,36.40,,0,,1,8,,,,28 years 111 days
37.0,10/02/2013,West Indies,Melbourne Cricket Ground,40,1314,36.50,,0,,,8,,,,29 years 216 days
38.0,03/09/2013,Scotland,Grange Cricket Club,151,1465,39.59,,0,,,8,,,,30 years 56 days
39.0,08/09/2013,England,Old Trafford,0,1465,38.55,,0,,,8,,,,30 years 61 days
40.0,11/09/2013,England,Edgbaston,-,1465,38.55,,0,,,8,,,,30 years 64 days
41.0,14/09/2013,England,Sophia Gardens,25,1490,38.21,,0,,,8,,,,30 years 67 days
42.0,17/01/2014,England,Brisbane Cricket Ground,55,1545,38.63,,0,,,8,,,,30 years 192 days
43.0,19/01/2014,England,Sydney Cricket Ground,71*,1616,40.40,,0,,,8,,,,30 years 194 days
44.0,24/01/2014,England,WACA Ground,15,1631,39.78,,0,,,8,,,,30 years 199 days
45.0,26/01/2014,England,Adelaide Oval,36,1667,39.69,,0,,1,9,,,,30 years 201 days
46.0,23/01/2015,England,Bellerive Oval,45,1712,39.81,,0,,,9,,,,31 years 198 days
47.0,15/01/2016,India,Brisbane Cricket Ground,71,1783,40.52,,0,,,9,,,,32 years 190 days
48.0,17/01/2016,India,Melbourne Cricket Ground,62,1845,41.00,,0,,,9,,,,32 years 192 days
49.0,23/01/2016,India,Sydney Cricket Ground,7,1852,40.26,,0,,1,10,,,,32 years 198 days
50.0,03/02/2016,New Zealand,Eden Park,5,1857,39.51,,0,,1,11,,,,32 years 209 days
51.0,28/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,1,1858,38.71,,0,,2,13,,,,33 years 50 days
52.0,30/01/2017,New Zealand,Eden Park,16,1874,38.24,,0,,,13,,,,33 years 205 days
53.0,05/02/2017,New Zealand,Seddon Park,22,1896,37.92,,0,,,13,,,,33 years 211 days
54.0,13/06/2018,England,Kennington Oval,24,1920,37.65,,0,,,13,,,,34 years 339 days
55.0,16/06/2018,England,Sophia Gardens,131,2051,39.44,,0,,,13,,,,34 years 342 days
56.0,19/06/2018,England,Trent Bridge,24,2075,39.15,,0,,,13,,,,34 years 345 days
57.0,21/06/2018,England,Riverside Ground,101,2176,40.30,,0,,1,14,,,,34 years 347 days
58.0,24/06/2018,England,Old Trafford,8,2184,39.71,,0,,1,15,,,,34 years 350 days
59.0,09/11/2018,South Africa,Adelaide Oval,22,2206,39.39,,0,,,15,,,,35 years 123 days
60.0,11/11/2018,South Africa,Bellerive Oval,106,2312,40.56,,0,,1,16,,,,35 years 125 days
61.0,12/01/2019,India,Sydney Cricket Ground,54,2366,40.79,,0,,1,17,,,,35 years 187 days
62.0,15/01/2019,India,Adelaide Oval,131,2497,42.32,,0,,,17,,,,35 years 190 days
63.0,18/01/2019,India,Melbourne Cricket Ground,39,2536,42.27,,0,,1,18,,,,35 years 193 days
64.0,05/03/2019,India,Vidarbha Cricket Association Stadium,16,2552,41.84,,0,,,18,,,,35 years 239 days
65.0,08/03/2019,India,JSCA International Stadium Complex,7,2559,41.27,,0,,,18,,,,35 years 242 days
66.0,10/03/2019,India,Punjab Cricket Association IS Bindra Stadium,6,2565,40.71,,0,,,18,,,,35 years 244 days
67.0,22/03/2019,Pakistan,Sharjah Cricket Stadium,91*,2656,42.16,,0,,,18,,,,35 years 256 days
68.0,23/03/2019,Pakistan,Sharjah Cricket Stadium,11*,2667,42.33,,0,,1,19,,,,35 years 257 days
69.0,27/03/2019,Pakistan,Sheikh Zayed Stadium,14,2681,41.89,,0,,1,20,,,,35 years 261 days
70.0,29/03/2019,Pakistan,Dubai International Cricket Stadium,5,2686,41.32,,0,,1,21,,,,35 years 263 days
71.0,31/03/2019,Pakistan,Dubai International Cricket Stadium,61,2747,41.62,,0,,1,22,,,,35 years 265 days
72.0,12/06/2019,Pakistan,The Cooper Associates County Ground,23,2770,41.34,,0,,,22,,,,35 years 338 days
73.0,15/06/2019,Sri Lanka,Kennington Oval,3,2773,40.78,,0,,,22,,,,35 years 341 days
