0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,24/06/2008,West Indies,Arnos Vale Ground,c C H Gayle b D J G Sammy,81,97,83.51,,81,81.00,83.51
2,27/06/2008,West Indies,National Cricket Stadium (Grenada),c †P A Browne b D B Powell,12,22,54.55,,93,46.50,78.15
3,29/06/2008,West Indies,National Cricket Stadium (Grenada),b F H Edwards,0,5,0.00,,93,31.00,75.00
4,04/07/2008,West Indies,Warner Park,c †D Ramdin b D B Powell,16,34,47.06,,109,27.25,68.99
5,06/07/2008,West Indies,Warner Park,c †D Ramdin b F H Edwards,49,57,85.96,,158,31.60,73.49
6,30/08/2008,Bangladesh,Marrara Cricket Ground,b Abdur Razzak,76,105,72.38,,234,39.00,73.13
7,02/09/2008,Bangladesh,Marrara Cricket Ground,not out,69*,81,85.19,,303,50.50,75.56
8,06/09/2008,Bangladesh,Marrara Cricket Ground,b Farhad Reza,30,36,83.33,,333,47.57,76.20
9,16/01/2009,South Africa,Melbourne Cricket Ground,c †M V Boucher b M Morkel,79,97,81.44,,412,51.50,77.15
10,18/01/2009,South Africa,Bellerive Oval,c H H Gibbs b J-P Duminy,78,103,75.73,,490,54.44,76.92
11,23/01/2009,South Africa,Sydney Cricket Ground,st M V Boucher b J Botha,43,63,68.25,,533,53.30,76.14
12,26/01/2009,South Africa,Adelaide Oval,c M Morkel b D W Steyn,13,9,144.44,,546,49.64,77.01
13,30/01/2009,South Africa,WACA Ground,c H M Amla b L L Tsotsobe,5,11,45.45,,551,45.92,76.53
14,01/02/2009,New Zealand,WACA Ground,c P G Fulton b K D Mills,15,28,53.57,,566,43.54,75.67
15,22/04/2009,Pakistan,Dubai International Cricket Stadium,run out,16,27,59.26,,582,41.57,75.10
16,28/10/2009,India,Vidarbha Cricket Association Stadium,st M S Dhoni b R A Jadeja,21,21,100.00,,603,40.20,75.75
17,02/11/2009,India,Punjab Cricket Association IS Bindra Stadium,lbw b A Nehra,5,23,21.74,,608,38.00,74.24
18,05/11/2009,India,Rajiv Gandhi International Stadium,c G Gambhir b A Nehra,112,112,100.00,,720,42.35,77.34
19,08/11/2009,India,Nehru Stadium (Guwahati),lbw b M M Patel,6,14,42.86,,726,40.33,76.83
20,22/01/2010,Pakistan,Brisbane Cricket Ground,c Naved-ul-Hasan b Mohammad Asif,15,24,62.50,,741,39.00,76.47
21,24/01/2010,Pakistan,Sydney Cricket Ground,c Umar Gul b Shahid Afridi,41,60,68.33,,782,39.10,76.00
22,26/01/2010,Pakistan,Adelaide Oval,st Kamran Akmal b Saeed Ajmal,83,113,73.45,,865,41.19,75.74
23,29/01/2010,Pakistan,WACA Ground,c †Kamran Akmal b Mohammad Asif,12,27,44.44,,877,39.86,75.02
24,31/01/2010,Pakistan,WACA Ground,c Fawad Alam b Mohammad Asif,25,37,67.57,,902,39.22,74.79
25,07/02/2010,West Indies,Melbourne Cricket Ground,c †D Ramdin b D R Smith,20,34,58.82,,922,38.42,74.35
26,09/02/2010,West Indies,Adelaide Oval,b D R Smith,27,27,100.00,,949,37.96,74.90
27,03/07/2010,England,Lord's,c E J G Morgan b G P Swann,59,50,118.00,,1008,38.77,76.54
28,20/10/2010,India,Dr YS Rajasekhara Reddy Cricket Stadium,b A Nehra,0,11,0.00,,1008,37.33,75.90
29,03/11/2010,Sri Lanka,Melbourne Cricket Ground,c †K C Sangakkara b S Randiv,31,53,58.49,,1039,37.11,75.24
30,21/01/2011,England,Bellerive Oval,c I R Bell b C T Tremlett,110,114,96.49,,1149,39.62,76.86
31,23/01/2011,England,Sydney Cricket Ground,lbw b Ajmal Shahzad,6,12,50.00,,1155,38.50,76.64
32,26/01/2011,England,Adelaide Oval,c & b J M Anderson,1,6,16.67,,1156,37.29,76.40
33,30/01/2011,England,Brisbane Cricket Ground,c A J Strauss b P D Collingwood,16,30,53.33,,1172,36.63,75.96
34,20/08/2011,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b S Prasanna,70,80,87.50,,1242,37.64,76.52
35,22/08/2011,Sri Lanka,R Premadasa Stadium,b R M S Eranga,2,6,33.33,,1244,36.59,76.37
36,28/10/2011,South Africa,Kingsmead,b J-P Duminy,30,55,54.55,,1274,36.40,75.65
37,10/02/2013,West Indies,Melbourne Cricket Ground,c †D C Thomas b D J J Bravo,40,58,68.97,,1314,36.50,75.43
38,03/09/2013,Scotland,Grange Cricket Club,c G Goudie b I Wardlaw,151,151,100.00,,1465,39.59,77.39
39,08/09/2013,England,Old Trafford,c †J C Buttler b S T Finn,0,4,0.00,,1465,38.55,77.23
40,11/09/2013,England,Edgbaston,did not bat,-,-,-,,1465,38.55,77.23
41,14/09/2013,England,Sophia Gardens,c †J C Buttler b B A Stokes,25,40,62.50,,1490,38.21,76.92
42,17/01/2014,England,Brisbane Cricket Ground,b J E Root,55,69,79.71,,1545,38.63,77.02
43,19/01/2014,England,Sydney Cricket Ground,not out,71*,89,79.78,,1616,40.40,77.14
44,24/01/2014,England,WACA Ground,c I R Bell b T T Bresnan,15,17,88.24,,1631,39.78,77.23
45,26/01/2014,England,Adelaide Oval,c A N Cook b B A Stokes,36,52,69.23,,1667,39.69,77.03
46,23/01/2015,England,Bellerive Oval,c I R Bell b S T Finn,45,48,93.75,,1712,39.81,77.40
47,15/01/2016,India,Brisbane Cricket Ground,c V Kohli b I Sharma,71,84,84.52,,1783,40.52,77.66
48,17/01/2016,India,Melbourne Cricket Ground,c †M S Dhoni b I Sharma,62,73,84.93,,1845,41.00,77.88
49,23/01/2016,India,Sydney Cricket Ground,run out,7,14,50.00,,1852,40.26,77.72
50,03/02/2016,New Zealand,Eden Park,c M J Guptill b M J Henry,5,8,62.50,,1857,39.51,77.67
51,28/08/2016,Sri Lanka,Rangiri Dambulla International Stadium,c L D Chandimal b A D Mathews,1,8,12.50,,1858,38.71,77.45
52,30/01/2017,New Zealand,Eden Park,st T W M Latham b M J Santner,16,21,76.19,,1874,38.24,77.44
53,05/02/2017,New Zealand,Seddon Park,run out,22,22,100.00,,1896,37.92,77.64
54,13/06/2018,England,Kennington Oval,b M M Ali,24,30,80.00,,1920,37.65,77.67
55,16/06/2018,England,Sophia Gardens,b L E Plunkett,131,116,112.93,,2051,39.44,79.25
56,19/06/2018,England,Trent Bridge,c L E Plunkett b M M Ali,24,30,80.00,,2075,39.15,79.26
57,21/06/2018,England,Riverside Ground,c C Overton b D J Willey,101,92,109.78,,2176,40.30,80.30
58,24/06/2018,England,Old Trafford,st J C Buttler b M M Ali,8,12,66.67,,2184,39.71,80.24
59,09/11/2018,South Africa,Adelaide Oval,c †Q de Kock b K Rabada,22,26,84.62,,2206,39.39,80.28
60,11/11/2018,South Africa,Bellerive Oval,c H Klaasen b D Pretorius,106,102,103.92,,2312,40.56,81.12
61,12/01/2019,India,Sydney Cricket Ground,c Mohammed Shami b Kuldeep Yadav,54,70,77.14,,2366,40.79,81.03
62,15/01/2019,India,Adelaide Oval,c R A Jadeja b B Kumar,131,123,106.50,,2497,42.32,82.06
63,18/01/2019,India,Melbourne Cricket Ground,st M S Dhoni b Y S Chahal,39,54,72.22,,2536,42.27,81.89
64,05/03/2019,India,Vidarbha Cricket Association Stadium,c †M S Dhoni b R A Jadeja,16,27,59.26,,2552,41.84,81.69
65,08/03/2019,India,JSCA International Stadium Complex,c V Shankar b Kuldeep Yadav,7,12,58.33,,2559,41.27,81.60
66,10/03/2019,India,Punjab Cricket Association IS Bindra Stadium,b J J Bumrah,6,10,60.00,,2565,40.71,81.53
67,22/03/2019,Pakistan,Sharjah Cricket Stadium,not out,91*,102,89.22,,2656,42.16,81.77
68,23/03/2019,Pakistan,Sharjah Cricket Stadium,not out,11*,20,55.00,,2667,42.33,81.61
69,27/03/2019,Pakistan,Sheikh Zayed Stadium,c Shan Masood b Junaid Khan,14,19,73.68,,2681,41.89,81.56
70,29/03/2019,Pakistan,Dubai International Cricket Stadium,st Mohammad Rizwan b Imad Wasim,5,16,31.25,,2686,41.32,81.32
71,31/03/2019,Pakistan,Dubai International Cricket Stadium,b Junaid Khan,61,68,89.71,,2747,41.62,81.49
