0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,28/08/2009,Scotland,Grange Cricket Club,29*,29,,,0,,,0,1,,1,24 years 263 days
2.0,04/09/2009,England,Kennington Oval,0,29,29.00,,0,,,0,1,1,3,24 years 270 days
3.0,06/09/2009,England,Lord's,26,55,27.50,,0,,,0,3,,6,24 years 272 days
4.0,09/09/2009,England,The Rose Bowl,29,84,28.00,,0,,,0,,,6,24 years 275 days
5.0,12/09/2009,England,Lord's,51,135,33.75,,0,,,0,,1,7,24 years 278 days
6.0,15/09/2009,England,Trent Bridge,16,151,30.20,,0,,,0,1,1,9,24 years 281 days
7.0,17/09/2009,England,Trent Bridge,111,262,43.67,,0,,,0,1,,10,24 years 283 days
8.0,20/09/2009,England,Riverside Ground,4,266,38.00,,0,,,0,2,,12,24 years 286 days
9.0,26/09/2009,West Indies,Wanderers Stadium,33,299,37.38,,0,,,0,2,,14,24 years 292 days
10.0,28/09/2009,India,SuperSport Park,56,355,39.44,,0,,,0,,,14,24 years 294 days
11.0,30/09/2009,Pakistan,SuperSport Park,29,384,38.40,,0,,,0,,,14,24 years 296 days
12.0,02/10/2009,England,SuperSport Park,4,388,35.27,,0,,,0,5,,19,24 years 298 days
13.0,05/10/2009,New Zealand,SuperSport Park,1,389,32.42,,0,,,0,1,1,21,24 years 301 days
14.0,25/10/2009,India,Reliance Stadium,50,439,33.77,,0,,,0,1,,22,24 years 321 days
15.0,28/10/2009,India,Vidarbha Cricket Association Stadium,8,447,31.93,,0,,,0,2,,24,24 years 324 days
16.0,12/02/2010,West Indies,Sydney Cricket Ground,16,463,30.87,,0,,,0,,,24,25 years 65 days
17.0,14/02/2010,West Indies,Brisbane Cricket Ground,24,487,30.44,,0,,,0,2,,26,25 years 67 days
18.0,17/06/2010,Ireland,Castle Avenue,81,568,33.41,,0,,,0,3,,29,25 years 190 days
19.0,22/06/2010,England,The Rose Bowl,26,594,33.00,,0,,,0,1,,30,25 years 195 days
20.0,24/06/2010,England,Sophia Gardens,16,610,32.11,,0,,,0,2,,32,25 years 197 days
21.0,27/06/2010,England,Old Trafford,44,654,32.70,,0,,,0,2,,34,25 years 200 days
22.0,30/06/2010,England,Kennington Oval,8,662,31.52,,0,,,0,3,,37,25 years 203 days
23.0,03/07/2010,England,Lord's,54,716,32.55,,0,,,0,,,37,25 years 206 days
24.0,20/10/2010,India,Dr YS Rajasekhara Reddy Cricket Stadium,9,725,31.52,,0,,,0,1,,38,25 years 315 days
25.0,06/02/2011,England,WACA Ground,5,730,30.42,,0,,,0,,,38,26 years 59 days
26.0,13/04/2011,Bangladesh,Shere Bangla National Stadium,7,737,29.48,,0,,,0,1,,39,26 years 125 days
27.0,14/01/2018,England,Melbourne Cricket Ground,27,764,29.38,,0,,,0,1,,40,33 years 36 days
28.0,21/01/2018,England,Sydney Cricket Ground,31*,795,30.58,,0,,,0,1,,41,33 years 43 days
29.0,26/01/2018,England,Adelaide Oval,25*,820,31.54,,0,,,0,4,,45,33 years 48 days
30.0,28/01/2018,England,Optus Stadium,34,854,31.63,,0,,,0,,,45,33 years 50 days
31.0,13/06/2018,England,Kennington Oval,12,866,30.93,,0,,,0,2,,47,33 years 186 days
32.0,16/06/2018,England,Sophia Gardens,15,881,30.38,,0,,,0,2,,49,33 years 189 days
33.0,19/06/2018,England,Trent Bridge,5,886,29.53,,0,,,0,1,,50,33 years 192 days
34.0,21/06/2018,England,Riverside Ground,3,889,28.68,,0,,,0,2,,52,33 years 194 days
35.0,24/06/2018,England,Old Trafford,1,890,27.81,,0,,,0,3,,55,33 years 197 days
