0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,02/02/2007,England,Sydney Cricket Ground,run out,11,10,110.00,,11,11.00,110.00
2,04/02/2007,New Zealand,Melbourne Cricket Ground,did not bat,-,-,-,,11,11.00,110.00
3,17/02/2007,New Zealand,Eden Park,did not bat,-,-,-,,11,11.00,110.00
4,20/02/2007,New Zealand,Seddon Park,did not bat,-,-,-,,11,11.00,110.00
5,14/03/2007,Scotland,Warner Park,did not bat,-,-,-,,11,11.00,110.00
6,18/03/2007,Netherlands,Warner Park,did not bat,-,-,-,,11,11.00,110.00
7,24/03/2007,South Africa,Warner Park,did not bat,-,-,-,,11,11.00,110.00
8,27/03/2007,West Indies,Sir Vivian Richards Stadium,did not bat,-,-,-,,11,11.00,110.00
9,31/03/2007,Bangladesh,Sir Vivian Richards Stadium,did not bat,-,-,-,,11,11.00,110.00
10,08/04/2007,England,Sir Vivian Richards Stadium,did not bat,-,-,-,,11,11.00,110.00
11,13/04/2007,Ireland,Kensington Oval,did not bat,-,-,-,,11,11.00,110.00
12,16/04/2007,Sri Lanka,National Cricket Stadium (Grenada),did not bat,-,-,-,,11,11.00,110.00
13,20/04/2007,New Zealand,National Cricket Stadium (Grenada),did not bat,-,-,-,,11,11.00,110.00
14,25/04/2007,South Africa,Darren Sammy National Cricket Stadium,did not bat,-,-,-,,11,11.00,110.00
15,28/04/2007,Sri Lanka,Kensington Oval,did not bat,-,-,-,,11,11.00,110.00
16,14/12/2007,New Zealand,Adelaide Oval,did not bat,-,-,-,,11,11.00,110.00
17,16/12/2007,New Zealand,Sydney Cricket Ground,did not bat,-,-,-,,11,11.00,110.00
18,20/12/2007,New Zealand,Bellerive Oval,did not bat,-,-,-,,11,11.00,110.00
19,16/01/2009,South Africa,Melbourne Cricket Ground,did not bat,-,-,-,,11,11.00,110.00
20,23/01/2009,South Africa,Sydney Cricket Ground,run out,0,1,0.00,,11,5.50,100.00
21,26/01/2009,South Africa,Adelaide Oval,not out,4*,6,66.67,,15,7.50,88.24
22,01/02/2009,New Zealand,WACA Ground,not out,9*,10,90.00,,24,12.00,88.89
23,27/06/2010,England,Old Trafford,not out,1*,1,100.00,,25,12.50,89.29
24,30/06/2010,England,Kennington Oval,did not bat,-,-,-,,25,12.50,89.29
25,03/07/2010,England,Lord's,did not bat,-,-,-,,25,12.50,89.29
26,21/01/2011,England,Bellerive Oval,not out,0*,0,-,,25,12.50,89.29
27,02/02/2011,England,Sydney Cricket Ground,did not bat,-,-,-,,25,12.50,89.29
28,06/02/2011,England,WACA Ground,did not bat,-,-,-,,25,12.50,89.29
29,21/02/2011,Zimbabwe,Sardar Patel Stadium,did not bat,-,-,-,,25,12.50,89.29
30,25/02/2011,New Zealand,Vidarbha Cricket Association Stadium,did not bat,-,-,-,,25,12.50,89.29
31,05/03/2011,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,25,12.50,89.29
32,13/03/2011,Kenya,M Chinnaswamy Stadium,did not bat,-,-,-,,25,12.50,89.29
33,16/03/2011,Canada,M Chinnaswamy Stadium,did not bat,-,-,-,,25,12.50,89.29
34,19/03/2011,Pakistan,R Premadasa Stadium,not out,0*,1,0.00,,25,12.50,86.21
35,24/03/2011,India,Sardar Patel Stadium,did not bat,-,-,-,,25,12.50,86.21
No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,No. of Innings Played = 7,,
