0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,17/03/1983,New Zealand,Sydney Cricket Ground,G P Howarth (b),7.0,2/19,,21.00,2.71,1,9.50
,,,,W K Lees (b),,,,,,2,
2.0,01/01/1987,England,WACA Ground,D I Gower (c †T J Zoehrer),10.0,1/56,,34.00,4.41,3,25.00
3.0,02/01/1987,Pakistan,WACA Ground,Manzoor Elahi (c & b),10.0,2/58,,32.40,4.93,4,26.60
,,,,Saleem Yousuf (c S P O'Donnell),,,,,,5,
4.0,02/01/1988,Sri Lanka,WACA Ground,J R Ratnayeke (b),10.0,1/26,,37.00,4.30,6,26.50
5.0,03/01/1988,New Zealand,WACA Ground,J J Crowe (c P L Taylor),10.0,1/46,,40.29,4.36,7,29.29
6.0,07/01/1988,New Zealand,Melbourne Cricket Ground,D N Patel (b),10.0,1/46,,42.75,4.40,8,31.38
7.0,10/01/1988,Sri Lanka,Adelaide Oval,R S Mahanama (c M R J Veletta),10.0,1/53,,44.67,4.54,9,33.78
8.0,19/01/1988,Sri Lanka,Sydney Cricket Ground,A P Gurusinha (c D M Jones),10.0,4/34,,35.54,4.39,10,26.00
,,,,D S B Kuruppu (b),,,,,,11,
,,,,R S Mahanama (c A R Border),,,,,,12,
,,,,J R Ratnayeke (c D C Boon),,,,,,13,
9.0,04/02/1988,England,Melbourne Cricket Ground,M W Gatting (c A R Border),10.0,2/37,,34.80,4.31,14,25.00
,,,,R T Robinson (c A I C Dodemaide),,,,,,15,
10.0,26/02/1991,West Indies,Sabina Park,,7.0,0/16,,37.60,4.16,,26.07
11.0,09/03/1991,West Indies,Queen's Park Oval,D L Haynes (c †I A Healy),9.0,3/41,,34.33,4.19,16,24.00
,,,,C L Hooper (c †I A Healy),,,,,,17,
,,,,I V A Richards (c G R Marsh),,,,,,18,
12.0,10/03/1991,West Indies,Queen's Park Oval,,7.0,0/38,,36.67,4.27,,26.11
13.0,13/03/1991,West Indies,Kensington Oval,R B Richardson (c C J McDermott),10.0,1/39,,37.89,4.24,19,26.79
14.0,20/03/1991,West Indies,Bourda,,9.0,0/46,,40.74,4.30,,29.21
15.0,12/12/1991,West Indies,Melbourne Cricket Ground,,10.0,0/29,,43.89,4.20,,30.74
16.0,15/12/1991,India,Adelaide Oval,P K Amre (c †I A Healy),10.0,2/22,,42.57,4.07,20,28.86
,,,,M Azharuddin (c †I A Healy),,,,,,21,
17.0,18/12/1991,West Indies,Sydney Cricket Ground,B C Lara (c S R Waugh),10.0,3/25,,39.75,3.97,22,26.29
,,,,M D Marshall (b),,,,,,23,
,,,,D Williams (b),,,,,,24,
