0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,40.0,9,123,4,0,2/22,30.75,60.00,3.08
Bellerive Oval,20.0,6,44,3,0,2/15,14.67,40.00,2.20
Bourda,9.0,0,46,0,0,0/46,,,5.11
Brisbane Cricket Ground,30.0,5,105,2,0,1/30,52.50,90.00,3.50
Kensington Oval,10.0,1,39,1,0,1/39,39.00,60.00,3.90
Melbourne Cricket Ground,68.0,8,220,9,1,4/34,24.44,45.33,3.24
P Sara Oval,10.0,1,33,2,0,2/33,16.50,30.00,3.30
Queen's Park Oval,16.0,0,79,3,0,3/41,26.33,32.00,4.94
R Premadasa Stadium,17.0,1,67,2,0,2/40,33.50,51.00,3.94
Sabina Park,7.0,1,16,0,0,0/16,,,2.29
Sydney Cricket Ground,69.0,10,211,14,1,4/34,15.07,29.57,3.06
WACA Ground,55.0,1,266,6,0,2/58,44.33,55.00,4.84
Overall (12),351.0,43,1249,46,2,4/34,27.15,45.78,3.56
