0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,09/03/2008,South Africa,Zahur Ahmed Chowdhury Stadium,not out,15*,32,46.88,,15,,46.88
2,12/03/2008,South Africa,Shere Bangla National Stadium,run out,0,6,0.00,,15,15.00,39.47
3,14/03/2008,South Africa,Shere Bangla National Stadium,b P L Harris,3,14,21.43,,18,9.00,34.62
4,18/03/2008,Ireland,Shere Bangla National Stadium,did not bat,-,-,-,,18,9.00,34.62
5,20/03/2008,Ireland,Shere Bangla National Stadium,not out,2*,2,100.00,,20,10.00,37.04
6,22/03/2008,Ireland,Shere Bangla National Stadium,did not bat,-,-,-,,20,10.00,37.04
7,08/04/2008,Pakistan,Gaddafi Stadium,c Younis Khan b Shahid Afridi,0,1,0.00,,20,6.67,36.36
8,11/04/2008,Pakistan,Iqbal Stadium,c Nasir Jamshed b Iftikhar Anjum,27,44,61.36,,47,11.75,47.47
9,13/04/2008,Pakistan,Gaddafi Stadium,not out,18*,11,163.64,,65,16.25,59.09
10,16/04/2008,Pakistan,Multan Cricket Stadium,lbw b Shahid Afridi,0,4,0.00,,65,13.00,57.02
11,19/04/2008,Pakistan,National Stadium (Karachi),b Shahid Afridi,29,39,74.36,,94,15.67,61.44
12,30/08/2008,Australia,Marrara Cricket Ground,c †B J Haddin b B Geeves,1,8,12.50,,95,13.57,59.01
13,02/09/2008,Australia,Marrara Cricket Ground,c S R Watson b S R Clark,30,36,83.33,,125,15.63,63.45
14,06/09/2008,Australia,Marrara Cricket Ground,lbw b J R Hopes,1,4,25.00,,126,14.00,62.69
No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,No. of Innings Played = 12,,
