0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Aga Khan Sports Club Ground,16.0,1,117,4,0,2/54,29.25,24.00,7.31
Bangabandhu National Stadium,81.1,4,496,12,1,4/56,41.33,40.58,6.11
Castle Avenue,7.0,1,28,0,0,0/28,,,4.00
Cazaly's Stadium,11.0,0,68,1,0,1/37,68.00,66.00,6.18
County Ground (Chelmsford),10.0,2,33,1,0,1/33,33.00,60.00,3.30
Grange Cricket Club,8.0,1,26,2,0,2/26,13.00,24.00,3.25
Gymkhana Club Ground,29.0,2,187,3,0,2/68,62.33,58.00,6.45
Iqbal Stadium,6.0,0,30,0,0,0/30,,,5.00
Lal Bahadur Shastri Stadium,4.0,0,16,0,0,0/16,,,4.00
MA Chidambaram Stadium,10.0,0,44,2,0,2/44,22.00,30.00,4.40
Punjab Cricket Association IS Bindra Stadium,9.0,0,44,1,0,1/44,44.00,54.00,4.89
R Premadasa Stadium,4.0,0,47,1,0,1/47,47.00,24.00,11.75
Riverside Ground,4.0,0,24,0,0,0/24,,,6.00
Sharjah Cricket Stadium,14.0,2,72,2,0,1/29,36.00,42.00,5.14
Sinhalese Sports Club Ground,11.0,0,75,0,0,0/25,,,6.82
Wankhede Stadium,5.0,0,30,0,0,0/30,,,6.00
Overall (16),229.1,13,1337,29,1,4/56,46.10,47.41,5.83
