0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,14/05/1998,India,Punjab Cricket Association IS Bindra Stadium,6,6,6.00,,0,,,0,,,,19 years 234 days
2.0,16/03/1999,Pakistan,Bangabandhu National Stadium,4,10,5.00,,0,,,0,,,,20 years 175 days
3.0,21/03/1999,Zimbabwe,Bangabandhu National Stadium,73,83,27.67,,0,,1,1,,,,20 years 180 days
4.0,24/03/1999,Kenya,Bangabandhu National Stadium,23,106,26.50,,0,,,1,,,,20 years 183 days
5.0,25/03/1999,Zimbabwe,Bangabandhu National Stadium,101,207,41.40,,0,,,1,,,,20 years 184 days
6.0,17/05/1999,New Zealand,County Ground (Chelmsford),2,209,34.83,,0,,,1,,,,20 years 237 days
7.0,21/05/1999,West Indies,Castle Avenue,64,273,39.00,,0,,,1,,,,20 years 241 days
8.0,24/05/1999,Scotland,Grange Cricket Club,3,276,34.50,,0,,,1,,,,20 years 244 days
9.0,27/05/1999,Australia,Riverside Ground,42,318,35.33,,0,,,1,,,,20 years 247 days
10.0,31/05/1999,Pakistan,County Ground (Northampton),9,327,32.70,,0,,2,3,,,,20 years 251 days
11.0,08/04/2001,Zimbabwe,Harare Sports Club,11,338,30.73,0/18,0,,1,4,,,,22 years 198 days
12.0,11/04/2001,Zimbabwe,Queens Sports Club,13,351,29.25,,0,,,4,,,,22 years 201 days
13.0,22/01/2002,Pakistan,MA Aziz Stadium,0,351,27.00,,0,,1,5,,,,23 years 122 days
14.0,24/01/2002,Pakistan,Bangabandhu National Stadium,21,372,26.57,0/14,0,,,5,,,,23 years 124 days
15.0,25/01/2002,Pakistan,Bangabandhu National Stadium,41,413,27.53,,0,,,5,,,,23 years 125 days
16.0,11/04/2003,India,Bangabandhu National Stadium,0,413,25.81,,0,,,5,,,,24 years 201 days
17.0,16/04/2003,India,Bangabandhu National Stadium,30,443,26.06,0/10,0,,,5,,,,24 years 206 days
18.0,17/04/2003,South Africa,Bangabandhu National Stadium,6,449,24.94,,0,,1,6,,,,24 years 207 days
