0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,11/04/2001,Zimbabwe,Queens Sports Club,9,9,9.00,1/25,1,25.00,,0,,,,16 years 278 days
2.0,23/11/2001,Zimbabwe,MA Aziz Stadium,7,16,8.00,0/7,1,32.00,,0,,,,17 years 138 days
3.0,25/11/2001,Zimbabwe,Bangabandhu National Stadium,14,30,10.00,0/23,1,55.00,,0,,,,17 years 140 days
4.0,26/11/2001,Zimbabwe,Bangabandhu National Stadium,16,46,11.50,,1,55.00,,0,,,,17 years 141 days
5.0,04/08/2002,Sri Lanka,Sinhalese Sports Club Ground,36,82,16.40,,1,55.00,1,1,,,,18 years 27 days
6.0,05/08/2002,Sri Lanka,Sinhalese Sports Club Ground,4,86,14.33,0/1,1,56.00,,1,,,,18 years 28 days
7.0,07/08/2002,Sri Lanka,R Premadasa Stadium,10,96,13.71,1/34,2,45.00,,1,,,,18 years 30 days
8.0,23/09/2002,New Zealand,Sinhalese Sports Club Ground,1,97,12.13,3/26,5,23.20,,1,,,,18 years 77 days
9.0,29/11/2002,West Indies,MA Aziz Stadium,29,126,14.00,2/71,7,26.71,,1,,,,18 years 144 days
10.0,02/12/2002,West Indies,Bangabandhu National Stadium,44,170,17.00,,7,26.71,,1,,,,18 years 147 days
11.0,03/12/2002,West Indies,Bangabandhu National Stadium,1,171,15.55,0/23,7,30.00,,1,,,,18 years 148 days
12.0,14/02/2003,Sri Lanka,City Oval,0,171,14.25,,7,30.00,,1,,,,18 years 221 days
13.0,18/02/2003,West Indies,Willowmoore Park,8*,179,14.92,,7,30.00,1,2,,,,18 years 225 days
14.0,22/02/2003,South Africa,Mangaung Oval,6,185,14.23,,7,30.00,,2,,,,18 years 229 days
15.0,26/02/2003,New Zealand,Diamond Oval,56,241,17.21,0/3,7,30.43,1,3,,,,18 years 233 days
16.0,01/03/2003,Kenya,Wanderers Stadium,1,242,16.13,0/30,7,34.71,,3,,,,18 years 236 days
17.0,11/04/2003,India,Bangabandhu National Stadium,5,247,15.44,,7,34.71,,3,,,,18 years 277 days
18.0,14/04/2003,South Africa,Bangabandhu National Stadium,52,299,17.59,0/36,7,39.86,,3,,,,18 years 280 days
19.0,16/04/2003,India,Bangabandhu National Stadium,7,306,17.00,1/19,8,37.25,,3,,,,18 years 282 days
20.0,17/04/2003,South Africa,Bangabandhu National Stadium,13,319,16.79,,8,37.25,,3,,,,18 years 283 days
21.0,06/08/2003,Australia,Marrara Cricket Ground,4,323,16.15,,8,37.25,,3,,,,19 years 29 days
22.0,09/09/2003,Pakistan,Multan Cricket Stadium,0,323,15.38,,8,37.25,,3,,,,19 years 63 days
23.0,12/09/2003,Pakistan,Iqbal Stadium,3,326,14.82,,8,37.25,1,4,,,,19 years 66 days
24.0,15/09/2003,Pakistan,Gaddafi Stadium,0,326,14.17,,8,37.25,,4,,,,19 years 69 days
25.0,10/03/2004,Zimbabwe,Harare Sports Club,51*,377,16.39,,8,37.25,,4,,,,19 years 246 days
26.0,12/03/2004,Zimbabwe,Harare Sports Club,31,408,17.00,,8,37.25,,4,,,,19 years 248 days
27.0,14/03/2004,Zimbabwe,Harare Sports Club,0,408,16.32,0/4,8,37.75,,4,,,,19 years 250 days
28.0,15/05/2004,West Indies,Arnos Vale Ground,17,425,16.35,,8,37.75,,4,,,,19 years 312 days
29.0,16/05/2004,West Indies,Arnos Vale Ground,0,425,15.74,,8,37.75,,4,,,,19 years 313 days
30.0,19/05/2004,West Indies,National Cricket Stadium (Grenada),3,428,15.29,,8,37.75,,4,,,,19 years 316 days
31.0,16/07/2004,Hong Kong,Sinhalese Sports Club Ground,9,437,15.07,,8,37.75,,4,,,,20 years 9 days
32.0,17/07/2004,Pakistan,Sinhalese Sports Club Ground,12,449,14.97,,8,37.75,,4,,,,20 years 10 days
33.0,21/07/2004,India,Sinhalese Sports Club Ground,35,484,15.61,,8,37.75,,4,,,,20 years 14 days
34.0,23/07/2004,Sri Lanka,R Premadasa Stadium,66,550,17.19,0/4,8,38.25,,4,,,,20 years 16 days
35.0,29/07/2004,Pakistan,R Premadasa Stadium,0,550,16.67,,8,38.25,,4,,,,20 years 22 days
36.0,12/09/2004,South Africa,Edgbaston,4,554,16.29,,8,38.25,,4,,,,20 years 67 days
37.0,15/09/2004,West Indies,The Rose Bowl,10,564,16.11,,8,38.25,,4,,,,20 years 70 days
38.0,02/11/2004,New Zealand,MA Aziz Stadium,2,566,15.72,,8,38.25,,4,,,,20 years 118 days
39.0,05/11/2004,New Zealand,Bangabandhu National Stadium,17,583,15.76,,8,38.25,,4,,,,20 years 121 days
40.0,07/11/2004,New Zealand,Bangabandhu National Stadium,13,596,15.68,,8,38.25,,4,,,,20 years 123 days
41.0,23/12/2004,India,MA Aziz Stadium,2,598,15.33,,8,38.25,,4,,,,20 years 169 days
42.0,26/12/2004,India,Bangabandhu National Stadium,28,626,15.65,,8,38.25,,4,,,,20 years 172 days
43.0,27/12/2004,India,Bangabandhu National Stadium,32,658,16.05,,8,38.25,1,5,,,,20 years 173 days
44.0,20/01/2005,Zimbabwe,Bangabandhu National Stadium,42,700,16.67,,8,38.25,,5,,,,20 years 197 days
45.0,24/01/2005,Zimbabwe,MA Aziz Stadium,13,713,16.58,,8,38.25,,5,,,,20 years 201 days
46.0,26/01/2005,Zimbabwe,MA Aziz Stadium,11,724,16.45,,8,38.25,,5,,,,20 years 203 days
47.0,29/01/2005,Zimbabwe,Bangabandhu National Stadium,35,759,16.87,,8,38.25,,5,,,,20 years 206 days
48.0,31/01/2005,Zimbabwe,Bangabandhu National Stadium,-,759,16.87,,8,38.25,,5,,,,20 years 208 days
49.0,16/06/2005,England,Kennington Oval,0,759,16.50,,8,38.25,,5,,,,20 years 344 days
50.0,18/06/2005,Australia,Sophia Gardens,100,859,18.28,,8,38.25,,5,,,,20 years 346 days
51.0,21/06/2005,England,Trent Bridge,94,953,19.85,,8,38.25,,5,,,,20 years 349 days
52.0,25/06/2005,Australia,Old Trafford,58,1011,20.63,,8,38.25,,5,,,,20 years 353 days
53.0,26/06/2005,England,Headingley,0,1011,20.22,,8,38.25,,5,,,,20 years 354 days
54.0,30/06/2005,Australia,St Lawrence Ground,7,1018,19.96,0/4,8,38.75,,5,,,,20 years 358 days
55.0,17/08/2005,ACA Africa XI,SuperSport Park,0,1018,19.58,,8,38.75,,5,,,,21 years 40 days
56.0,21/08/2005,ACA Africa XI,Kingsmead,-,1018,19.58,,8,38.75,,5,,,,21 years 44 days
57.0,31/08/2005,Sri Lanka,Sinhalese Sports Club Ground,4,1022,19.28,,8,38.75,,5,,,,21 years 54 days
58.0,02/09/2005,Sri Lanka,R Premadasa Stadium,31,1053,19.50,,8,38.75,,5,,,,21 years 56 days
59.0,04/09/2005,Sri Lanka,R Premadasa Stadium,0,1053,19.15,,8,38.75,,5,,,,21 years 58 days
60.0,20/02/2006,Sri Lanka,Shaheed Chandu Stadium,4,1057,18.88,,8,38.75,,5,,,,21 years 227 days
61.0,22/02/2006,Sri Lanka,Shaheed Chandu Stadium,51,1108,19.44,,8,38.75,1,6,,,,21 years 229 days
62.0,25/02/2006,Sri Lanka,Zahur Ahmed Chowdhury Stadium,64,1172,20.21,,8,38.75,1,7,,,,21 years 232 days
63.0,17/03/2006,Kenya,Shaheed Chandu Stadium,18,1190,20.17,2/9,10,31.90,1,8,,,,21 years 252 days
64.0,20/03/2006,Kenya,Sheikh Abu Naser Stadium,-,1190,20.17,,10,31.90,,8,,,,21 years 255 days
65.0,23/03/2006,Kenya,Khan Shaheb Osman Ali Stadium,3,1193,19.88,0/8,10,32.70,,8,,,,21 years 258 days
66.0,25/03/2006,Kenya,Khan Shaheb Osman Ali Stadium,11,1204,19.74,,10,32.70,,8,,,,21 years 260 days
67.0,23/04/2006,Australia,Zahur Ahmed Chowdhury Stadium,5,1209,19.50,,10,32.70,,8,,,,21 years 289 days
68.0,28/04/2006,Australia,Khan Shaheb Osman Ali Stadium,13,1222,19.40,,10,32.70,,8,,,,21 years 294 days
69.0,29/07/2006,Zimbabwe,Harare Sports Club,25,1247,19.48,0/17,10,34.40,1,9,,,,22 years 21 days
70.0,30/07/2006,Zimbabwe,Harare Sports Club,4,1251,19.25,,10,34.40,,9,,,,22 years 22 days
71.0,02/08/2006,Zimbabwe,Harare Sports Club,46,1297,19.65,,10,34.40,1,10,,,,22 years 25 days
72.0,04/08/2006,Zimbabwe,Harare Sports Club,6,1303,19.45,,10,34.40,1,11,,,,22 years 27 days
73.0,06/08/2006,Zimbabwe,Harare Sports Club,-,1303,19.45,,10,34.40,,11,,,,22 years 29 days
