0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,1,1,0,0,1,0,89,89,89.00,115.58,4,0
AMI Stadium,1,1,0,0,0,0,4,4,4.00,28.57,0,1
Antigua Recreation Ground,2,0,0,0,0,0,0,0,,,1,2
Boland Park,1,1,0,0,1,0,60,60,60.00,85.71,1,0
Buffalo Park,1,1,0,0,0,0,8,8,8.00,38.10,1,0
Castle Avenue,4,4,2,0,1,0,55,167,83.50,98.82,5,0
Civil Service Cricket Club,2,2,1,0,0,0,13*,22,22.00,64.71,3,1
Diamond Oval,1,1,1,1,0,0,110*,110,,94.83,0,0
Dubai International Cricket Stadium,3,3,0,1,0,0,144,170,56.67,83.33,5,0
Eden Park,1,1,0,0,0,1,0,0,0.00,,0,0
Edgbaston,2,2,0,0,1,0,61,85,42.50,78.70,1,0
Gaddafi Stadium,2,2,0,0,0,0,44,60,30.00,93.75,2,0
Hagley Oval,2,2,1,0,0,0,42*,66,66.00,78.57,2,0
Harare Sports Club,8,7,0,1,2,0,101,299,42.71,67.19,6,4
Kennington Oval,4,4,0,0,2,0,79,185,46.25,89.37,2,0
Kensington Oval,3,3,1,0,0,0,38*,61,30.50,54.46,1,0
Khan Shaheb Osman Ali Stadium,3,3,0,1,0,0,117,142,47.33,89.31,2,0
Lord's,1,1,0,0,0,0,16,16,16.00,84.21,1,0
Mahinda Rajapaksha International Cricket Stadium,2,1,0,0,0,0,3,3,3.00,25.00,0,0
Manuka Oval,1,1,0,0,1,0,71,71,71.00,126.79,0,0
McLean Park,3,3,1,0,0,0,8,17,8.50,34.00,2,1
Melbourne Cricket Ground,2,2,0,0,0,0,36,63,31.50,76.83,2,1
National Cricket Stadium (Grenada),2,2,0,0,0,0,12,18,9.00,48.65,4,0
National Stadium (Karachi),3,3,0,0,0,0,22,45,15.00,53.57,0,0
P Sara Oval,1,1,0,0,0,0,28,28,28.00,57.14,2,0
Pallekele International Cricket Stadium,1,1,0,0,0,0,9,9,9.00,112.50,0,1
Providence Stadium,3,3,0,0,1,0,68,104,34.67,114.29,4,1
Queen's Park Oval,3,2,1,0,1,0,56*,62,62.00,44.29,2,0
Queens Sports Club,10,9,1,0,1,0,98,268,33.50,75.92,12,1
Queenstown Events Centre,1,1,0,0,0,1,0,0,0.00,,0,0
R Premadasa Stadium,5,5,1,0,2,2,98*,175,43.75,79.55,8,0
Rangiri Dambulla International Stadium,5,4,0,0,0,0,30,38,9.50,52.05,3,2
Saxton Oval,1,1,0,0,1,0,60,60,60.00,142.86,1,0
Seddon Park,1,1,0,0,0,0,15,15,15.00,60.00,0,0
Senwes Park,1,1,0,0,0,0,1,1,1.00,20.00,0,0
Sheikh Abu Naser Stadium,2,2,1,0,1,0,79,95,95.00,87.16,4,0
Sheikh Zayed Stadium,2,2,0,0,1,0,99,132,66.00,78.57,1,0
Shere Bangla National Stadium,86,81,12,2,14,2,107,2351,34.07,79.43,66,20
Sinhalese Sports Club Ground,1,1,0,0,0,1,0,0,0.00,,1,0
Sir Vivian Richards Stadium,2,2,1,0,0,1,2*,2,2.00,25.00,0,0
Sophia Gardens,2,2,0,0,0,0,44,58,29.00,69.05,0,1
Sylhet Stadium,1,1,1,0,0,0,16*,16,,114.29,1,0
The Cooper Associates County Ground,1,1,0,0,0,0,1,1,1.00,20.00,2,0
The Rose Bowl,1,1,0,0,1,0,83,83,83.00,95.40,1,2
The Village,4,4,1,0,1,0,63,115,38.33,96.64,5,0
Titwood,1,1,0,0,0,1,0,0,0.00,,0,0
Trent Bridge,2,2,1,1,0,0,102*,124,124.00,107.83,1,0
University Oval,2,2,0,0,1,0,86,103,51.50,76.87,1,0
Warner Park,3,3,0,0,1,0,72,115,38.33,68.05,2,0
Willowmoore Park,1,1,0,0,0,0,2,2,2.00,18.18,0,0
Windsor Park,2,2,0,0,0,0,31,42,21.00,87.50,0,1
Zahur Ahmed Chowdhury Stadium,16,14,7,0,2,1,67*,340,48.57,75.56,19,5
Overall (52),216,202,34,7,37,10,144,6100,36.31,79.04,181,44
