0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,08/04/1995,Pakistan,Sharjah Cricket Stadium,run out,3,7,42.86,,3,3.00,42.86
2,16/07/1997,Pakistan,R Premadasa Stadium,lbw b Kabir Khan,8,13,61.54,,11,5.50,55.00
3,22/07/1997,Sri Lanka,Sinhalese Sports Club Ground,c R S Kalpage b K S C de Silva,47,85,55.29,,58,19.33,55.24
4,24/07/1997,India,Sinhalese Sports Club Ground,lbw b A Kuruvilla,0,1,0.00,,58,14.50,54.72
5,14/05/1998,India,Punjab Cricket Association IS Bindra Stadium,c M Azharuddin b R L Sanghvi,25,58,43.10,,83,16.60,50.61
6,17/05/1998,Kenya,Lal Bahadur Shastri Stadium,not out,4*,4,100.00,,87,17.40,51.79
7,23/05/1998,Kenya,MA Chidambaram Stadium,c R D Shah b A Y A Karim,41,54,75.93,,128,21.33,57.66
8,25/05/1998,India,Wankhede Stadium,c V V S Laxman b A Kumble,6,23,26.09,,134,19.14,54.69
9,16/03/1999,Pakistan,Bangabandhu National Stadium,b Wajahatullah Wasti,8,15,53.33,,142,17.75,54.62
10,21/03/1999,Zimbabwe,Bangabandhu National Stadium,b A G Huckle,18,21,85.71,,160,17.78,56.94
11,24/03/1999,Kenya,Bangabandhu National Stadium,c A Y A Karim b M Sheikh,6,9,66.67,,166,16.60,57.24
12,17/05/1999,New Zealand,County Ground (Chelmsford),lbw b G R Larsen,18,51,35.29,,184,16.73,53.96
13,21/05/1999,West Indies,Castle Avenue,lbw b C A Walsh,45,72,62.50,,229,19.08,55.45
14,24/05/1999,Scotland,Grange Cricket Club,c I M Stanger b J E Brinkley,36,58,62.07,,265,20.38,56.26
15,27/05/1999,Australia,Riverside Ground,c R T Ponting b T M Moody,2,5,40.00,,267,19.07,56.09
16,31/05/1999,Pakistan,County Ground (Northampton),b Waqar Younis,13,20,65.00,,280,18.67,56.45
17,08/10/1999,West Indies,Bangabandhu National Stadium,did not bat,-,-,-,,280,18.67,56.45
18,29/05/2000,Sri Lanka,Bangabandhu National Stadium,run out,0,0,-,,280,17.50,56.45
19,30/05/2000,India,Bangabandhu National Stadium,not out,39*,38,102.63,,319,19.94,59.74
20,02/06/2000,Pakistan,Bangabandhu National Stadium,lbw b Abdul Razzaq,7,21,33.33,,326,19.18,58.74
21,05/10/2000,England,Gymkhana Club Ground,c N Hussain b A R Caddick,46,60,76.67,,372,20.67,60.49
22,07/04/2001,Zimbabwe,Harare Sports Club,c G J Whittall b D T Mutendera,19,40,47.50,,391,20.58,59.69
23,08/04/2001,Zimbabwe,Harare Sports Club,b D P Viljoen,25,21,119.05,,416,20.80,61.54
24,11/04/2001,Zimbabwe,Queens Sports Club,run out,25,17,147.06,,441,21.00,63.64
25,04/08/2002,Sri Lanka,Sinhalese Sports Club Ground,run out,3,6,50.00,,444,20.18,63.52
26,05/08/2002,Sri Lanka,Sinhalese Sports Club Ground,c †K C Sangakkara b K H Fernando,0,4,0.00,,444,19.30,63.16
27,29/11/2002,West Indies,MA Aziz Stadium,did not bat,-,-,-,,444,19.30,63.16
28,02/12/2002,West Indies,Bangabandhu National Stadium,run out,37,53,69.81,,481,20.04,63.62
29,03/12/2002,West Indies,Bangabandhu National Stadium,c & b C H Gayle,7,15,46.67,,488,19.52,63.29
No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,,
