0,1,2,3,4,5,6,7,8,9
Versus,O,M,R,W,4w,Best,Avg,S/R,E/R
Afghanistan,2.3,0,8,0,0,0/8,,,3.20
England,17.0,1,82,2,0,1/29,41.00,51.00,4.82
India,38.4,0,166,2,0,2/33,83.00,116.00,4.29
New Zealand,25.0,1,118,4,0,2/32,29.50,37.50,4.72
Pakistan,26.0,0,141,3,0,1/1,47.00,52.00,5.42
Scotland,5.0,0,32,2,0,2/32,16.00,15.00,6.40
South Africa,36.0,1,162,4,0,3/26,40.50,54.00,4.50
Sri Lanka,11.0,1,51,1,0,1/20,51.00,66.00,4.64
West Indies,9.4,0,55,2,0,2/3,27.50,29.00,5.69
Zimbabwe,38.3,0,173,4,0,2/36,43.25,57.75,4.49
Overall (10),209.2,4,988,24,0,3/26,41.17,52.33,4.72
