0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,17/03/2006,Kenya,Shaheed Chandu Stadium,did not bat,-,-,-,,0,,
2,20/03/2006,Kenya,Sheikh Abu Naser Stadium,did not bat,-,-,-,,0,,
3,23/03/2006,Kenya,Khan Shaheb Osman Ali Stadium,did not bat,-,-,-,,0,,
4,25/03/2006,Kenya,Khan Shaheb Osman Ali Stadium,did not bat,-,-,-,,0,,
5,26/04/2006,Australia,Khan Shaheb Osman Ali Stadium,not out,1*,2,50.00,,1,,50.00
6,28/04/2006,Australia,Khan Shaheb Osman Ali Stadium,not out,2*,4,50.00,,3,,50.00
7,29/07/2006,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,3,,50.00
8,30/07/2006,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,3,,50.00
9,02/08/2006,Zimbabwe,Harare Sports Club,st B R M Taylor b H Masakadza,1,5,20.00,,4,4.00,36.36
10,04/08/2006,Zimbabwe,Harare Sports Club,not out,5*,5,100.00,,9,9.00,56.25
11,30/11/2006,Zimbabwe,Sheikh Abu Naser Stadium,did not bat,-,-,-,,9,9.00,56.25
12,03/12/2006,Zimbabwe,Shaheed Chandu Stadium,did not bat,-,-,-,,9,9.00,56.25
13,05/12/2006,Zimbabwe,Shaheed Chandu Stadium,c E C Rainsford b C B Mpofu,5,5,100.00,,14,7.00,66.67
14,08/12/2006,Zimbabwe,Shere Bangla National Stadium,did not bat,-,-,-,,14,7.00,66.67
15,15/12/2006,Scotland,Zahur Ahmed Chowdhury Stadium,did not bat,-,-,-,,14,7.00,66.67
16,17/12/2006,Scotland,Shere Bangla National Stadium,did not bat,-,-,-,,14,7.00,66.67
17,04/02/2007,Zimbabwe,Harare Sports Club,not out,0*,1,0.00,,14,7.00,63.64
18,06/02/2007,Zimbabwe,Harare Sports Club,lbw b A J Ireland,1,3,33.33,,15,5.00,60.00
19,10/02/2007,Zimbabwe,Harare Sports Club,not out,0*,6,0.00,,15,5.00,48.39
20,28/02/2007,Canada,Antigua Recreation Ground,did not bat,-,-,-,,15,5.00,48.39
21,15/04/2007,Ireland,Kensington Oval,not out,0*,2,0.00,,15,5.00,45.45
22,10/05/2007,India,Shere Bangla National Stadium,did not bat,-,-,-,,15,5.00,45.45
23,23/07/2007,Sri Lanka,R Premadasa Stadium,not out,9*,18,50.00,,24,8.00,47.06
24,25/07/2007,Sri Lanka,R Premadasa Stadium,b C R D Fernando,3,8,37.50,,27,6.75,45.76
25,26/12/2007,New Zealand,Eden Park,run out,3,9,33.33,,30,6.00,44.12
26,28/12/2007,New Zealand,McLean Park,did not bat,-,-,-,,30,6.00,44.12
27,31/12/2007,New Zealand,Queenstown Events Centre,not out,0*,0,-,,30,6.00,44.12
28,09/03/2008,South Africa,Zahur Ahmed Chowdhury Stadium,lbw b A Nel,0,1,0.00,,30,5.00,43.48
29,13/04/2008,Pakistan,Gaddafi Stadium,did not bat,-,-,-,,30,5.00,43.48
30,16/04/2008,Pakistan,Multan Cricket Stadium,not out,1*,8,12.50,,31,5.17,40.26
31,19/04/2008,Pakistan,National Stadium (Karachi),not out,9*,8,112.50,,40,6.67,47.06
32,08/06/2008,Pakistan,Shere Bangla National Stadium,did not bat,-,-,-,,40,6.67,47.06
33,24/06/2008,United Arab Emirates,Gaddafi Stadium,did not bat,-,-,-,,40,6.67,47.06
34,25/06/2008,Sri Lanka,Gaddafi Stadium,did not bat,-,-,-,,40,6.67,47.06
35,28/06/2008,India,National Stadium (Karachi),did not bat,-,-,-,,40,6.67,47.06
36,30/06/2008,Sri Lanka,National Stadium (Karachi),not out,0*,0,-,,40,6.67,47.06
37,04/07/2008,Pakistan,National Stadium (Karachi),not out,0*,6,0.00,,40,6.67,43.96
38,30/08/2008,Australia,Marrara Cricket Ground,c M J Clarke b C L White,0,2,0.00,,40,5.71,43.01
39,02/09/2008,Australia,Marrara Cricket Ground,not out,6*,13,46.15,,46,6.57,43.40
40,06/09/2008,Australia,Marrara Cricket Ground,absent hurt,DNB*,-,-,,46,6.57,43.40
41,09/10/2008,New Zealand,Shere Bangla National Stadium,did not bat,-,-,-,,46,6.57,43.40
42,11/10/2008,New Zealand,Shere Bangla National Stadium,run out,0,2,0.00,,46,5.75,42.59
43,14/10/2008,New Zealand,Zahur Ahmed Chowdhury Stadium,not out,12*,14,85.71,,58,7.25,47.54
44,05/02/2010,New Zealand,McLean Park,c J E C Franklin b J D P Oram,1,5,20.00,,59,6.56,46.46
45,08/02/2010,New Zealand,University Oval,not out,16*,7,228.57,,75,8.33,55.97
46,11/02/2010,New Zealand,AMI Stadium,run out,4,9,44.44,,79,7.90,55.24
47,11/03/2012,Pakistan,Shere Bangla National Stadium,not out,0*,7,0.00,,79,7.90,52.67
48,16/03/2012,India,Shere Bangla National Stadium,did not bat,-,-,-,,79,7.90,52.67
49,20/03/2012,Sri Lanka,Shere Bangla National Stadium,did not bat,-,-,-,,79,7.90,52.67
50,22/03/2012,Pakistan,Shere Bangla National Stadium,not out,0*,1,0.00,,79,7.90,52.32
51,28/03/2013,Sri Lanka,Pallekele International Cricket Stadium,did not bat,-,-,-,,79,7.90,52.32
No. of Innings Played = 28,No. of Innings Played = 28,No. of Innings Played = 28,No. of Innings Played = 28,No. of Innings Played = 28,No. of Innings Played = 28,No. of Innings Played = 28,No. of Innings Played = 28,No. of Innings Played = 28,No. of Innings Played = 28,,
