0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,17/03/2006,Kenya,Shaheed Chandu Stadium,H S Modi (c Aftab Ahmed),5.0,1/16,,30.00,3.20,1,16.00
2.0,20/03/2006,Kenya,Sheikh Abu Naser Stadium,,4.0,0/20,,54.00,4.00,,36.00
3.0,25/03/2006,Kenya,Khan Shaheb Osman Ali Stadium,M A Ouma (lbw),6.0,1/22,,45.00,3.87,2,29.00
4.0,26/04/2006,Australia,Khan Shaheb Osman Ali Stadium,,10.0,0/50,,75.00,4.32,,54.00
5.0,28/04/2006,Australia,Khan Shaheb Osman Ali Stadium,,5.0,0/32,,90.00,4.67,,70.00
6.0,29/07/2006,Zimbabwe,Harare Sports Club,H Masakadza (c Mohammad Ashraful),10.0,3/34,,48.00,4.35,3,34.80
,,,,S Matsikenyeri (c Mashrafe Mortaza),,,,,,4,
,,,,V Sibanda (b),,,,,,5,
7.0,30/07/2006,Zimbabwe,Harare Sports Club,N B Mahwire (c Abdur Razzak),7.4,3/41,,35.75,4.51,6,26.88
,,,,B R M Taylor (b),,,,,,7,
,,,,C J Chibhabha (c †Khaled Mashud),,,,,,8,
8.0,02/08/2006,Zimbabwe,Harare Sports Club,E Chigumbura (lbw),10.0,3/52,,31.45,4.63,9,24.27
,,,,P Utseya (c †Khaled Mashud),,,,,,10,
,,,,T V Mufambisi (c †Khaled Mashud),,,,,,11,
9.0,04/08/2006,Zimbabwe,Harare Sports Club,,5.0,0/44,,34.18,4.96,,28.27
10.0,30/11/2006,Zimbabwe,Sheikh Abu Naser Stadium,E Chigumbura (b),9.0,1/32,,35.83,4.79,12,28.58
11.0,03/12/2006,Zimbabwe,Shaheed Chandu Stadium,B R M Taylor (c Mashrafe Mortaza),10.0,1/51,,37.69,4.82,13,30.31
12.0,05/12/2006,Zimbabwe,Shaheed Chandu Stadium,H Masakadza (c Shakib Al Hasan),10.0,2/42,,36.67,4.76,14,29.07
,,,,B R M Taylor (b),,,,,,15,
13.0,08/12/2006,Zimbabwe,Shere Bangla National Stadium,S C Williams (lbw),10.0,2/36,,35.88,4.64,16,27.76
,,,,K M Dabengwa (b),,,,,,17,
14.0,15/12/2006,Scotland,Zahur Ahmed Chowdhury Stadium,G M Hamilton (c Habibul Bashar),8.0,3/38,,32.90,4.65,18,25.50
,,,,N F I McCallum (lbw),,,,,,19,
,,,,N S Poonia (c Aftab Ahmed),,,,,,20,
15.0,17/12/2006,Scotland,Shere Bangla National Stadium,G M Hamilton (b),8.0,1/34,,33.62,4.62,21,25.90
16.0,04/02/2007,Zimbabwe,Harare Sports Club,T Duffin (b),8.0,1/48,,34.27,4.71,22,26.91
