0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,10/10/1997,Kenya,Gymkhana Club Ground,b R W Ali,14,22,63.64,,14,14.00,63.64
2,11/10/1997,Zimbabwe,Gymkhana Club Ground,c C N Evans b E Matambanadzo,10,20,50.00,,24,12.00,57.14
3,14/10/1997,Zimbabwe,Aga Khan Sports Club Ground,c P A Strang b B C Strang,0,6,0.00,,24,8.00,50.00
4,15/10/1997,Kenya,Aga Khan Sports Club Ground,c S O Tikolo b T M Odoyo,16,47,34.04,,40,10.00,42.11
5,10/01/1998,India,Bangabandhu National Stadium,c S R Tendulkar b J Srinath,1,19,5.26,,41,8.20,35.96
6,16/03/1999,Pakistan,Bangabandhu National Stadium,c Saeed Anwar b Wasim Akram,5,16,31.25,,46,7.67,35.38
7,20/03/1999,Kenya,Bangabandhu National Stadium,lbw b M Sheikh,95,145,65.52,,141,20.14,51.27
8,21/03/1999,Zimbabwe,Bangabandhu National Stadium,run out,5,7,71.43,,146,18.25,51.77
9,24/03/1999,Kenya,Bangabandhu National Stadium,c & b M A Suji,0,1,0.00,,146,16.22,51.59
10,25/03/1999,Zimbabwe,Bangabandhu National Stadium,st A Flower b A R Whittall,68,117,58.12,,214,21.40,53.50
11,17/05/1999,New Zealand,County Ground (Chelmsford),lbw b G I Allott,0,3,0.00,,214,19.45,53.10
12,21/05/1999,West Indies,Castle Avenue,c S L Campbell b C A Walsh,2,5,40.00,,216,18.00,52.94
13,31/05/1999,Pakistan,County Ground (Northampton),lbw b Saqlain Mushtaq,39,60,65.00,,255,19.62,54.49
14,08/10/1999,West Indies,Bangabandhu National Stadium,lbw b J C Adams,45,73,61.64,,300,21.43,55.45
15,09/10/1999,West Indies,Bangabandhu National Stadium,st R D Jacobs b S L Campbell,47,70,67.14,,347,23.13,56.79
16,29/05/2000,Sri Lanka,Bangabandhu National Stadium,c P A de Silva b W P U J C Vaas,2,11,18.18,,349,21.81,56.11
17,30/05/2000,India,Bangabandhu National Stadium,c S B Joshi b T A S Kumaran,11,34,32.35,,360,21.18,54.88
18,02/06/2000,Pakistan,Bangabandhu National Stadium,absent hurt,DNB*,-,-,,360,21.18,54.88
19,10/03/2004,Zimbabwe,Harare Sports Club,c B G Rogers b H H Streak,2,23,8.70,,362,20.11,53.31
20,15/05/2004,West Indies,Arnos Vale Ground,c C H Gayle b T L Best,0,3,0.00,,362,19.05,53.08
No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,No. of Innings Played = 20,,
