0,1,2,3,4,5,6,7,8,9,10,11,12
Versus,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Australia,9,9,0,0,3,3,75,255,28.33,70.64,1,0
Bermuda,2,2,1,1,0,0,104*,116,116.00,84.67,0,0
Canada,1,1,0,0,0,1,0,0,0.00,,0,0
England,3,3,0,0,0,0,11,30,10.00,49.18,1,0
India,2,2,0,0,0,0,9,11,5.50,42.31,0,0
Ireland,4,4,1,0,3,0,90*,211,70.33,73.52,2,0
Kenya,7,7,0,0,2,0,91,239,34.14,72.42,1,0
Netherlands,1,1,0,0,0,0,37,37,37.00,61.67,0,0
New Zealand,4,4,0,0,1,1,73,119,29.75,95.20,0,0
Pakistan,7,7,0,0,0,1,25,76,10.86,49.35,4,0
Scotland,2,2,0,0,0,0,36,60,30.00,57.69,0,0
South Africa,4,4,0,0,0,0,25,47,11.75,60.26,0,0
Sri Lanka,10,10,0,0,1,2,51,185,18.50,59.68,3,0
West Indies,2,2,0,0,0,1,38,38,19.00,41.30,0,0
Zimbabwe,17,17,3,3,3,2,123*,777,55.50,73.16,1,0
Overall (15),75,75,5,4,13,11,123*,2201,31.44,69.04,13,0
