0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,31/08/2005,Sri Lanka,Sinhalese Sports Club Ground,lbw b U D U Chandana,15,15,100.00,,15,15.00,100.00
2,02/09/2005,Sri Lanka,R Premadasa Stadium,did not bat,-,-,-,,15,15.00,100.00
3,04/09/2005,Sri Lanka,R Premadasa Stadium,c U D U Chandana b T M Dilshan,2,10,20.00,,17,8.50,68.00
4,20/02/2006,Sri Lanka,Shaheed Chandu Stadium,c P D R Perera b S T Jayasuriya,7,6,116.67,,24,8.00,77.42
5,22/02/2006,Sri Lanka,Shaheed Chandu Stadium,did not bat,-,-,-,,24,8.00,77.42
6,25/02/2006,Sri Lanka,Zahur Ahmed Chowdhury Stadium,not out,2*,4,50.00,,26,8.67,74.29
7,17/03/2006,Kenya,Shaheed Chandu Stadium,did not bat,-,-,-,,26,8.67,74.29
8,20/03/2006,Kenya,Sheikh Abu Naser Stadium,did not bat,-,-,-,,26,8.67,74.29
9,23/03/2006,Kenya,Khan Shaheb Osman Ali Stadium,run out,0,3,0.00,,26,6.50,68.42
10,25/03/2006,Kenya,Khan Shaheb Osman Ali Stadium,did not bat,-,-,-,,26,6.50,68.42
11,23/04/2006,Australia,Zahur Ahmed Chowdhury Stadium,c †A C Gilchrist b A Symonds,0,4,0.00,,26,5.20,61.90
12,06/08/2006,Zimbabwe,Harare Sports Club,did not bat,-,-,-,,26,5.20,61.90
13,12/08/2006,Kenya,Gymkhana Club Ground,did not bat,-,-,-,,26,5.20,61.90
14,13/08/2006,Kenya,Gymkhana Club Ground,did not bat,-,-,-,,26,5.20,61.90
15,15/08/2006,Kenya,Gymkhana Club Ground,did not bat,-,-,-,,26,5.20,61.90
16,07/10/2006,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,not out,1*,2,50.00,,27,5.40,61.36
17,11/10/2006,West Indies,Sawai Mansingh Stadium,c M N Samuels b J E Taylor,3,17,17.65,,30,5.00,49.18
18,09/12/2006,Zimbabwe,Shere Bangla National Stadium,did not bat,-,-,-,,30,5.00,49.18
19,25/02/2007,Bermuda,Antigua Recreation Ground,did not bat,-,-,-,,30,5.00,49.18
20,17/03/2007,India,Queen's Park Oval,did not bat,-,-,-,,30,5.00,49.18
21,21/03/2007,Sri Lanka,Queen's Park Oval,run out,0,1,0.00,,30,4.29,48.39
22,25/03/2007,Bermuda,Queen's Park Oval,did not bat,-,-,-,,30,4.29,48.39
23,02/04/2007,New Zealand,Sir Vivian Richards Stadium,b J D P Oram,10,18,55.56,,40,5.00,50.00
24,07/04/2007,South Africa,Providence Stadium,did not bat,-,-,-,,40,5.00,50.00
25,11/04/2007,England,Kensington Oval,c A Flintoff b S I Mahmood,4,2,200.00,,44,4.89,53.66
26,19/04/2007,West Indies,Kensington Oval,b C H Gayle,2,13,15.38,,46,4.60,48.42
27,10/05/2007,India,Shere Bangla National Stadium,did not bat,-,-,-,,46,4.60,48.42
28,12/05/2007,India,Shere Bangla National Stadium,not out,4*,7,57.14,,50,5.00,49.02
29,20/07/2007,Sri Lanka,P Sara Oval,run out,1,9,11.11,,51,4.64,45.95
30,23/07/2007,Sri Lanka,R Premadasa Stadium,c J Mubarak b S T Jayasuriya,3,10,30.00,,54,4.50,44.63
31,25/07/2007,Sri Lanka,R Premadasa Stadium,not out,2*,8,25.00,,56,4.67,43.41
32,09/03/2008,South Africa,Zahur Ahmed Chowdhury Stadium,c †A B de Villiers b J A Morkel,0,6,0.00,,56,4.31,41.48
33,12/03/2008,South Africa,Shere Bangla National Stadium,not out,0*,4,0.00,,56,4.31,40.29
34,11/04/2008,Pakistan,Iqbal Stadium,did not bat,-,-,-,,56,4.31,40.29
35,09/10/2008,New Zealand,Shere Bangla National Stadium,did not bat,-,-,-,,56,4.31,40.29
36,11/10/2008,New Zealand,Shere Bangla National Stadium,not out,0*,2,0.00,,56,4.31,39.72
37,14/10/2008,New Zealand,Zahur Ahmed Chowdhury Stadium,did not bat,-,-,-,,56,4.31,39.72
38,07/11/2008,South Africa,Senwes Park,c J L Ontong b J A Morkel,7,12,58.33,,63,4.50,41.18
39,09/11/2008,South Africa,Willowmoore Park,c †M V Boucher b J A Morkel,1,3,33.33,,64,4.27,41.03
40,26/07/2009,West Indies,Windsor Park,b K A J Roach,7,7,100.00,,71,4.44,43.56
41,28/07/2009,West Indies,Windsor Park,did not bat,-,-,-,,71,4.44,43.56
42,09/08/2009,Zimbabwe,Queens Sports Club,did not bat,-,-,-,,71,4.44,43.56
43,11/08/2009,Zimbabwe,Queens Sports Club,did not bat,-,-,-,,71,4.44,43.56
44,14/08/2009,Zimbabwe,Queens Sports Club,not out,1*,2,50.00,,72,4.50,43.64
45,16/08/2009,Zimbabwe,Queens Sports Club,did not bat,-,-,-,,72,4.50,43.64
46,18/08/2009,Zimbabwe,Queens Sports Club,did not bat,-,-,-,,72,4.50,43.64
47,07/01/2010,India,Shere Bangla National Stadium,did not bat,-,-,-,,72,4.50,43.64
48,08/01/2010,Sri Lanka,Shere Bangla National Stadium,not out,7*,10,70.00,,79,4.94,45.14
49,11/01/2010,India,Shere Bangla National Stadium,did not bat,-,-,-,,79,4.94,45.14
50,16/06/2010,India,Rangiri Dambulla International Stadium,b V Sehwag,0,1,0.00,,79,4.65,44.89
51,18/06/2010,Sri Lanka,Rangiri Dambulla International Stadium,not out,0*,5,0.00,,79,4.65,43.65
52,15/07/2010,Ireland,Civil Service Cricket Club,not out,2*,4,50.00,,81,4.76,43.78
No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,,
