0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,23/09/2002,New Zealand,Sinhalese Sports Club Ground,not out,1*,3,33.33,,1,,33.33
2,03/10/2002,South Africa,Senwes Park,b J H Kallis,0,3,0.00,,1,1.00,16.67
3,06/10/2002,South Africa,Willowmoore Park,not out,0*,0,-,,1,1.00,16.67
4,09/10/2002,South Africa,Diamond Oval,b M van Jaarsveld,0,1,0.00,,1,0.50,14.29
5,18/02/2003,West Indies,Willowmoore Park,did not bat,-,-,-,,1,0.50,14.29
6,22/02/2003,South Africa,Mangaung Oval,not out,4*,8,50.00,,5,2.50,33.33
No. of Innings Played = 5,No. of Innings Played = 5,No. of Innings Played = 5,No. of Innings Played = 5,No. of Innings Played = 5,No. of Innings Played = 5,No. of Innings Played = 5,No. of Innings Played = 5,No. of Innings Played = 5,No. of Innings Played = 5,,
