0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,17/05/2006,Canada,Queen's Park Oval,c †A Bagai b H Osinde,5,19,26.32,,5,5.00,26.32
2,18/05/2006,Zimbabwe,Queen's Park Oval,b A J Ireland,0,14,0.00,,5,2.50,15.15
3,20/05/2006,Zimbabwe,Queen's Park Oval,c V Sibanda b P Utseya,25,65,38.46,,30,10.00,30.61
4,19/08/2006,Canada,"Cricket, Skating & Curling Club",not out,39*,71,54.93,,69,23.00,40.83
5,21/08/2006,Canada,"Cricket, Skating & Curling Club",c sub b K T Sandher,18,47,38.30,,87,21.75,40.28
6,11/11/2006,Kenya,Mombasa Sports Ground,c & b J K Kamande,17,30,56.67,,104,20.80,42.28
7,12/11/2006,Kenya,Mombasa Sports Ground,c P J Ongondo b T M Odoyo,7,15,46.67,,111,18.50,42.53
8,14/11/2006,Kenya,Mombasa Sports Ground,not out,10*,28,35.71,,121,20.17,41.87
9,27/11/2006,Canada,Senwes Park,not out,20*,26,76.92,,141,23.50,44.76
10,28/11/2006,Netherlands,Senwes Park,b D L S van Bunge,43,76,56.58,,184,26.29,47.06
11,30/11/2006,Canada,Willowmoore Park,lbw b G R Codrington,57,104,54.81,,241,30.13,48.69
12,02/12/2006,Netherlands,Willowmoore Park,did not bat,-,-,-,,241,30.13,48.69
13,29/01/2007,Kenya,Jaffrey Sports Club Ground,c R D Shah b P J Ongondo,8,27,29.63,,249,27.67,47.70
14,31/01/2007,Ireland,Jaffrey Sports Club Ground,c W B Rankin b A C Botha,7,8,87.50,,256,25.60,48.30
15,02/02/2007,Canada,Gymkhana Club Ground,lbw b S Dhaniram,13,14,92.86,,269,24.45,49.45
16,05/02/2007,Scotland,Ruaraka Sports Club Ground,did not bat,-,-,-,,269,24.45,49.45
17,25/02/2007,Bangladesh,Antigua Recreation Ground,run out,32,36,88.89,,301,25.08,51.90
18,26/02/2007,Canada,Antigua Recreation Ground,c †A Bagai b G R Codrington,30,66,45.45,,331,25.46,51.24
19,15/03/2007,Sri Lanka,Queen's Park Oval,c †K C Sangakkara b S L Malinga,0,4,0.00,,331,23.64,50.92
20,25/03/2007,Bangladesh,Queen's Park Oval,not out,0*,0,-,,331,23.64,50.92
No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,No. of Innings Played = 18,,
