0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,17/05/2006,Bermuda,Queen's Park Oval,,4.0,0/23,,,5.75,,
2.0,05/08/2006,Kenya,"Cricket, Skating & Curling Club",S O Tikolo (c K T Sandher),5.0,1/25,,54.00,5.33,1,48.00
3.0,06/08/2006,Kenya,"Cricket, Skating & Curling Club",,3.0,0/2,,72.00,4.17,,50.00
4.0,19/08/2006,Bermuda,"Cricket, Skating & Curling Club",,6.0,0/26,,108.00,4.22,,76.00
5.0,21/08/2006,Bermuda,"Cricket, Skating & Curling Club",J J Tucker (lbw),10.0,1/31,,84.00,3.82,2,53.50
6.0,26/11/2006,Netherlands,Senwes Park,R N ten Doeschate (lbw),8.0,1/34,,72.00,3.92,3,47.00
7.0,27/11/2006,Bermuda,Senwes Park,,10.0,0/38,,92.00,3.89,,59.67
8.0,30/11/2006,Bermuda,Willowmoore Park,L O B Cann (lbw),10.0,4/33,,48.00,3.79,4,30.29
,,,,H Durham (b),,,,,,5,
,,,,S Mukuddem (lbw),,,,,,6,
,,,,K A D Hurdle (c U Bhatti),,,,,,7,
9.0,01/12/2006,Netherlands,Willowmoore Park,J Smits (lbw),8.0,1/54,,48.00,4.16,8,33.25
10.0,18/01/2007,Scotland,Mombasa Sports Ground,J A R Blain (c sub),7.5,2/38,,43.10,4.23,9,30.40
,,,,C M Wright (st †A A Mulla),,,,,,10,
11.0,24/01/2007,Kenya,Mombasa Sports Ground,R D Shah (c & b),6.0,1/21,,42.45,4.18,11,29.55
12.0,02/02/2007,Bermuda,Gymkhana Club Ground,D L Hemp (st †A Bagai),3.0,1/15,,40.42,4.21,12,28.33
13.0,04/02/2007,Ireland,Jaffrey Sports Club Ground,N J O'Brien (lbw),9.0,1/63,,41.46,4.49,13,31.00
14.0,05/02/2007,Kenya,Jaffrey Sports Club Ground,T Mishra (c J M Davison),10.0,1/47,,42.79,4.51,14,32.14
15.0,26/02/2007,Bermuda,Antigua Recreation Ground,S Mukuddem (c †A Bagai),6.0,1/20,,42.33,4.44,15,31.33
16.0,28/02/2007,Bangladesh,Antigua Recreation Ground,,6.0,0/37,,44.73,4.53,,33.80
17.0,18/03/2007,England,Darren Sammy National Cricket Stadium,R S Bopara (b),10.0,1/70,,45.69,4.74,16,36.06
