0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,11/02/2003,Bangladesh,Kingsmead,c Alok Kapali b Sanwar Hossain,0,4,0.00,,0,0.00,0.00
2,15/02/2003,Kenya,Newlands,lbw b M O Odumbe,0,4,0.00,,0,0.00,0.00
3,19/02/2003,Sri Lanka,Boland Park,lbw b R A P Nissanka,0,2,0.00,,0,0.00,0.00
4,23/02/2003,West Indies,SuperSport Park,run out,11,32,34.38,,11,2.75,26.19
5,27/02/2003,South Africa,Buffalo Park,c †M V Boucher b A J Hall,16,36,44.44,,27,5.40,34.62
6,03/03/2003,New Zealand,Willowmoore Park,lbw b J D P Oram,17,49,34.69,,44,7.33,34.65
No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,,
