0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,07/08/2011,Afghanistan,Maple Leaf North - West Ground,0,0,0.00,0/43,0,,,0,,,,26 years 134 days
2.0,19/09/2011,Ireland,Castle Avenue,10,10,5.00,1/35,1,78.00,,0,,,,26 years 177 days
3.0,20/09/2011,Ireland,Castle Avenue,25,35,11.67,1/45,2,61.50,1,1,,,,26 years 178 days
4.0,12/07/2012,Scotland,Cambusdoon New Ground,11*,46,15.33,0/26,2,74.50,,1,,,,27 years 109 days
5.0,11/03/2013,Kenya,ICC Global Cricket Academy,0*,46,15.33,1/38,3,62.33,,1,,,,27 years 351 days
6.0,13/03/2013,Kenya,ICC Global Cricket Academy,4*,50,16.67,0/32,3,73.00,,1,,,,27 years 353 days
7.0,27/08/2013,Netherlands,Maple Leaf North - West Ground,-,50,16.67,1/20,4,59.75,1,2,,,,28 years 155 days
8.0,29/08/2013,Netherlands,Maple Leaf North - West Ground,12,62,15.50,0/13,4,63.00,,2,,,,28 years 157 days
9.0,23/01/2014,Scotland,Hagley Oval,5,67,13.40,0/50,4,75.50,,2,,,,28 years 304 days
