0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,16/05/2006,Zimbabwe,Queen's Park Oval,not out,2*,12,16.67,,2,,16.67
2,17/05/2006,Bermuda,Queen's Park Oval,b J J Tucker,9,22,40.91,,11,11.00,32.35
3,05/08/2006,Kenya,"Cricket, Skating & Curling Club",c T M Odoyo b H A Varaiya,12,46,26.09,,23,11.50,28.75
4,21/08/2006,Bermuda,"Cricket, Skating & Curling Club",c L O B Cann b H Durham,5,7,71.43,,28,9.33,32.18
5,26/11/2006,Netherlands,Senwes Park,did not bat,-,-,-,,28,9.33,32.18
6,27/11/2006,Bermuda,Senwes Park,did not bat,-,-,-,,28,9.33,32.18
7,30/11/2006,Bermuda,Willowmoore Park,did not bat,-,-,-,,28,9.33,32.18
8,01/12/2006,Netherlands,Willowmoore Park,did not bat,-,-,-,,28,9.33,32.18
9,23/01/2007,Scotland,Mombasa Sports Ground,not out,1*,1,100.00,,29,9.67,32.95
10,24/01/2007,Kenya,Mombasa Sports Ground,not out,4*,3,133.33,,33,11.00,36.26
11,30/01/2007,Netherlands,Ruaraka Sports Club Ground,c †J Smits b R N ten Doeschate,0,1,0.00,,33,8.25,35.87
12,31/01/2007,Scotland,Ruaraka Sports Club Ground,not out,0*,0,-,,33,8.25,35.87
13,26/02/2007,Bermuda,Antigua Recreation Ground,did not bat,-,-,-,,33,8.25,35.87
14,22/03/2007,New Zealand,Darren Sammy National Cricket Stadium,b J S Patel,2,6,33.33,,35,7.00,35.71
15,03/07/2007,Netherlands,"Cricket, Skating & Curling Club",c †J Smits b E Schiferli,1,9,11.11,,36,6.00,33.64
No. of Innings Played = 10,No. of Innings Played = 10,No. of Innings Played = 10,No. of Innings Played = 10,No. of Innings Played = 10,No. of Innings Played = 10,No. of Innings Played = 10,No. of Innings Played = 10,No. of Innings Played = 10,No. of Innings Played = 10,,
