0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,16/02/2010,Afghanistan,Sharjah Cricket Stadium,c Mohammad Nabi b Samiullah Shinwari,12,26,46.15,,12,12.00,46.15
2,18/02/2010,Afghanistan,Sharjah Cricket Stadium,not out,14*,24,58.33,,26,26.00,52.00
3,13/04/2010,West Indies,Sabina Park,st A D S Fletcher b S J Benn,5,13,38.46,,31,15.50,49.21
4,07/08/2011,Afghanistan,Maple Leaf North - West Ground,c Karim Sadiq b Mirwais Ashraf,18,20,90.00,,49,16.33,59.04
5,09/08/2011,Afghanistan,"Cricket, Skating & Curling Club",c sub b Samiullah Shinwari,9,7,128.57,,58,14.50,64.44
6,19/09/2011,Ireland,Castle Avenue,c G C Wilson b W B Rankin,50,81,61.73,,108,21.60,63.16
7,20/09/2011,Ireland,Castle Avenue,run out,24,39,61.54,,132,22.00,62.86
8,12/07/2012,Scotland,Cambusdoon New Ground,run out,0,2,0.00,,132,18.86,62.26
9,11/03/2013,Kenya,ICC Global Cricket Academy,c I A Karim b E Otieno,30,31,96.77,,162,20.25,66.67
10,13/03/2013,Kenya,ICC Global Cricket Academy,c E Otieno b N N Odhiambo,8,5,160.00,,170,18.89,68.55
11,28/01/2014,Netherlands,Bay Oval,c Mudassar Bukhari b P M Seelaar,19,37,51.35,,189,18.90,66.32
No. of Innings Played = 11,No. of Innings Played = 11,No. of Innings Played = 11,No. of Innings Played = 11,No. of Innings Played = 11,No. of Innings Played = 11,No. of Innings Played = 11,No. of Innings Played = 11,No. of Innings Played = 11,No. of Innings Played = 11,,
