0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,15/12/2002,Australia,Melbourne Cricket Ground,6,6,6.00,1/46,1,46.00,,0,,,,20 years 138 days
2.0,17/12/2002,Sri Lanka,Brisbane Cricket Ground,0,6,3.00,2/48,3,31.33,,0,,,,20 years 140 days
3.0,20/12/2002,Sri Lanka,WACA Ground,1*,7,3.50,2/23,5,23.40,,0,,,,20 years 143 days
4.0,11/01/2003,Australia,Bellerive Oval,-,7,3.50,2/40,7,22.43,,0,,,,20 years 165 days
5.0,13/01/2003,Sri Lanka,Sydney Cricket Ground,1,8,2.67,2/58,9,23.89,1,1,,,,20 years 167 days
6.0,17/01/2003,Sri Lanka,Adelaide Oval,-,8,2.67,2/54,11,24.45,,1,,,,20 years 171 days
7.0,19/01/2003,Australia,Adelaide Oval,8,16,4.00,1/12,12,23.42,,1,,,,20 years 173 days
8.0,23/01/2003,Australia,Sydney Cricket Ground,0,16,3.20,0/35,12,26.33,,1,,,,20 years 177 days
9.0,25/01/2003,Australia,Melbourne Cricket Ground,0,16,2.67,1/57,13,28.69,1,2,,,,20 years 179 days
10.0,16/02/2003,Netherlands,Buffalo Park,-,16,2.67,4/25,17,23.41,,2,,,,20 years 201 days
11.0,19/02/2003,Namibia,St George's Park,0*,16,2.67,1/44,18,24.56,,2,,,,20 years 204 days
12.0,22/02/2003,Pakistan,Newlands,-,16,2.67,4/29,22,21.41,,2,,,,20 years 207 days
13.0,26/02/2003,India,Kingsmead,2,18,2.57,1/61,23,23.13,,2,,,,20 years 211 days
14.0,02/03/2003,Australia,St George's Park,-,18,2.57,0/66,23,26.00,,2,,,,20 years 215 days
15.0,17/06/2003,Pakistan,Old Trafford,6*,24,3.43,3/59,26,25.27,,2,,,,20 years 322 days
16.0,20/06/2003,Pakistan,Kennington Oval,-,24,3.43,4/27,30,22.80,,2,,,,20 years 325 days
17.0,22/06/2003,Pakistan,Lord's,-,24,3.43,1/52,31,23.74,,2,,,,20 years 327 days
18.0,28/06/2003,South Africa,Kennington Oval,-,24,3.43,2/54,33,23.94,,2,,,,20 years 333 days
19.0,01/07/2003,Zimbabwe,Headingley,-,24,3.43,,33,23.94,,2,,,,20 years 336 days
20.0,03/07/2003,South Africa,Old Trafford,-,24,3.43,1/37,34,24.32,,2,,,,20 years 338 days
21.0,06/07/2003,Zimbabwe,County Ground (Bristol),-,24,3.43,1/15,35,24.06,,2,,,,20 years 341 days
22.0,08/07/2003,South Africa,Edgbaston,-,24,3.43,4/38,39,22.56,,2,,,,20 years 343 days
23.0,12/07/2003,South Africa,Lord's,-,24,3.43,3/50,42,22.14,,2,,,,20 years 347 days
24.0,07/11/2003,Bangladesh,MA Aziz Stadium,-,24,3.43,1/33,43,22.40,,2,,,,21 years 99 days
25.0,10/11/2003,Bangladesh,Bangabandhu National Stadium,-,24,3.43,2/17,45,21.78,,2,,,,21 years 102 days
26.0,12/11/2003,Bangladesh,Bangabandhu National Stadium,-,24,3.43,1/36,46,22.09,1,3,,,,21 years 104 days
27.0,18/11/2003,Sri Lanka,Rangiri Dambulla International Stadium,4*,28,4.00,0/25,46,22.63,,3,,,,21 years 110 days
28.0,24/04/2004,West Indies,Queen's Park Oval,-,28,4.00,1/13,47,22.43,,3,,,,21 years 268 days
29.0,01/05/2004,West Indies,Darren Sammy National Cricket Stadium,-,28,4.00,2/66,49,22.86,,3,,,,21 years 275 days
30.0,02/05/2004,West Indies,Darren Sammy National Cricket Stadium,-,28,4.00,0/27,49,23.41,,3,,,,21 years 276 days
31.0,05/05/2004,West Indies,Kensington Oval,-,28,4.00,1/42,50,23.78,1,4,,,,21 years 279 days
32.0,27/06/2004,West Indies,Trent Bridge,2*,30,4.29,2/39,52,23.62,,4,,,,21 years 332 days
33.0,29/06/2004,New Zealand,Riverside Ground,11,41,5.13,0/28,52,24.15,,4,,,,21 years 334 days
34.0,01/07/2004,West Indies,Headingley,-,41,5.13,3/37,55,23.51,1,5,,,,21 years 336 days
35.0,04/07/2004,New Zealand,County Ground (Bristol),-,41,5.13,0/29,55,24.04,,5,,,,21 years 339 days
36.0,06/07/2004,West Indies,Lord's,-,41,5.13,2/69,57,24.40,,5,,,,21 years 341 days
37.0,28/11/2004,Zimbabwe,Harare Sports Club,-,41,5.13,1/38,58,24.64,,5,,,,22 years 121 days
38.0,01/12/2004,Zimbabwe,Harare Sports Club,-,41,5.13,1/24,59,24.63,1,6,,,,22 years 124 days
39.0,04/12/2004,Zimbabwe,Queens Sports Club,-,41,5.13,0/51,59,25.49,2,8,,,,22 years 127 days
40.0,10/12/2005,Pakistan,Gaddafi Stadium,-,41,5.13,1/33,60,25.62,,8,,,,23 years 133 days
41.0,12/12/2005,Pakistan,Gaddafi Stadium,-,41,5.13,,60,25.62,,8,,,,23 years 135 days
42.0,15/12/2005,Pakistan,National Stadium (Karachi),-,41,5.13,0/72,60,26.82,,8,,,,23 years 138 days
43.0,19/12/2005,Pakistan,Rawalpindi Cricket Stadium,11,52,5.78,2/26,62,26.37,,8,,,,23 years 142 days
44.0,21/12/2005,Pakistan,Rawalpindi Cricket Stadium,-,52,5.78,4/48,66,25.50,1,9,,,,23 years 144 days
45.0,28/03/2006,India,Arun Jaitley Stadium,12*,64,7.11,2/41,68,25.35,,9,,,,23 years 241 days
46.0,31/03/2006,India,Nahar Singh Stadium,2,66,6.60,1/60,69,25.86,1,10,,,,23 years 244 days
47.0,03/04/2006,India,Nehru Stadium (Margao),2*,68,6.80,1/40,70,26.06,,10,,,,23 years 247 days
48.0,06/04/2006,India,Nehru Stadium (Kochi),1*,69,6.90,2/52,72,26.06,1,11,,,,23 years 250 days
49.0,12/04/2006,India,Keenan Stadium,-,69,6.90,3/28,75,25.39,,11,,,,23 years 256 days
50.0,15/04/2006,India,Holkar Cricket Stadium,0*,69,6.90,0/67,75,26.28,,11,,,,23 years 259 days
51.0,15/10/2006,India,Sawai Mansingh Stadium,1,70,6.36,2/40,77,26.12,,11,,,,24 years 77 days
52.0,21/10/2006,Australia,Sawai Mansingh Stadium,15,85,7.08,1/31,78,26.18,,11,,,,24 years 83 days
53.0,28/10/2006,West Indies,Sardar Patel Stadium,-,85,7.08,0/72,78,27.10,,11,,,,24 years 90 days
54.0,12/01/2007,Australia,Melbourne Cricket Ground,-,85,7.08,0/47,78,27.71,,11,,,,24 years 166 days
55.0,16/01/2007,New Zealand,Bellerive Oval,-,85,7.08,4/42,82,26.87,,11,,,,24 years 170 days
56.0,19/01/2007,Australia,Brisbane Cricket Ground,4*,89,7.42,2/29,84,26.57,2,13,,,,24 years 173 days
57.0,23/01/2007,New Zealand,Adelaide Oval,0*,89,7.42,2/47,86,26.50,,13,,,,24 years 177 days
58.0,16/03/2007,New Zealand,Darren Sammy National Cricket Stadium,-,89,7.42,2/39,88,26.34,,13,,,,24 years 229 days
59.0,18/03/2007,Canada,Darren Sammy National Cricket Stadium,-,89,7.42,1/40,89,26.49,,13,,,,24 years 231 days
60.0,24/03/2007,Kenya,Darren Sammy National Cricket Stadium,-,89,7.42,2/27,91,26.21,,13,,,,24 years 237 days
61.0,30/03/2007,Ireland,Providence Stadium,-,89,7.42,1/35,92,26.30,,13,,,,24 years 243 days
62.0,04/04/2007,Sri Lanka,Sir Vivian Richards Stadium,-,89,7.42,0/38,92,26.72,,13,,,,24 years 248 days
63.0,08/04/2007,Australia,Sir Vivian Richards Stadium,0,89,6.85,0/49,92,27.25,,13,,,,24 years 252 days
64.0,11/04/2007,Bangladesh,Kensington Oval,-,89,6.85,2/30,94,26.99,,13,,,,24 years 255 days
65.0,17/04/2007,South Africa,Kensington Oval,0,89,6.36,0/32,94,27.33,,13,,,,24 years 261 days
66.0,21/04/2007,West Indies,Kensington Oval,0*,89,6.36,0/39,94,27.74,,13,,,,24 years 265 days
67.0,01/07/2007,West Indies,Lord's,0*,89,6.36,2/23,96,27.41,,13,,,,24 years 336 days
68.0,04/07/2007,West Indies,Edgbaston,3,92,6.13,1/78,97,27.93,1,14,,,,24 years 339 days
69.0,07/07/2007,West Indies,Trent Bridge,11*,103,6.87,2/51,99,27.88,,14,,,,24 years 342 days
70.0,21/08/2007,India,The Rose Bowl,-,103,6.87,4/23,103,27.02,,14,,,,25 years 21 days
71.0,24/08/2007,India,County Ground (Bristol),-,103,6.87,1/56,104,27.30,,14,,,,25 years 24 days
72.0,27/08/2007,India,Edgbaston,0*,103,6.87,3/32,107,26.83,,14,,,,25 years 27 days
73.0,30/08/2007,India,Old Trafford,-,103,6.87,3/38,110,26.45,,14,,,,25 years 30 days
74.0,02/09/2007,India,Headingley,1*,104,6.93,1/60,111,26.75,1,15,,,,25 years 33 days
