0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,24/08/1972,Australia,Old Trafford,-,0,,2/38,2,19.00,,0,,,,27 years 355 days
2.0,26/08/1972,Australia,Lord's,11*,11,,0/47,2,42.50,,0,,,,27 years 357 days
3.0,28/08/1972,Australia,Edgbaston,-,11,,4/27,6,18.67,,0,,,,27 years 359 days
4.0,18/07/1973,New Zealand,St Helen's,-,11,,3/28,9,15.56,,0,,,,28 years 318 days
5.0,20/07/1973,New Zealand,Old Trafford,0*,11,,,9,15.56,,0,,,,28 years 320 days
6.0,07/09/1973,West Indies,Kennington Oval,17,28,28.00,2/24,11,14.91,,0,,,,29 years 3 days
7.0,13/07/1974,India,Headingley,-,28,28.00,2/42,13,15.85,,0,,,,29 years 312 days
8.0,15/07/1974,India,Kennington Oval,-,28,28.00,0/20,13,17.38,1,1,,,,29 years 314 days
9.0,03/09/1974,Pakistan,Edgbaston,2,30,15.00,1/7,14,16.64,,1,,,,30 years 364 days
10.0,01/01/1975,Australia,Melbourne Cricket Ground,-,30,15.00,2/30,16,16.44,,1,,,,30 years 119 days
11.0,08/03/1975,New Zealand,Carisbrook,0,30,10.00,0/6,16,16.81,,1,,,,30 years 185 days
12.0,07/06/1975,India,Lord's,-,30,10.00,1/20,17,17.00,,1,,,,30 years 276 days
13.0,11/06/1975,New Zealand,Trent Bridge,-,30,10.00,1/35,18,18.00,1,2,,,,30 years 280 days
14.0,18/06/1975,Australia,Headingley,18*,48,16.00,1/15,19,17.84,,2,,,,30 years 287 days
