0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,21/02/2012,Pakistan,Dubai International Cricket Stadium,0,0,0.00,,0,,,0,,,,21 years 165 days
2.0,23/01/2013,India,Punjab Cricket Association IS Bindra Stadium,14,14,7.00,,0,,,0,1,,1,22 years 137 days
3.0,27/01/2013,India,Himachal Pradesh Cricket Association Stadium,-,14,7.00,,0,,,0,,,1,22 years 141 days
4.0,17/02/2013,New Zealand,Seddon Park,21,35,11.67,,0,,,0,1,,2,22 years 162 days
5.0,20/02/2013,New Zealand,McLean Park,-,35,11.67,,0,,,0,2,,4,22 years 165 days
6.0,23/02/2013,New Zealand,Eden Park,3,38,9.50,,0,,,0,3,,7,22 years 168 days
7.0,31/05/2013,New Zealand,Lord's,14,52,10.40,,0,,,0,2,,9,22 years 265 days
8.0,02/06/2013,New Zealand,The Rose Bowl,2,54,9.00,,0,,,0,,,9,22 years 267 days
9.0,05/06/2013,New Zealand,Trent Bridge,47*,101,16.83,,0,,,0,2,,11,22 years 270 days
10.0,08/06/2013,Australia,Edgbaston,1,102,14.57,,0,,,0,2,,13,22 years 273 days
11.0,13/06/2013,Sri Lanka,Kennington Oval,0,102,12.75,,0,,,0,,,13,22 years 278 days
12.0,16/06/2013,New Zealand,Sophia Gardens,14,116,12.89,,0,,,0,1,,14,22 years 281 days
13.0,19/06/2013,South Africa,Kennington Oval,-,116,12.89,,0,,,0,6,,20,22 years 284 days
14.0,23/06/2013,India,Edgbaston,0,116,11.60,,0,,,0,,,20,22 years 288 days
15.0,03/09/2013,Ireland,The Village,-,116,11.60,,0,,,0,,,20,22 years 360 days
16.0,08/09/2013,Australia,Old Trafford,75,191,17.36,,0,,,0,3,,23,23 years 0 days
17.0,11/09/2013,Australia,Edgbaston,-,191,17.36,,0,,,0,,,23,23 years 3 days
18.0,14/09/2013,Australia,Sophia Gardens,65*,256,23.27,,0,,,0,3,,26,23 years 6 days
19.0,16/09/2013,Australia,The Rose Bowl,42,298,24.83,,0,,,0,4,1,31,23 years 8 days
20.0,12/01/2014,Australia,Melbourne Cricket Ground,34*,332,27.67,,0,,,0,,,31,23 years 126 days
21.0,17/01/2014,Australia,Brisbane Cricket Ground,49,381,29.31,,0,,,0,1,,32,23 years 131 days
22.0,19/01/2014,Australia,Sydney Cricket Ground,4,385,27.50,,0,,,0,,,32,23 years 133 days
23.0,24/01/2014,Australia,WACA Ground,71,456,30.40,,0,,,0,5,,37,23 years 138 days
24.0,26/01/2014,Australia,Adelaide Oval,5,461,28.81,,0,,,0,2,,39,23 years 140 days
25.0,28/02/2014,West Indies,Sir Vivian Richards Stadium,12,473,27.82,,0,,,0,1,,40,23 years 173 days
26.0,02/03/2014,West Indies,Sir Vivian Richards Stadium,0,473,26.28,,0,,,0,,2,42,23 years 175 days
27.0,05/03/2014,West Indies,Sir Vivian Richards Stadium,99,572,30.11,,0,,,0,2,,44,23 years 178 days
28.0,09/05/2014,Scotland,Mannofield Park,9,581,29.05,,0,,,0,,,44,23 years 243 days
29.0,22/05/2014,Sri Lanka,Kennington Oval,26*,607,30.35,,0,,,0,2,,46,23 years 256 days
30.0,25/05/2014,Sri Lanka,Riverside Ground,4,611,29.10,,0,,,0,1,,47,23 years 259 days
31.0,28/05/2014,Sri Lanka,Old Trafford,-,611,29.10,,0,,,0,4,,51,23 years 262 days
32.0,31/05/2014,Sri Lanka,Lord's,121,732,33.27,,0,,,0,,1,52,23 years 265 days
33.0,03/06/2014,Sri Lanka,Edgbaston,21,753,32.74,,0,,,0,,,52,23 years 268 days
34.0,27/08/2014,India,Sophia Gardens,2,755,31.46,,0,,,0,1,1,54,23 years 353 days
35.0,30/08/2014,India,Trent Bridge,42,797,31.88,,0,,,0,1,,55,23 years 356 days
36.0,02/09/2014,India,Edgbaston,11,808,31.08,,0,,,0,,,55,23 years 359 days
37.0,05/09/2014,India,Headingley,49,857,31.74,,0,,,0,1,,56,23 years 362 days
38.0,26/11/2014,Sri Lanka,R Premadasa Stadium,21,878,31.36,,0,,,0,1,,57,24 years 79 days
39.0,29/11/2014,Sri Lanka,R Premadasa Stadium,7,885,30.52,,0,,,0,,,57,24 years 82 days
40.0,03/12/2014,Sri Lanka,Mahinda Rajapaksha International Cricket Stadium,55*,940,32.41,,0,,,0,2,1,60,24 years 86 days
41.0,07/12/2014,Sri Lanka,R Premadasa Stadium,15,955,31.83,,0,,,0,,,60,24 years 90 days
42.0,10/12/2014,Sri Lanka,Pallekele International Cricket Stadium,2*,957,31.90,,0,,,0,,,60,24 years 93 days
43.0,13/12/2014,Sri Lanka,Pallekele International Cricket Stadium,22,979,31.58,,0,,,0,1,,61,24 years 96 days
44.0,16/12/2014,Sri Lanka,R Premadasa Stadium,23,1002,31.31,,0,,,0,,,61,24 years 99 days
45.0,16/01/2015,Australia,Sydney Cricket Ground,28,1030,31.21,,0,,,0,2,,63,24 years 130 days
46.0,20/01/2015,India,Brisbane Cricket Ground,-,1030,31.21,,0,,,0,4,1,68,24 years 134 days
47.0,23/01/2015,Australia,Bellerive Oval,25,1055,31.03,,0,,,0,,,68,24 years 137 days
48.0,30/01/2015,India,WACA Ground,67,1122,32.06,,0,,,0,4,,72,24 years 144 days
49.0,01/02/2015,Australia,WACA Ground,17,1139,31.64,,0,,,0,1,1,74,24 years 146 days
50.0,14/02/2015,Australia,Melbourne Cricket Ground,10,1149,31.05,,0,,,0,1,,75,24 years 159 days
51.0,20/02/2015,New Zealand,Westpac Stadium,3,1152,30.32,,0,,,0,,,75,24 years 165 days
52.0,23/02/2015,Scotland,Hagley Oval,24,1176,30.15,,0,,,0,4,,79,24 years 168 days
53.0,01/03/2015,Sri Lanka,Westpac Stadium,39*,1215,31.15,,0,,,0,,,79,24 years 174 days
54.0,09/03/2015,Bangladesh,Adelaide Oval,65,1280,32.00,,0,,,0,1,,80,24 years 182 days
55.0,13/03/2015,Afghanistan,Sydney Cricket Ground,-,1280,32.00,,0,,,0,2,,82,24 years 186 days
56.0,09/06/2015,New Zealand,Edgbaston,129,1409,34.37,,0,,,0,1,,83,24 years 274 days
57.0,12/06/2015,New Zealand,Kennington Oval,41,1450,34.52,,0,,,0,1,,84,24 years 277 days
58.0,14/06/2015,New Zealand,The Rose Bowl,13,1463,34.02,,0,,,0,,,84,24 years 279 days
59.0,17/06/2015,New Zealand,Trent Bridge,-,1463,34.02,,0,,,0,1,,85,24 years 282 days
60.0,03/09/2015,Australia,The Rose Bowl,4,1467,33.34,,0,,,0,1,,86,24 years 360 days
61.0,05/09/2015,Australia,Lord's,0,1467,32.60,,0,,,0,1,,87,24 years 362 days
62.0,11/11/2015,Pakistan,Sheikh Zayed Stadium,1,1468,31.91,,0,,,0,,,87,25 years 63 days
63.0,13/11/2015,Pakistan,Sheikh Zayed Stadium,11,1479,31.47,,0,,,0,3,,90,25 years 65 days
64.0,17/11/2015,Pakistan,Sharjah Cricket Stadium,49*,1528,32.51,,0,,,0,1,,91,25 years 69 days
65.0,20/11/2015,Pakistan,Dubai International Cricket Stadium,116*,1644,34.98,,0,,,0,1,,92,25 years 72 days
66.0,03/02/2016,South Africa,Mangaung Oval,105,1749,36.44,,0,,,0,,,92,25 years 147 days
67.0,06/02/2016,South Africa,St George's Park,48*,1797,37.44,,0,,,0,1,,93,25 years 150 days
68.0,09/02/2016,South Africa,SuperSport Park,0,1797,36.67,,0,,,0,1,,94,25 years 153 days
69.0,12/02/2016,South Africa,Wanderers Stadium,1,1798,35.96,,0,,,0,,,94,25 years 156 days
70.0,14/02/2016,South Africa,Newlands,0,1798,35.25,,0,,,0,1,1,96,25 years 158 days
71.0,21/06/2016,Sri Lanka,Trent Bridge,93,1891,36.37,,0,,,0,2,,98,25 years 286 days
72.0,24/06/2016,Sri Lanka,Edgbaston,-,1891,36.37,,0,,,0,1,,99,25 years 289 days
73.0,26/06/2016,Sri Lanka,County Ground (Bristol),-,1891,36.37,,0,,,0,2,,101,25 years 291 days
74.0,29/06/2016,Sri Lanka,Kennington Oval,17*,1908,36.69,,0,,,0,,,101,25 years 294 days
75.0,02/07/2016,Sri Lanka,Sophia Gardens,70,1978,37.32,,0,,,0,,1,102,25 years 297 days
76.0,24/08/2016,Pakistan,The Rose Bowl,-,1978,37.32,,0,,,0,1,,103,25 years 350 days
77.0,27/08/2016,Pakistan,Lord's,4,1982,36.70,,0,,,0,3,,106,25 years 353 days
78.0,30/08/2016,Pakistan,Trent Bridge,90*,2072,38.37,,0,,,0,1,,107,25 years 356 days
79.0,07/10/2016,Bangladesh,Shere Bangla National Stadium,63,2135,38.82,,0,,,0,2,1,110,26 years 29 days
