0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,1,1,0,0,0,0,39,39,39.00,62.90,1,0
AMI Stadium,1,1,0,0,0,0,42,42,42.00,60.00,0,0
Arun Jaitley Stadium,1,1,0,0,0,1,0,0,0.00,,1,0
Barabati Stadium,1,1,0,0,0,0,11,11,11.00,73.33,0,0
Brisbane Cricket Ground,1,1,0,0,0,0,22,22,22.00,73.33,1,0
County Ground (Bristol),1,1,0,0,0,0,36,36,36.00,87.80,0,0
Dubai International Cricket Stadium,2,2,0,0,1,0,80,84,42.00,84.00,0,0
Eden Gardens,1,1,0,0,1,0,60,60,60.00,98.36,0,0
Eden Park,2,2,0,0,0,0,46,55,27.50,60.44,3,0
Edgbaston,6,6,0,0,1,0,56,156,26.00,66.38,4,0
Headingley,4,4,0,0,0,0,48,139,34.75,76.80,3,0
Himachal Pradesh Cricket Association Stadium,1,1,0,0,0,0,22,22,22.00,55.00,0,0
JSCA International Stadium Complex,1,1,0,0,0,0,17,17,17.00,60.71,0,0
Kennington Oval,9,9,0,1,1,1,112,254,28.22,71.95,3,0
Lord's,8,8,0,1,0,0,119,257,32.13,70.99,1,0
Mahinda Rajapaksha International Cricket Stadium,1,1,0,0,0,0,34,34,34.00,80.95,0,0
Mannofield Park,1,1,0,0,0,0,44,44,44.00,93.62,0,0
McLean Park,2,2,0,0,2,0,78,147,73.50,81.67,2,0
Melbourne Cricket Ground,1,1,0,0,0,0,4,4,4.00,100.00,1,0
Nehru Stadium (Kochi),1,1,0,0,0,0,17,17,17.00,62.96,0,0
Old Trafford,5,5,1,0,1,1,58,158,39.50,80.61,1,0
Pallekele International Cricket Stadium,2,2,0,0,0,0,20,21,10.50,65.63,1,0
Punjab Cricket Association IS Bindra Stadium,2,2,0,0,1,0,76,79,39.50,68.10,1,0
R Premadasa Stadium,5,5,0,0,1,0,80,172,34.40,63.00,1,0
Rajiv Gandhi International Stadium,1,1,0,0,1,0,60,60,60.00,95.24,0,0
Rangiri Dambulla International Stadium,3,3,0,0,0,1,46,47,15.67,47.47,2,0
Riverside Ground,2,2,0,0,0,0,29,33,16.50,58.93,1,0
Saurashtra Cricket Association Stadium,1,1,0,0,1,0,75,75,75.00,90.36,0,0
Seddon Park,2,2,0,0,1,0,53,57,28.50,69.51,0,0
Sheikh Zayed Stadium,2,2,0,2,0,0,137,239,119.50,90.87,1,0
Shere Bangla National Stadium,2,2,0,0,2,0,64,124,62.00,96.12,2,0
Sophia Gardens,4,4,1,0,2,0,64,143,47.67,95.97,1,0
Sydney Cricket Ground,1,1,0,0,0,0,35,35,35.00,97.22,0,0
The Rose Bowl,5,5,1,1,1,2,102,216,54.00,96.00,1,0
Trent Bridge,5,5,1,0,2,1,95*,208,52.00,83.87,2,0
WACA Ground,1,1,0,0,0,0,44,44,44.00,102.33,1,0
Wankhede Stadium,1,1,0,0,0,0,10,10,10.00,52.63,0,0
Westpac Stadium,1,1,0,0,0,0,11,11,11.00,42.31,0,0
Zahur Ahmed Chowdhury Stadium,1,1,0,0,0,0,32,32,32.00,74.42,1,0
Overall (39),92,92,4,5,19,7,137,3204,36.41,77.13,36,0
