0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,05/09/1973,West Indies,Headingley,66,66,66.00,,0,,,0,,,,32 years 278 days
2.0,07/09/1973,West Indies,Kennington Oval,0,66,33.00,,0,,,0,,,,32 years 280 days
3.0,13/07/1974,India,Headingley,8,74,24.67,,0,,,0,,,,33 years 223 days
4.0,15/07/1974,India,Kennington Oval,24,98,24.50,,0,,1,1,,,,33 years 225 days
5.0,31/08/1974,Pakistan,Trent Bridge,32,130,26.00,,0,,,1,,,,33 years 272 days
6.0,03/09/1974,Pakistan,Edgbaston,9,139,23.17,,0,,,1,,,,33 years 275 days
7.0,01/01/1975,Australia,Melbourne Cricket Ground,12,151,21.57,,0,,,1,,,,34 years 30 days
8.0,09/03/1975,New Zealand,Basin Reserve,-,151,21.57,,0,,,1,,,,34 years 97 days
9.0,07/06/1975,India,Lord's,37*,188,26.86,,0,,,1,,,,34 years 187 days
10.0,11/06/1975,New Zealand,Trent Bridge,37,225,28.13,,0,,,1,,,,34 years 191 days
11.0,14/06/1975,East Africa,Edgbaston,12*,237,29.63,,0,,,1,,,,34 years 194 days
12.0,18/06/1975,Australia,Headingley,27,264,29.33,,0,,,1,,,,34 years 198 days
