0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,18.0,2,60,2,0,1/19,30.00,54.00,3.33
Albion Sports Complex,5.0,0,21,1,0,1/21,21.00,30.00,4.20
Brisbane Cricket Ground,26.3,4,88,6,1,4/23,14.67,26.50,3.32
Edgbaston,23.0,1,107,1,0,1/64,107.00,138.00,4.65
Gaddafi Stadium,8.0,0,38,1,0,1/38,38.00,48.00,4.75
Headingley,38.0,5,143,4,0,2/45,35.75,57.00,3.76
Kennington Oval,37.0,2,168,5,0,2/63,33.60,44.40,4.54
Lord's,12.0,1,33,0,0,0/33,,,2.75
Melbourne Cricket Ground,29.0,3,101,7,0,3/32,14.43,24.86,3.48
Old Trafford,43.0,4,190,5,0,2/46,38.00,51.60,4.42
Sydney Cricket Ground,51.0,6,181,5,0,2/28,36.20,61.20,3.55
The Cooper Associates County Ground,11.0,0,45,4,1,4/45,11.25,16.50,4.09
Trent Bridge,9.0,4,16,0,0,0/16,,,1.78
WACA Ground,30.0,1,100,7,1,4/46,14.29,25.71,3.33
Overall (14),340.3,33,1291,48,3,4/23,26.90,42.56,3.79
