0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,23/12/1977,Pakistan,Zafar Ali (Sahiwal) Stadium,-,0,,,0,,,0,1,,1,20 years 263 days
2.0,05/12/1984,India,Nehru Stadium (Pune),27*,27,,,0,,,0,,,1,27 years 245 days
3.0,27/12/1984,India,Barabati Stadium,44*,71,,,0,,,0,,,1,27 years 267 days
4.0,20/01/1985,India,M Chinnaswamy Stadium,12,83,83.00,,0,,,0,,1,2,27 years 291 days
5.0,23/01/1985,India,Vidarbha Cricket Association Ground,13,96,48.00,,0,,,0,2,,4,27 years 294 days
6.0,17/02/1985,Australia,Melbourne Cricket Ground,27,123,41.00,,0,,,0,,,4,27 years 319 days
7.0,26/02/1985,India,Sydney Cricket Ground,9,132,33.00,,0,,,0,2,,6,27 years 328 days
8.0,02/03/1985,Pakistan,Melbourne Cricket Ground,6,138,27.60,,0,,,0,1,,7,27 years 332 days
9.0,30/05/1985,Australia,Old Trafford,11,149,24.83,,0,,,0,1,,8,28 years 56 days
10.0,01/06/1985,Australia,Edgbaston,16*,165,27.50,,0,,,0,,,8,28 years 58 days
11.0,03/06/1985,Australia,Lord's,-,165,27.50,,0,,,0,,,8,28 years 60 days
12.0,18/02/1986,West Indies,Sabina Park,8,173,24.71,,0,,,0,2,1,11,28 years 320 days
13.0,04/03/1986,West Indies,Queen's Park Oval,-,173,24.71,,0,,,0,,,11,28 years 334 days
14.0,19/03/1986,West Indies,Kensington Oval,0,173,21.63,,0,,,0,1,,12,28 years 349 days
15.0,31/03/1986,West Indies,Queen's Park Oval,12,185,20.56,,0,,,0,,,12,28 years 361 days
16.0,24/05/1986,India,Kennington Oval,4,189,18.90,,0,,,0,1,,13,29 years 49 days
17.0,26/05/1986,India,Old Trafford,4*,193,19.30,,0,,,0,1,,14,29 years 51 days
18.0,09/10/1987,West Indies,Jinnah Stadium (Gujwranwala),3,196,17.82,,0,,,0,,,14,30 years 187 days
19.0,12/10/1987,Pakistan,Pindi Club Ground,0,196,16.33,,0,,,0,2,,16,30 years 190 days
20.0,17/10/1987,Sri Lanka,Arbab Niaz Stadium,-,196,16.33,,0,,,0,,,16,30 years 195 days
21.0,20/10/1987,Pakistan,National Stadium (Karachi),6,202,15.54,,0,,,0,,,16,30 years 198 days
22.0,26/10/1987,West Indies,Sawai Mansingh Stadium,-,202,15.54,,0,,,0,3,,19,30 years 204 days
23.0,30/10/1987,Sri Lanka,Nehru Stadium (Pune),-,202,15.54,,0,,,0,,1,20,30 years 208 days
24.0,05/11/1987,India,Wankhede Stadium,1*,203,15.62,,0,,,0,2,,22,30 years 214 days
25.0,08/11/1987,Australia,Eden Gardens,9,212,15.14,,0,,,0,1,,23,30 years 217 days
26.0,19/05/1988,West Indies,Edgbaston,-,212,15.14,,0,,,0,1,,24,31 years 45 days
27.0,21/05/1988,West Indies,Headingley,30,242,16.13,,0,,,0,4,,28,31 years 47 days
28.0,23/05/1988,West Indies,Lord's,-,242,16.13,,0,,,0,1,,29,31 years 49 days
