0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Arbab Niaz Stadium,1,0,0,0,0,0,0,0,,,0,0
Barabati Stadium,1,1,1,0,0,0,44*,44,,107.32,0,0
Eden Gardens,1,1,0,0,0,0,9,9,9.00,112.50,1,0
Edgbaston,2,1,1,0,0,0,16*,16,,177.78,1,0
Headingley,1,1,0,0,0,0,30,30,30.00,63.83,4,0
Jinnah Stadium (Gujwranwala),1,1,0,0,0,0,3,3,3.00,75.00,0,0
Kennington Oval,1,1,0,0,0,0,4,4,4.00,23.53,1,0
Kensington Oval,1,1,0,0,0,1,0,0,0.00,,1,0
Lord's,2,0,0,0,0,0,0,0,,,1,0
M Chinnaswamy Stadium,1,1,0,0,0,0,12,12,12.00,66.67,0,1
Melbourne Cricket Ground,2,2,0,0,0,0,27,33,16.50,46.48,1,0
National Stadium (Karachi),1,1,0,0,0,0,6,6,6.00,46.15,0,0
Nehru Stadium (Pune),2,1,1,0,0,0,27*,27,,72.97,0,1
Old Trafford,2,2,1,0,0,0,11,15,15.00,68.18,2,0
Pindi Club Ground,1,1,0,0,0,1,0,0,0.00,,2,0
Queen's Park Oval,2,1,0,0,0,0,12,12,12.00,85.71,0,0
Sabina Park,1,1,0,0,0,0,8,8,8.00,36.36,2,1
Sawai Mansingh Stadium,1,0,0,0,0,0,0,0,,,3,0
Sydney Cricket Ground,1,1,0,0,0,0,9,9,9.00,52.94,2,0
Vidarbha Cricket Association Ground,1,1,0,0,0,0,13,13,13.00,144.44,2,0
Wankhede Stadium,1,1,1,0,0,0,1*,1,,20.00,2,0
Zafar Ali (Sahiwal) Stadium,1,0,0,0,0,0,0,0,,,1,0
Overall (22),28,20,5,0,0,2,44*,242,16.13,67.60,26,3
