0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,8.0,1,33,1,0,1/33,33.00,48.00,4.13
AMI Stadium,10.0,0,28,1,0,1/28,28.00,60.00,2.80
Arnos Vale Ground,26.0,3,108,3,0,1/27,36.00,52.00,4.15
Arun Jaitley Stadium,8.3,1,25,2,0,2/25,12.50,25.50,2.94
Barabati Stadium,10.0,3,15,0,0,0/15,,,1.50
Basin Reserve,9.0,1,22,3,0,3/22,7.33,18.00,2.44
Bourda,19.2,2,75,2,0,1/33,37.50,58.00,3.88
Brisbane Cricket Ground,19.0,3,85,1,0,1/47,85.00,114.00,4.47
Captain Roop Singh Stadium,10.0,1,47,0,0,0/47,,,4.70
Eden Park,10.0,3,31,1,0,1/31,31.00,60.00,3.10
Edgbaston,20.0,2,67,1,0,1/37,67.00,120.00,3.35
Green Park,10.0,2,31,0,0,0/31,,,3.10
Headingley,21.0,4,60,2,0,2/23,30.00,63.00,2.86
Kennington Oval,10.0,0,54,0,0,0/54,,,5.40
Lal Bahadur Shastri Stadium,10.0,2,48,1,0,1/48,48.00,60.00,4.80
Lord's,11.0,3,34,3,0,3/34,11.33,22.00,3.09
Melbourne Cricket Ground,20.0,4,61,4,1,4/22,15.25,30.00,3.05
Queen's Park Oval,42.5,6,142,5,0,3/31,28.40,51.40,3.32
Sabina Park,19.0,0,91,2,0,1/41,45.50,57.00,4.79
Sharjah Cricket Stadium,20.0,5,56,4,0,3/32,14.00,30.00,2.80
Sydney Cricket Ground,29.0,3,94,7,0,3/28,13.43,24.86,3.24
Trent Bridge,31.0,3,94,2,0,1/27,47.00,93.00,3.03
Vidarbha Cricket Association Ground,6.0,0,58,1,0,1/58,58.00,36.00,9.67
WACA Ground,19.0,5,53,1,0,1/23,53.00,114.00,2.79
Overall (24),398.4,57,1412,47,1,4/22,30.04,50.89,3.54
