0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,13/07/1974,India,Headingley,S S Naik (lbw),11.0,2/44,,33.00,4.00,1,22.00
,,,,A L Wadekar (b),,,,,,2,
2.0,15/07/1974,India,Kennington Oval,F M Engineer (lbw),11.0,3/41,,26.40,3.86,3,17.00
,,,,S M Gavaskar (c G G Arnold),,,,,,4,
,,,,G Bose (c M H Denness),,,,,,5,
3.0,28/08/1976,West Indies,Lord's,,10.0,0/50,,38.40,4.22,,27.00
4.0,20/08/1980,Australia,Kennington Oval,G M Wood (c C W J Athey),11.0,1/46,,43.00,4.21,6,30.17
5.0,22/08/1980,Australia,Edgbaston,,11.0,0/45,,54.00,4.19,,37.67
6.0,04/06/1981,Australia,Lord's,K J Hughes (lbw),11.0,1/27,,55.71,3.89,7,36.14
7.0,06/06/1981,Australia,Edgbaston,G M Wood (c R G D Willis),11.0,1/47,,57.00,3.95,8,37.50
8.0,08/06/1981,Australia,Headingley,K J Hughes (c M W Gatting),11.0,1/48,,58.00,4.00,9,38.67
9.0,26/01/1983,Australia,Sydney Cricket Ground,G S Chappell (b),10.0,3/41,,48.50,4.01,10,32.42
,,,,K J Hughes (c †I J Gould),,,,,,11,
,,,,K C Wessels (b),,,,,,12,
10.0,29/01/1983,New Zealand,Adelaide Oval,R J Hadlee (c T E Jesty),10.0,2/49,,45.86,4.09,13,31.29
,,,,G P Howarth (b),,,,,,14,
11.0,30/01/1983,Australia,Adelaide Oval,G S Chappell (c D I Gower),10.0,2/36,,43.88,4.05,15,29.63
,,,,D W Hookes (c T E Jesty),,,,,,16,
12.0,05/02/1983,New Zealand,WACA Ground,,2.0,0/16,,44.63,4.12,,30.63
13.0,19/02/1983,New Zealand,Eden Park,,8.3,0/38,,47.81,4.14,,33.00
14.0,23/02/1983,New Zealand,Basin Reserve,G P Howarth (c I T Botham),10.0,1/38,,48.53,4.12,17,33.29
15.0,26/02/1983,New Zealand,AMI Stadium,B L Cairns (c V J Marks),8.0,2/32,,45.95,4.11,18,31.47
,,,,J J Crowe (lbw),,,,,,19,
