0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,04/12/2004,Zimbabwe,Queens Sports Club,T Taibu (c J M Anderson),8.0,2/43,,24.00,5.38,1,21.50
,,,,B R M Taylor (c †G O Jones),,,,,,2,
2.0,05/12/2004,Zimbabwe,Queens Sports Club,M A Vermeulen (c P D Collingwood),8.0,1/33,,32.00,4.75,3,25.33
3.0,26/06/2005,Bangladesh,Headingley,Shahriar Nafees (c M E Trescothick),9.0,1/44,,37.50,4.80,4,30.00
4.0,28/06/2005,Australia,Edgbaston,M L Hayden (lbw),10.0,2/53,,35.00,4.94,5,28.83
,,,,A C Gilchrist (c †G O Jones),,,,,,6,
5.0,02/07/2005,Australia,Lord's,M J Clarke (lbw),8.0,1/45,,36.86,5.07,7,31.14
6.0,07/07/2005,Australia,Headingley,,10.0,0/28,,45.43,4.64,,35.14
7.0,10/07/2005,Australia,Lord's,,5.0,0/29,,49.71,4.74,,39.29
