0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
AMI Stadium,5.0,1,24,0,0,0/24,,,4.80
County Ground (Bristol),10.0,0,55,0,0,0/24,,,5.50
Darren Sammy National Cricket Stadium,4.0,0,16,0,0,0/16,,,4.00
Eden Park,7.0,0,55,0,0,0/55,,,7.86
Edgbaston,18.0,1,84,0,0,0/10,,,4.67
Kennington Oval,10.0,0,55,2,0,2/55,27.50,30.00,5.50
Kensington Oval,11.0,1,50,3,0,3/26,16.67,22.00,4.55
Lord's,14.0,2,41,3,0,3/23,13.67,28.00,2.93
McLean Park,2.0,0,14,0,0,0/14,,,7.00
Providence Stadium,18.0,0,86,2,0,2/53,43.00,54.00,4.78
The Rose Bowl,10.0,1,28,1,0,1/28,28.00,60.00,2.80
Trent Bridge,28.0,0,126,2,0,1/49,63.00,84.00,4.50
Overall (12),137.0,6,634,13,0,3/23,48.77,63.23,4.63
