0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,06/06/1977,Australia,Kennington Oval,,5.0,0/24,,,4.80,,
2.0,23/12/1977,Pakistan,Zafar Ali (Sahiwal) Stadium,Shafiq Ahmed (b),7.0,1/46,,86.00,4.88,1,70.00
3.0,30/12/1977,Pakistan,Jinnah Stadium (Sialkot),Haroon Rashid (c B C Rose),6.0,1/43,,67.00,5.06,2,56.50
4.0,26/05/1978,Pakistan,Kennington Oval,Haroon Rashid (st †R W Taylor),11.0,2/24,,50.00,4.11,3,34.25
,,,,Arshad Pervez (lbw),,,,,,4,
5.0,15/07/1978,New Zealand,North Marine Road Ground,,1.0,0/6,,51.50,4.17,,35.75
6.0,17/07/1978,New Zealand,Old Trafford,G N Edwards (c D W Randall),11.0,2/27,,45.33,3.75,5,28.33
,,,,R J Hadlee (c D I Gower),,,,,,6,
7.0,13/06/1979,Canada,Old Trafford,,2.0,0/1,,47.33,3.61,,28.50
8.0,28/11/1979,West Indies,Sydney Cricket Ground,C G Greenidge (c R G D Willis),10.0,1/33,,49.14,3.56,7,29.14
9.0,02/06/1982,India,Headingley,,10.0,0/29,,57.71,3.46,,33.29
10.0,04/06/1982,India,Kennington Oval,S M Gavaskar (c R G D Willis),11.0,3/27,,47.00,3.32,8,26.00
,,,,S M H Kirmani (c I T Botham),,,,,,9,
,,,,S M Patil (b),,,,,,10,
11.0,17/07/1982,Pakistan,Trent Bridge,,11.0,0/36,,53.60,3.31,,29.60
12.0,19/07/1982,Pakistan,Old Trafford,Imran Khan (c D I Gower),11.0,2/56,,50.17,3.51,11,29.33
,,,,Majid Khan (b),,,,,,12,
13.0,11/01/1983,Australia,Sydney Cricket Ground,A R Border (b),10.0,3/28,,44.13,3.44,13,25.33
,,,,R W Marsh (c †R W Taylor),,,,,,14,
,,,,J R Thomson (b),,,,,,15,
14.0,13/01/1983,New Zealand,Melbourne Cricket Ground,,10.0,0/46,,48.13,3.54,,28.40
15.0,15/01/1983,New Zealand,Brisbane Cricket Ground,,10.0,0/42,,52.13,3.59,,31.20
16.0,16/01/1983,Australia,Brisbane Cricket Ground,,6.0,0/25,,54.53,3.62,,32.87
17.0,20/01/1983,New Zealand,Sydney Cricket Ground,B L Cairns (c D I Gower),10.0,1/51,,54.88,3.72,16,34.00
18.0,23/01/1983,Australia,Melbourne Cricket Ground,,8.0,0/42,,57.88,3.80,,36.63
19.0,19/02/1983,New Zealand,Eden Park,B A Edgar (c R D Jackman),10.0,1/33,,58.00,3.77,17,36.41
20.0,23/02/1983,New Zealand,Basin Reserve,J G Wright (b),10.0,1/51,,58.11,3.84,18,37.22
21.0,26/02/1983,New Zealand,AMI Stadium,G P Howarth (lbw),7.0,1/32,,57.26,3.87,19,36.95
22.0,31/05/1984,West Indies,Old Trafford,P J L Dujon (c M W Gatting),11.0,3/32,,52.45,3.82,20,33.36
,,,,H A Gomes (b),,,,,,21,
,,,,C H Lloyd (c D R Pringle),,,,,,22,
23.0,02/06/1984,West Indies,Trent Bridge,C H Lloyd (c D R Pringle),10.0,2/44,,50.58,3.85,23,32.42
,,,,I V A Richards (c D R Pringle),,,,,,24,
24.0,04/06/1984,West Indies,Lord's,D L Haynes (c D W Randall),9.0,1/35,,50.72,3.85,25,32.52
