0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,12/01/2007,Australia,Melbourne Cricket Ground,M L Hayden (c †P A Nixon),10.0,1/46,,60.00,4.60,1,46.00
2.0,16/01/2007,New Zealand,Bellerive Oval,D L Vettori (lbw),10.0,1/36,,60.00,4.10,2,41.00
3.0,23/01/2007,New Zealand,Adelaide Oval,L R P L Taylor (c P D Collingwood),9.0,1/44,,58.00,4.34,3,42.00
4.0,26/01/2007,Australia,Adelaide Oval,,5.0,0/19,,68.00,4.26,,48.33
5.0,30/01/2007,New Zealand,WACA Ground,C D McMillan (st †P A Nixon),10.0,2/35,,52.80,4.09,4,36.00
,,,,B B McCullum (c A J Strauss),,,,,,5,
6.0,02/02/2007,Australia,Sydney Cricket Ground,N W Bracken (b),10.0,1/64,,54.00,4.52,6,40.67
7.0,06/02/2007,New Zealand,Brisbane Cricket Ground,L Vincent (c A Flintoff),8.0,1/38,,53.14,4.55,7,40.29
8.0,09/02/2007,Australia,Melbourne Cricket Ground,R T Ponting (c P D Collingwood),10.0,2/44,,48.00,4.53,8,36.22
,,,,B J Hodge (lbw),,,,,,9,
9.0,11/02/2007,Australia,Sydney Cricket Ground,,2.0,0/15,,49.33,4.61,,37.89
10.0,16/03/2007,New Zealand,Darren Sammy National Cricket Stadium,C D McMillan (c J W M Dalrymple),10.0,1/47,,50.40,4.62,10,38.80
11.0,18/03/2007,Canada,Darren Sammy National Cricket Stadium,A M Samad (lbw),10.0,1/35,,51.27,4.50,11,38.45
12.0,24/03/2007,Kenya,Darren Sammy National Cricket Stadium,,8.0,0/28,,55.64,4.42,,41.00
13.0,30/03/2007,Ireland,Providence Stadium,A C Botha (c A Flintoff),10.0,2/31,,51.69,4.30,12,37.08
,,,,K J O'Brien (lbw),,,,,,13,
14.0,04/04/2007,Sri Lanka,Sir Vivian Richards Stadium,,8.0,0/45,,55.38,4.39,,40.54
15.0,08/04/2007,Australia,Sir Vivian Richards Stadium,,9.0,0/48,,59.54,4.46,,44.23
16.0,11/04/2007,Bangladesh,Kensington Oval,Mohammad Rafique (c A J Strauss),7.0,3/25,,51.00,4.41,14,37.50
,,,,Mashrafe Mortaza (b),,,,,,15,
,,,,Abdur Razzak (c P D Collingwood),,,,,,16,
17.0,17/04/2007,South Africa,Kensington Oval,,2.0,0/24,,51.75,4.52,,39.00
18.0,01/07/2007,West Indies,Lord's,D B Powell (lbw),8.0,1/29,,51.53,4.47,17,38.41
19.0,07/07/2007,West Indies,Trent Bridge,,6.0,0/28,,53.65,4.48,,40.06
20.0,21/08/2007,India,The Rose Bowl,R P Singh (b),10.0,1/47,,54.00,4.49,18,40.44
21.0,27/08/2007,India,Edgbaston,Z Khan (b),10.0,1/49,,54.32,4.52,19,40.89
22.0,30/08/2007,India,Old Trafford,M S Dhoni (b),10.0,1/39,,54.60,4.48,20,40.80
23.0,02/09/2007,India,Headingley,S C Ganguly (c A N Cook),8.0,1/50,,54.29,4.56,21,41.24
24.0,05/09/2007,India,Kennington Oval,S R Tendulkar (c P D Collingwood),10.0,1/55,,54.55,4.61,22,41.86
25.0,08/09/2007,India,Lord's,Z Khan (b),8.0,1/28,,54.26,4.56,23,41.26
26.0,13/10/2007,Sri Lanka,R Premadasa Stadium,J Mubarak (c R S Bopara),10.0,1/31,,54.50,4.50,24,40.83
