0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,28/11/2004,Zimbabwe,Harare Sports Club,27*,27,,,0,,1,1,,,,24 years 154 days
2.0,01/12/2004,Zimbabwe,Harare Sports Club,77*,104,,,0,,1,2,,,,24 years 157 days
3.0,04/12/2004,Zimbabwe,Queens Sports Club,-,104,,,0,,,2,,,,24 years 160 days
4.0,05/12/2004,Zimbabwe,Queens Sports Club,0,104,104.00,0/22,0,,1,3,,,,24 years 161 days
5.0,30/01/2005,South Africa,Wanderers Stadium,22*,126,126.00,,0,,1,4,,,,24 years 217 days
6.0,02/02/2005,South Africa,Mangaung Oval,108*,234,234.00,,0,,,4,,,,24 years 220 days
7.0,04/02/2005,South Africa,St George's Park,33,267,133.50,,0,,1,5,,,,24 years 222 days
8.0,06/02/2005,South Africa,Newlands,75,342,114.00,,0,,,5,,,,24 years 224 days
9.0,09/02/2005,South Africa,Buffalo Park,100*,442,147.33,,0,,1,6,,,,24 years 227 days
10.0,11/02/2005,South Africa,Kingsmead,-,442,147.33,,0,,,6,,,,24 years 229 days
11.0,13/02/2005,South Africa,SuperSport Park,116,558,139.50,,0,,,6,,,,24 years 231 days
12.0,16/06/2005,Bangladesh,Kennington Oval,-,558,139.50,,0,,1,7,,,,24 years 354 days
13.0,19/06/2005,Australia,County Ground (Bristol),91*,649,162.25,,0,,1,8,,,,24 years 357 days
14.0,21/06/2005,Bangladesh,Trent Bridge,-,649,162.25,,0,,,8,,,,24 years 359 days
15.0,23/06/2005,Australia,Riverside Ground,19,668,133.60,,0,,,8,,,,24 years 361 days
16.0,26/06/2005,Bangladesh,Headingley,23,691,115.17,,0,,,8,,,,24 years 364 days
17.0,28/06/2005,Australia,Edgbaston,-,691,115.17,,0,,2,10,,,,25 years 0 days
18.0,02/07/2005,Australia,Lord's,6,697,99.57,,0,,1,11,,,,25 years 4 days
19.0,07/07/2005,Australia,Headingley,-,697,99.57,,0,,2,13,,,,25 years 9 days
20.0,10/07/2005,Australia,Lord's,15,712,89.00,,0,,1,14,,,,25 years 12 days
21.0,12/07/2005,Australia,Kennington Oval,74,786,87.33,,0,,,14,,,,25 years 14 days
22.0,05/10/2005,Australia,Etihad Stadium,2,788,78.80,,0,,1,15,,,,25 years 99 days
23.0,07/10/2005,Australia,Etihad Stadium,16,804,73.09,,0,,,15,,,,25 years 101 days
24.0,10/12/2005,Pakistan,Gaddafi Stadium,56,860,71.67,,0,,,15,,,,25 years 165 days
25.0,12/12/2005,Pakistan,Gaddafi Stadium,28,888,68.31,,0,,,15,,,,25 years 167 days
26.0,28/03/2006,India,Arun Jaitley Stadium,46,934,66.71,,0,,1,16,,,,25 years 273 days
27.0,31/03/2006,India,Nahar Singh Stadium,71,1005,67.00,,0,,,16,,,,25 years 276 days
28.0,06/04/2006,India,Nehru Stadium (Kochi),77,1082,67.63,,0,,,16,,,,25 years 282 days
29.0,12/04/2006,India,Keenan Stadium,33,1115,65.59,1/4,1,26.00,,16,,,,25 years 288 days
30.0,15/04/2006,India,Holkar Cricket Stadium,64,1179,65.50,,1,26.00,,16,,,,25 years 291 days
31.0,17/06/2006,Sri Lanka,Lord's,10,1189,62.58,,1,26.00,1,17,,,,25 years 354 days
32.0,20/06/2006,Sri Lanka,Kennington Oval,73,1262,63.10,0/26,1,52.00,1,18,,,,25 years 357 days
33.0,24/06/2006,Sri Lanka,Riverside Ground,6,1268,60.38,,1,52.00,,18,,,,25 years 361 days
34.0,30/08/2006,Pakistan,Sophia Gardens,2,1270,57.73,,1,52.00,,18,,,,26 years 63 days
35.0,02/09/2006,Pakistan,Lord's,17,1287,55.96,,1,52.00,1,19,,,,26 years 66 days
36.0,05/09/2006,Pakistan,The Rose Bowl,20,1307,54.46,0/23,1,75.00,,19,,,,26 years 69 days
37.0,08/09/2006,Pakistan,Trent Bridge,41*,1348,56.17,0/16,1,91.00,,19,,,,26 years 72 days
38.0,10/09/2006,Pakistan,Edgbaston,34,1382,55.28,,1,91.00,,19,,,,26 years 74 days
39.0,15/10/2006,India,Sawai Mansingh Stadium,27,1409,54.19,,1,91.00,1,20,,,,26 years 109 days
40.0,21/10/2006,Australia,Sawai Mansingh Stadium,1,1410,52.22,,1,91.00,,20,,,,26 years 115 days
41.0,28/10/2006,West Indies,Sardar Patel Stadium,90*,1500,55.56,,1,91.00,,20,,,,26 years 122 days
42.0,12/01/2007,Australia,Melbourne Cricket Ground,82,1582,56.50,,1,91.00,,20,,,,26 years 198 days
43.0,16/03/2007,New Zealand,Darren Sammy National Cricket Stadium,60,1642,56.62,0/2,1,93.00,,20,,,,26 years 261 days
44.0,18/03/2007,Canada,Darren Sammy National Cricket Stadium,5,1647,54.90,,1,93.00,1,21,,,,26 years 263 days
45.0,24/03/2007,Kenya,Darren Sammy National Cricket Stadium,56*,1703,56.77,,1,93.00,,21,,,,26 years 269 days
46.0,30/03/2007,Ireland,Providence Stadium,48,1751,56.48,,1,93.00,,21,,,,26 years 275 days
47.0,04/04/2007,Sri Lanka,Sir Vivian Richards Stadium,58,1809,56.53,,1,93.00,1,22,,,,26 years 280 days
48.0,08/04/2007,Australia,Sir Vivian Richards Stadium,104,1913,57.97,,1,93.00,,22,,,,26 years 284 days
49.0,11/04/2007,Bangladesh,Kensington Oval,10,1923,56.56,,1,93.00,,22,,,,26 years 287 days
50.0,17/04/2007,South Africa,Kensington Oval,3,1926,55.03,,1,93.00,,22,,,,26 years 293 days
51.0,21/04/2007,West Indies,Kensington Oval,100,2026,56.28,,1,93.00,,22,,,,26 years 297 days
52.0,01/07/2007,West Indies,Lord's,33,2059,55.65,,1,93.00,,22,,,,27 years 3 days
53.0,04/07/2007,West Indies,Edgbaston,9,2068,54.42,,1,93.00,,22,,,,27 years 6 days
54.0,07/07/2007,West Indies,Trent Bridge,0,2068,53.03,,1,93.00,1,23,,,,27 years 9 days
55.0,21/08/2007,India,The Rose Bowl,33*,2101,53.87,,1,93.00,,23,,,,27 years 54 days
56.0,24/08/2007,India,County Ground (Bristol),25,2126,53.15,,1,93.00,,23,,,,27 years 57 days
57.0,27/08/2007,India,Edgbaston,9,2135,52.07,,1,93.00,,23,,,,27 years 60 days
58.0,30/08/2007,India,Old Trafford,18,2153,51.26,1/6,2,49.50,,23,,,,27 years 63 days
59.0,02/09/2007,India,Headingley,0,2153,50.07,0/7,2,53.00,,23,,,,27 years 66 days
60.0,05/09/2007,India,Kennington Oval,53,2206,50.14,,2,53.00,1,24,,,,27 years 69 days
61.0,08/09/2007,India,Lord's,71*,2277,51.75,,2,53.00,,24,,,,27 years 72 days
62.0,01/10/2007,Sri Lanka,Rangiri Dambulla International Stadium,1,2278,50.62,,2,53.00,,24,,,,27 years 95 days
63.0,04/10/2007,Sri Lanka,Rangiri Dambulla International Stadium,12,2290,49.78,,2,53.00,1,25,,,,27 years 98 days
64.0,07/10/2007,Sri Lanka,Rangiri Dambulla International Stadium,8,2298,48.89,,2,53.00,,25,,,,27 years 101 days
65.0,10/10/2007,Sri Lanka,R Premadasa Stadium,63*,2361,50.23,,2,53.00,2,27,,,,27 years 104 days
66.0,13/10/2007,Sri Lanka,R Premadasa Stadium,28,2389,49.77,,2,53.00,1,28,,,,27 years 107 days
67.0,09/02/2008,New Zealand,Westpac Stadium,6,2395,48.88,,2,53.00,,28,,,,27 years 226 days
68.0,12/02/2008,New Zealand,Seddon Park,29,2424,48.48,,2,53.00,,28,,,,27 years 229 days
69.0,15/02/2008,New Zealand,Eden Park,41,2465,48.33,,2,53.00,,28,,,,27 years 232 days
70.0,20/02/2008,New Zealand,McLean Park,50,2515,48.37,,2,53.00,1,29,,,,27 years 237 days
71.0,23/02/2008,New Zealand,AMI Stadium,39,2554,48.19,,2,53.00,,29,,,,27 years 240 days
72.0,15/06/2008,New Zealand,Riverside Ground,110*,2664,50.26,,2,53.00,,29,,,,27 years 353 days
73.0,18/06/2008,New Zealand,Edgbaston,13,2677,49.57,,2,53.00,,29,,,,27 years 356 days
74.0,21/06/2008,New Zealand,County Ground (Bristol),4,2681,48.75,,2,53.00,2,31,,,,27 years 359 days
75.0,25/06/2008,New Zealand,Kennington Oval,0,2681,47.88,,2,53.00,,31,,,,27 years 363 days
76.0,27/06/2008,New Zealand,Lord's,6,2687,47.14,,2,53.00,,31,,,,28 years 0 days
77.0,18/08/2008,Scotland,Grange Cricket Club,-,2687,47.14,0/6,2,56.00,,31,,,,28 years 52 days
78.0,22/08/2008,South Africa,Headingley,90*,2777,48.72,2/22,4,33.50,,31,,,,28 years 56 days
79.0,26/08/2008,South Africa,Trent Bridge,-,2777,48.72,,4,33.50,,31,,,,28 years 60 days
