0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,25/05/1991,West Indies,Old Trafford,6*,6,,,0,,,0,,,,21 years 261 days
2.0,27/05/1991,West Indies,Lord's,0*,6,,,0,,,0,,,,21 years 263 days
3.0,05/03/1994,West Indies,Queen's Park Oval,31,37,37.00,,0,,1,1,,,,24 years 181 days
4.0,06/03/1994,West Indies,Queen's Park Oval,10,47,23.50,,0,,2,3,,,,24 years 182 days
5.0,24/05/1995,West Indies,Trent Bridge,32,79,26.33,,0,,,3,,,,25 years 260 days
6.0,26/05/1995,West Indies,Kennington Oval,16,95,23.75,,0,,1,4,,,,25 years 262 days
7.0,28/05/1995,West Indies,Lord's,29*,124,31.00,,0,,,4,,,,25 years 264 days
8.0,11/01/1996,South Africa,Mangaung Oval,1,125,25.00,0/14,0,,1,5,,,,26 years 127 days
9.0,13/01/1996,South Africa,Wanderers Stadium,27,152,25.33,,0,,,5,,,,26 years 129 days
10.0,14/01/1996,South Africa,SuperSport Park,32,184,26.29,,0,,,5,,,,26 years 130 days
11.0,01/04/1998,West Indies,Kensington Oval,29,213,26.63,,0,,1,6,,,,28 years 208 days
12.0,04/04/1998,West Indies,Arnos Vale Ground,1,214,23.78,,0,,,6,,,,28 years 211 days
13.0,08/04/1998,West Indies,Queen's Park Oval,51,265,26.50,,0,,,6,,,,28 years 215 days
14.0,03/10/2001,Zimbabwe,Harare Sports Club,35,300,27.27,3/28,3,14.00,1,7,,,,32 years 28 days
15.0,06/10/2001,Zimbabwe,Harare Sports Club,6*,306,27.82,1/21,4,15.75,,7,,,,32 years 31 days
16.0,07/10/2001,Zimbabwe,Harare Sports Club,47,353,29.42,0/30,4,23.25,,7,,,,32 years 32 days
17.0,10/10/2001,Zimbabwe,Queens Sports Club,17,370,28.46,0/15,4,27.00,,7,,,,32 years 35 days
18.0,13/10/2001,Zimbabwe,Queens Sports Club,6,376,26.86,,4,27.00,1,8,,,,32 years 38 days
