0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,2,2,0,0,0,0,18,20,10.00,60.61,2,0
Brisbane Cricket Ground,2,1,0,0,0,0,7,7,7.00,77.78,2,0
Edgbaston,1,1,0,0,0,0,16,16,16.00,43.24,2,0
Gandhi Stadium,1,1,0,0,0,1,0,0,0.00,,0,0
Headingley,1,1,0,0,0,0,8,8,8.00,72.73,1,0
Kennington Oval,1,0,0,0,0,0,0,0,,,0,0
Melbourne Cricket Ground,2,2,1,0,0,0,14*,22,22.00,37.29,1,0
Old Trafford,1,0,0,0,0,0,0,0,,,0,0
Sardar Vallabhai Patel Stadium,1,0,0,0,0,0,0,0,,,0,0
Sharjah Cricket Stadium,3,1,1,0,0,0,14*,14,,107.69,3,0
Sinhalese Sports Club Ground,1,1,0,0,0,0,3,3,3.00,60.00,1,0
Sydney Cricket Ground,1,1,0,0,0,0,3,3,3.00,60.00,1,1
Trent Bridge,1,1,0,0,0,1,0,0,0.00,,0,0
WACA Ground,4,4,1,0,1,1,50,61,20.33,74.39,3,0
Overall (14),22,16,3,0,1,3,50,154,11.85,58.33,16,1
