0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Adelaide Oval,2.0,0,9,0,0,,,,4.50
Brisbane Cricket Ground,16.0,0,77,4,0,2/31,19.25,24.00,4.81
County Ground (Bristol),5.0,0,9,2,0,2/9,4.50,15.00,1.80
Edgbaston,14.0,0,60,1,0,1/20,60.00,84.00,4.29
Hagley Oval,7.0,0,42,1,0,1/27,42.00,42.00,6.00
Headingley,3.0,0,17,0,0,,,,5.67
Himachal Pradesh Cricket Association Stadium,5.0,0,34,0,0,0/34,,,6.80
Kennington Oval,19.0,0,134,0,0,,,,7.05
Lord's,18.0,0,107,3,0,3/52,35.67,36.00,5.94
Maharashtra Cricket Association Stadium,3.0,0,22,0,0,0/22,,,7.33
Mahinda Rajapaksha International Cricket Stadium,2.0,0,22,1,0,1/22,22.00,12.00,11.00
Melbourne Cricket Ground,3.0,0,22,1,0,1/11,22.00,18.00,7.33
Nehru Stadium (Kochi),2.0,0,5,0,0,0/5,,,2.50
Old Trafford,5.0,0,45,0,0,,,,9.00
Pallekele International Cricket Stadium,6.0,0,25,0,0,,,,4.17
Punjab Cricket Association IS Bindra Stadium,5.0,0,24,0,0,0/24,,,4.80
R Premadasa Stadium,13.0,0,63,0,0,,,,4.85
Riverside Ground,14.0,0,60,0,0,,,,4.29
Saurashtra Cricket Association Stadium,9.0,0,51,0,0,0/51,,,5.67
Seddon Park,2.0,0,16,0,0,,,,8.00
Sheikh Zayed Stadium,3.0,0,12,0,0,,,,4.00
Sir Vivian Richards Stadium,22.0,2,117,4,0,2/15,29.25,33.00,5.32
Sophia Gardens,8.0,0,47,0,0,,,,5.88
Sydney Cricket Ground,8.4,0,60,0,0,,,,6.92
The Rose Bowl,24.0,0,166,4,0,2/27,41.50,36.00,6.92
Trent Bridge,14.0,0,99,1,0,1/34,99.00,84.00,7.07
Westpac Stadium,3.0,0,19,0,0,,,,6.33
Overall (27),235.4,2,1364,22,0,3/52,62.00,64.27,5.79
