0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,09/01/1996,South Africa,Newlands,c B M McMillan b S M Pollock,3,6,50.00,,3,3.00,50.00
2,11/01/1996,South Africa,Mangaung Oval,did not bat,-,-,-,,3,3.00,50.00
3,18/02/1996,United Arab Emirates,Arbab Niaz Stadium,retired ill,27*,31,87.10,,30,30.00,81.08
4,22/02/1996,Netherlands,Arbab Niaz Stadium,c N E Clarke b F Jansen,31,33,93.94,,61,30.50,87.14
5,25/02/1996,South Africa,Rawalpindi Cricket Stadium,b P S De Villiers,11,24,45.83,,72,24.00,76.60
6,23/05/1996,India,Kennington Oval,c S R Tendulkar b P L Mhambrey,17,11,154.55,,89,22.25,84.76
7,26/05/1996,India,Old Trafford,c & b B K V Prasad,11,27,40.74,,100,20.00,75.76
No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,No. of Innings Played = 6,,
