0,1,2,3,4,5,6,7,8,9,10,11,12
Ground,Mat,Inns,NO,100s,50s,0s,HS,Runs,Avg,S/R,Ca,St
Adelaide Oval,2,2,1,0,0,0,8,13,13.00,37.14,0,0
AMI Stadium,2,2,0,0,2,0,85,150,75.00,90.36,2,0
Arnos Vale Ground,1,1,0,0,0,0,18,18,18.00,51.43,2,0
Arun Jaitley Stadium,1,1,1,0,1,0,81*,81,,68.07,0,0
Barabati Stadium,1,1,0,0,0,0,19,19,19.00,51.35,0,0
Basin Reserve,2,2,0,0,0,0,38,76,38.00,55.47,1,0
Bourda,2,2,0,0,0,0,18,19,9.50,37.25,0,0
Brisbane Cricket Ground,2,2,0,0,0,0,41,47,23.50,58.02,0,0
Buffalo Park,1,1,0,0,0,1,0,0,0.00,,1,0
Captain Roop Singh Stadium,3,3,0,1,2,0,129,266,88.67,81.85,1,0
Carisbrook,1,1,0,0,0,0,17,17,17.00,45.95,0,0
Eastern Oval,1,1,0,0,0,0,19,19,19.00,48.72,1,0
Eden Park,2,2,1,0,1,0,61*,96,96.00,84.21,0,0
Edgbaston,2,2,1,1,0,0,167*,182,182.00,90.55,0,0
Green Park,1,1,0,0,0,1,0,0,0.00,,0,0
Headingley,2,2,0,1,0,0,128,134,67.00,77.46,0,0
Iqbal Stadium,1,1,0,0,0,0,25,25,25.00,60.98,1,0
Keenan Stadium,1,1,0,0,0,0,17,17,17.00,62.96,0,0
Kennington Oval,3,3,0,0,0,0,9,21,7.00,55.26,2,0
Kensington Oval,2,2,0,0,1,0,69,81,40.50,75.70,2,0
Kingsmead,1,1,0,0,0,0,8,8,8.00,33.33,0,0
Lal Bahadur Shastri Stadium,1,1,1,0,0,0,24*,24,,68.57,0,0
Lavington Sports Oval,1,1,0,0,0,0,2,2,2.00,15.38,0,0
Lord's,4,4,0,0,1,0,85,116,29.00,63.39,1,0
M Chinnaswamy Stadium,1,1,0,0,0,0,29,29,29.00,58.00,0,0
Melbourne Cricket Ground,3,3,0,0,0,1,8,15,5.00,30.61,2,0
National Stadium (Karachi),1,1,0,0,1,0,75,75,75.00,81.52,0,0
Old Trafford,3,3,1,0,1,0,85*,129,64.50,82.17,2,0
Queen's Park Oval,4,3,1,0,0,0,45,55,27.50,57.89,2,0
R Premadasa Stadium,1,1,0,0,0,0,3,3,3.00,14.29,0,0
Sabina Park,2,2,0,0,1,0,56,99,49.50,70.71,3,0
Sawai Mansingh Stadium,1,1,0,0,0,0,16,16,16.00,41.03,0,0
Sector 16 Stadium,1,1,0,0,0,0,42,42,42.00,39.62,0,0
St George's Park,1,1,0,0,0,0,21,21,21.00,47.73,0,0
SuperSport Park,1,1,0,0,1,0,63,63,63.00,70.00,0,0
Sydney Cricket Ground,3,3,1,0,0,0,30*,35,17.50,46.05,1,0
Trent Bridge,3,3,0,1,1,0,103,183,61.00,98.39,0,0
Tyronne Fernando Stadium,1,1,0,0,0,0,31,31,31.00,64.58,0,0
Vidarbha Cricket Association Ground,1,1,0,0,1,0,55,55,55.00,96.49,1,0
WACA Ground,3,3,0,0,1,1,91,128,42.67,74.85,0,0
Wanderers Stadium,1,1,0,0,0,0,9,9,9.00,36.00,1,0
Overall (41),71,70,8,4,15,4,167*,2419,39.02,69.65,26,0
