0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,06/12/1994,Australia,Sydney Cricket Ground,0,0,0.00,0/22,0,,,0,,,,24 years 355 days
2.0,09/01/1996,South Africa,Newlands,5,5,2.50,2/31,2,26.50,,0,,,,26 years 23 days
3.0,11/01/1996,South Africa,Mangaung Oval,-,5,2.50,0/37,2,45.00,,0,,,,26 years 25 days
4.0,13/01/1996,South Africa,Wanderers Stadium,34,39,13.00,1/26,3,38.67,,0,,,,26 years 27 days
5.0,14/01/1996,South Africa,SuperSport Park,19,58,14.50,0/42,3,52.67,,0,,,,26 years 28 days
6.0,17/01/1996,South Africa,Kingsmead,16,74,14.80,1/40,4,49.50,,0,,,,26 years 31 days
7.0,19/01/1996,South Africa,Buffalo Park,6,80,13.33,2/18,6,36.00,,0,,,,26 years 33 days
8.0,21/01/1996,South Africa,St George's Park,20,100,14.29,2/27,8,30.38,,0,,,,26 years 35 days
9.0,14/02/1996,New Zealand,Sardar Patel Stadium,13,113,14.13,0/21,8,33.00,,0,,,,26 years 59 days
10.0,18/02/1996,United Arab Emirates,Arbab Niaz Stadium,-,113,14.13,0/2,8,33.25,,0,,,,26 years 63 days
11.0,01/01/1997,Zimbabwe,Harare Sports Club,4,117,13.00,0/39,8,38.13,,0,,,,27 years 16 days
12.0,03/01/1997,Zimbabwe,Harare Sports Club,0,117,11.70,1/39,9,38.22,,0,,,,27 years 18 days
13.0,26/02/1997,New Zealand,McLean Park,38,155,14.09,4/37,13,29.31,1,1,,,,27 years 72 days
14.0,02/03/1997,New Zealand,Eden Park,32,187,15.58,1/21,14,28.71,1,2,,,,27 years 76 days
15.0,04/03/1997,New Zealand,Basin Reserve,0,187,14.38,1/44,15,29.73,,2,,,,27 years 78 days
16.0,23/01/2000,South Africa,Mangaung Oval,-,187,14.38,3/45,18,27.28,,2,,,,30 years 37 days
17.0,26/01/2000,South Africa,Newlands,6,193,13.79,1/36,19,27.74,,2,,,,30 years 40 days
18.0,28/01/2000,Zimbabwe,Newlands,18,211,14.07,1/45,20,28.60,,2,,,,30 years 42 days
19.0,30/01/2000,Zimbabwe,Diamond Oval,-,211,14.07,0/44,20,30.80,,2,,,,30 years 44 days
20.0,13/02/2000,South Africa,Wanderers Stadium,16,227,14.19,0/38,20,32.70,1,3,,,,30 years 58 days
21.0,16/02/2000,Zimbabwe,Queens Sports Club,0,227,13.35,3/29,23,29.70,,3,,,,30 years 61 days
22.0,18/02/2000,Zimbabwe,Queens Sports Club,26,253,14.06,5/21,28,25.14,,3,,,,30 years 63 days
23.0,20/02/2000,Zimbabwe,Harare Sports Club,27*,280,15.56,1/35,29,25.48,1,4,,,,30 years 65 days
24.0,09/07/2000,West Indies,Lord's,10,290,15.26,,29,25.48,,4,,,,30 years 205 days
25.0,13/07/2000,Zimbabwe,Old Trafford,-,290,15.26,2/13,31,24.26,,4,,,,30 years 209 days
26.0,15/07/2000,West Indies,Riverside Ground,-,290,15.26,1/23,32,24.22,1,5,,,,30 years 211 days
27.0,18/07/2000,Zimbabwe,Edgbaston,21,311,15.55,3/34,35,23.11,1,6,,,,30 years 214 days
28.0,20/07/2000,West Indies,Trent Bridge,19,330,15.71,3/35,38,22.21,1,7,,,,30 years 216 days
29.0,22/07/2000,Zimbabwe,Lord's,-,330,15.71,2/46,40,22.25,1,8,,,,30 years 218 days
30.0,05/10/2000,Bangladesh,Gymkhana Club Ground,-,330,15.71,2/45,42,22.26,,8,,,,30 years 293 days
31.0,10/10/2000,South Africa,Gymkhana Club Ground,3,333,15.14,1/40,43,22.67,,8,,,,30 years 298 days
32.0,24/10/2000,Pakistan,National Stadium (Karachi),0*,333,15.14,2/69,45,23.20,,8,,,,30 years 312 days
33.0,27/10/2000,Pakistan,Gaddafi Stadium,0,333,14.48,0/43,45,24.16,,8,,,,30 years 315 days
34.0,30/10/2000,Pakistan,Rawalpindi Cricket Stadium,0,333,13.88,1/30,46,24.28,,8,,,,30 years 318 days
35.0,23/03/2001,Sri Lanka,Rangiri Dambulla International Stadium,0,333,13.32,1/17,47,24.13,,8,,,,31 years 97 days
36.0,25/03/2001,Sri Lanka,R Premadasa Stadium,0,333,12.81,0/55,47,25.30,,8,,,,31 years 99 days
37.0,27/03/2001,Sri Lanka,Sinhalese Sports Club Ground,4,337,12.48,0/18,47,25.68,,8,,,,31 years 101 days
38.0,13/02/2002,New Zealand,AMI Stadium,0,337,12.04,1/36,48,25.90,1,9,,,,32 years 59 days
39.0,16/02/2002,New Zealand,Westpac Stadium,11,348,12.00,2/53,50,25.92,,9,,,,32 years 62 days
40.0,20/02/2002,New Zealand,McLean Park,-,348,12.00,0/15,50,26.22,1,10,,,,32 years 66 days
41.0,23/02/2002,New Zealand,Eden Park,3*,351,12.10,1/44,51,26.57,,10,,,,32 years 69 days
42.0,26/02/2002,New Zealand,Carisbrook,17,368,12.27,2/30,53,26.13,,10,,,,32 years 72 days
43.0,13/12/2002,Australia,Sydney Cricket Ground,15,383,12.35,0/33,53,26.75,,10,,,,32 years 362 days
44.0,15/12/2002,Australia,Melbourne Cricket Ground,57*,440,14.19,1/56,54,27.30,1,11,,,,32 years 364 days
45.0,17/12/2002,Sri Lanka,Brisbane Cricket Ground,1,441,13.78,1/48,55,27.67,,11,,,,33 years 0 days
46.0,20/12/2002,Sri Lanka,WACA Ground,48,489,14.82,1/25,56,27.63,,11,,,,33 years 3 days
47.0,16/02/2003,Netherlands,Buffalo Park,-,489,14.82,2/22,58,27.05,1,12,,,,33 years 61 days
48.0,19/02/2003,Namibia,St George's Park,35,524,15.41,2/46,60,26.92,,12,,,,33 years 64 days
49.0,22/02/2003,Pakistan,Newlands,15,539,15.40,3/33,63,26.16,,12,,,,33 years 67 days
50.0,26/02/2003,India,Kingsmead,13,552,15.33,1/57,64,26.64,,12,,,,33 years 71 days
51.0,02/03/2003,Australia,St George's Park,16*,568,15.78,1/21,65,26.55,,12,,,,33 years 75 days
