0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,08/05/2015,Ireland,The Village,did not bat,-,-,-,,0,,
2,14/06/2015,New Zealand,The Rose Bowl,c B B McCullum b M J Henry,8,9,88.89,,8,8.00,88.89
3,17/06/2015,New Zealand,Trent Bridge,did not bat,-,-,-,,8,8.00,88.89
4,20/06/2015,New Zealand,Riverside Ground,c M J Santner b B M Wheeler,7,9,77.78,,15,7.50,83.33
5,11/09/2015,Australia,Headingley,not out,12*,9,133.33,,27,13.50,100.00
6,12/09/2015,Australia,Old Trafford,lbw b M R Marsh,0,2,0.00,,27,9.00,93.10
7,11/11/2015,Pakistan,Sheikh Zayed Stadium,b Mohammad Irfan,13,24,54.17,,40,10.00,75.47
8,13/11/2015,Pakistan,Sheikh Zayed Stadium,did not bat,-,-,-,,40,10.00,75.47
9,17/11/2015,Pakistan,Sharjah Cricket Stadium,did not bat,-,-,-,,40,10.00,75.47
10,20/11/2015,Pakistan,Dubai International Cricket Stadium,did not bat,-,-,-,,40,10.00,75.47
11,03/02/2016,South Africa,Mangaung Oval,not out,5*,5,100.00,,45,11.25,77.59
12,06/02/2016,South Africa,St George's Park,did not bat,-,-,-,,45,11.25,77.59
13,09/02/2016,South Africa,SuperSport Park,not out,13*,7,185.71,,58,14.50,89.23
14,21/06/2016,Sri Lanka,Trent Bridge,c B K G Mendis b M F Maharoof,7,12,58.33,,65,13.00,84.42
15,24/06/2016,Sri Lanka,Edgbaston,did not bat,-,-,-,,65,13.00,84.42
16,26/06/2016,Sri Lanka,County Ground (Bristol),did not bat,-,-,-,,65,13.00,84.42
17,29/06/2016,Sri Lanka,Kennington Oval,did not bat,-,-,-,,65,13.00,84.42
18,02/07/2016,Sri Lanka,Sophia Gardens,did not bat,-,-,-,,65,13.00,84.42
19,01/09/2016,Pakistan,Headingley,not out,4*,8,50.00,,69,13.80,81.18
20,04/09/2016,Pakistan,Sophia Gardens,c Mohammad Nawaz b Hasan Ali,6,15,40.00,,75,12.50,75.00
21,07/10/2016,Bangladesh,Shere Bangla National Stadium,not out,0*,1,0.00,,75,12.50,74.26
22,09/10/2016,Bangladesh,Shere Bangla National Stadium,lbw b Mosaddeck Hossain,9,31,29.03,,84,12.00,63.64
23,15/01/2017,India,Maharashtra Cricket Association Stadium,not out,10*,5,200.00,,94,13.43,68.61
24,19/01/2017,India,Barabati Stadium,not out,5*,4,125.00,,99,14.14,70.21
25,22/01/2017,India,Eden Gardens,did not bat,-,-,-,,99,14.14,70.21
26,05/05/2017,Ireland,County Ground (Bristol),did not bat,-,-,-,,99,14.14,70.21
27,07/05/2017,Ireland,Lord's,not out,1*,1,100.00,,100,14.29,70.42
28,29/05/2017,South Africa,Lord's,c J-P Duminy b W D Parnell,26,39,66.67,,126,15.75,69.61
29,19/09/2017,West Indies,Old Trafford,did not bat,-,-,-,,126,15.75,69.61
30,21/09/2017,West Indies,Trent Bridge,did not bat,-,-,-,,126,15.75,69.61
31,24/09/2017,West Indies,County Ground (Bristol),not out,1*,3,33.33,,127,15.88,69.02
32,28/01/2018,Australia,Optus Stadium,c M R Marsh b A J Tye,2,6,33.33,,129,14.33,67.89
33,25/02/2018,New Zealand,Seddon Park,not out,11*,9,122.22,,140,15.56,70.35
34,28/02/2018,New Zealand,Bay Oval,did not bat,-,-,-,,140,15.56,70.35
35,10/06/2018,Scotland,Grange Cricket Club,c †M H Cross b A C Evans,7,4,175.00,,147,14.70,72.41
36,13/06/2018,Australia,Kennington Oval,not out,35*,41,85.37,,182,18.20,74.59
37,16/06/2018,Australia,Sophia Gardens,c & b K W Richardson,11,10,110.00,,193,17.55,75.98
38,19/06/2018,Australia,Trent Bridge,not out,1*,1,100.00,,194,17.64,76.08
39,21/06/2018,Australia,Riverside Ground,did not bat,-,-,-,,194,17.64,76.08
40,12/07/2018,India,Trent Bridge,c K L Rahul b Kuldeep Yadav,1,4,25.00,,195,16.25,75.29
41,14/07/2018,India,Lord's,run out,50,31,161.29,,245,18.85,84.48
42,17/07/2018,India,Headingley,did not bat,-,-,-,,245,18.85,84.48
43,03/05/2019,Ireland,The Village,c M R Adair b J B Little,20,38,52.63,,265,18.93,80.79
44,11/05/2019,Pakistan,The Rose Bowl,did not bat,-,-,-,,265,18.93,80.79
45,14/05/2019,Pakistan,County Ground (Bristol),did not bat,-,-,-,,265,18.93,80.79
46,19/05/2019,Pakistan,Headingley,b Shaheen Shah Afridi,14,11,127.27,,279,18.60,82.30
No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,No. of Innings Played = 27,,
