0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Aggr,Avg,S/R
1,08/11/2014,Papua New Guinea,Tony Ireland Stadium,c C J A Amini b P Raho,42,62,67.74,,42,42.00,67.74
2,09/11/2014,Papua New Guinea,Tony Ireland Stadium,b N Vanua,29,40,72.50,,71,35.50,69.61
3,16/11/2015,United Arab Emirates,ICC Global Cricket Academy,did not bat,-,-,-,,71,35.50,69.61
4,18/11/2015,United Arab Emirates,ICC Global Cricket Academy,not out,37*,31,119.35,,108,54.00,81.20
5,26/01/2016,Scotland,Mission Road,c P L Mommsen b R M L Taylor,4,6,66.67,,112,37.33,80.58
6,08/09/2016,Scotland,Grange Cricket Club,b C D de Lange,12,18,66.67,,124,31.00,78.98
7,10/09/2016,Scotland,Grange Cricket Club,c M A Leask b C B Sole,25,40,62.50,,149,29.80,75.63
8,04/11/2016,Papua New Guinea,Mission Road,b C A Soper,44,46,95.65,,193,32.17,79.42
9,06/11/2016,Papua New Guinea,Mission Road,b C A Soper,3,11,27.27,,196,28.00,77.17
10,08/11/2016,Papua New Guinea,Mission Road,did not bat,-,-,-,,196,28.00,77.17
11,22/01/2017,Scotland,Sheikh Zayed Stadium,did not bat,-,-,-,,196,28.00,77.17
12,26/01/2017,United Arab Emirates,Dubai International Cricket Stadium,c †Ghulam Shabber b Imran Haider,1,6,16.67,,197,24.63,75.77
13,06/12/2017,Papua New Guinea,ICC Global Cricket Academy,not out,13*,9,144.44,,210,26.25,78.07
14,08/12/2017,Papua New Guinea,ICC Global Cricket Academy,did not bat,-,-,-,,210,26.25,78.07
15,06/03/2018,Scotland,Bulawayo Athletic Club,c M R J Watt b A C Evans,17,27,62.96,,227,25.22,76.69
16,08/03/2018,Afghanistan,Bulawayo Athletic Club,b Mujeeb Ur Rahman,5,24,20.83,,232,23.20,72.50
17,10/03/2018,Zimbabwe,Queens Sports Club,lbw b T L Chatara,1,6,16.67,,233,21.18,71.47
18,16/09/2018,Pakistan,Dubai International Cricket Stadium,b Usman Shinwari,27,47,57.45,,260,21.67,69.71
19,18/09/2018,India,Dubai International Cricket Stadium,lbw b Y S Chahal,0,1,0.00,,260,20.00,69.52
No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,No. of Innings Played = 15,,
