0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Bayuemas Oval,3.0,0,19,1,0,1/19,19.00,18.00,6.33
Bulawayo Athletic Club,15.0,2,81,2,0,2/24,40.50,45.00,5.40
Dubai International Cricket Stadium,15.0,0,96,1,0,1/50,96.00,90.00,6.40
ICC Global Cricket Academy,19.0,0,110,6,1,4/54,18.33,19.00,5.79
Kinrara Academy Oval,9.3,1,28,1,0,1/28,28.00,57.00,2.95
Old Hararians Sports Club,8.0,0,50,1,0,1/50,50.00,48.00,6.25
Queens Sports Club,9.0,0,47,4,1,4/47,11.75,13.50,5.22
Sheikh Zayed Stadium,7.0,0,27,0,0,0/27,,,3.86
Overall (8),85.3,3,458,16,2,4/47,28.63,32.06,5.36
