0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,Progressive,Progressive,Progressive,Progressive
,,,,,,,,,,,
,Date,Versus,Ground,Batsman Dismissed,Overs,Wickets,,S/R,E/R,Wkts,Avg
1.0,18/07/2004,Pakistan,Sinhalese Sports Club Ground,,10.0,0/63,,,6.30,,
2.0,24/06/2008,Pakistan,National Stadium (Karachi),Mohammad Yousuf (c Afzaal Haider),9.0,4/51,,28.50,6.00,1,28.50
,,,,Shahid Afridi (c & b),,,,,,2,
,,,,Younis Khan (st †J J Atkinson ),,,,,,3,
,,,,Misbah-ul-Haq (lbw),,,,,,4,
3.0,25/06/2008,India,National Stadium (Karachi),,8.0,0/52,,40.50,6.15,,41.50
4.0,01/05/2014,Afghanistan,Bayuemas Oval,,10.0,0/34,,55.50,5.41,,50.00
5.0,04/05/2014,United Arab Emirates,Kinrara Academy Oval,,6.0,0/32,,64.50,5.40,,58.00
6.0,08/11/2014,Papua New Guinea,Tony Ireland Stadium,,7.0,0/19,,75.00,5.02,,62.75
7.0,09/11/2014,Papua New Guinea,Tony Ireland Stadium,M D Dai (c Aizaz Khan),10.0,2/38,,60.00,4.82,5,48.17
,,,,C J A Amini (st †J J Atkinson ),,,,,,6,
8.0,16/11/2015,United Arab Emirates,ICC Global Cricket Academy,Shaiman Anwar (b),7.0,2/36,,50.25,4.85,7,40.63
,,,,Y Punja (lbw),,,,,,8,
9.0,18/11/2015,United Arab Emirates,ICC Global Cricket Academy,Ahmed Raza (c & b),10.0,3/32,,42.00,4.64,9,32.45
,,,,Abdul Shakoor (c M S Chapman),,,,,,10,
,,,,Umair Ali (c Babar Hayat),,,,,,11,
10.0,26/01/2016,Scotland,Mission Road,A C Evans (c K D Shah),8.1,4/26,,34.07,4.50,12,25.53
,,,,J H Davey (c Tanwir Afzal),,,,,,13,
,,,,S M Sharif (st †J J Atkinson ),,,,,,14,
,,,,R M L Taylor (c Anshuman Rath),,,,,,15,
11.0,08/09/2016,Scotland,Grange Cricket Club,M H Cross (b),4.0,1/20,,33.44,4.52,16,25.19
12.0,10/09/2016,Scotland,Grange Cricket Club,M H Cross (c †C Carter),10.0,1/37,,35.00,4.44,17,25.88
13.0,04/11/2016,Papua New Guinea,Mission Road,T P Ura (c Nizakat Khan),9.0,3/37,,32.45,4.41,18,23.85
,,,,N Vanua (c Anshuman Rath),,,,,,19,
,,,,H Hiri (b),,,,,,20,
14.0,06/11/2016,Papua New Guinea,Mission Road,T P Ura (st †J J Atkinson ),10.0,4/50,,29.54,4.46,21,21.96
,,,,L Siaka (lbw),,,,,,22,
,,,,V V Morea (st †J J Atkinson ),,,,,,23,
,,,,J B Reva (c Babar Hayat),,,,,,24,
15.0,08/11/2016,Papua New Guinea,Mission Road,D Bau (c & b),10.0,1/37,,30.76,4.40,25,22.56
16.0,22/01/2017,Scotland,Sheikh Zayed Stadium,C S MacLeod (c Aizaz Khan),10.0,4/33,,28.59,4.32,26,20.59
,,,,J H Davey (c Shahid Wasif),,,,,,27,
,,,,M R J Watt (lbw),,,,,,28,
,,,,C B Sole (b),,,,,,29,
17.0,26/01/2017,United Arab Emirates,Dubai International Cricket Stadium,,10.0,0/38,,30.66,4.29,,21.90
18.0,06/12/2017,Papua New Guinea,ICC Global Cricket Academy,M D Dai (c Nizakat Khan),10.0,2/32,,30.61,4.22,30,21.52
,,,,K Doriga (lbw),,,,,,31,
19.0,08/12/2017,Papua New Guinea,ICC Global Cricket Academy,T P Ura (lbw),9.0,2/36,,30.39,4.21,32,21.30
,,,,J N T Vare (b),,,,,,33,
20.0,06/03/2018,Scotland,Bulawayo Athletic Club,,10.0,0/36,,32.21,4.17,,22.39
21.0,08/03/2018,Afghanistan,Bulawayo Athletic Club,Najibullah Zadran (lbw),10.0,2/37,,32.09,4.15,34,22.17
,,,,Sharafuddin Ashraf (b),,,,,,35,
22.0,10/03/2018,Zimbabwe,Queens Sports Club,S F Mire (lbw),10.0,1/49,,32.86,4.18,36,22.92
23.0,17/03/2018,Papua New Guinea,Old Hararians Sports Club,A Vala (c †S S McKechnie),10.0,2/41,,32.71,4.18,37,22.79
,,,,S Bau (b),,,,,,38,
24.0,16/09/2018,Pakistan,Dubai International Cricket Stadium,,4.0,0/27,,33.34,4.23,,23.50
25.0,18/09/2018,India,Dubai International Cricket Stadium,,10.0,0/39,,34.92,4.21,,24.53
