0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,06/12/1980,Australia,Melbourne Cricket Ground,0,0,0.00,2/23,2,11.50,,0,,,,25 years 140 days
2.0,09/12/1980,New Zealand,WACA Ground,14,14,7.00,4/41,6,10.67,,0,,,,25 years 143 days
3.0,18/12/1980,Australia,Sydney Cricket Ground,31,45,15.00,0/29,6,15.50,,0,,,,25 years 152 days
4.0,23/12/1980,New Zealand,Adelaide Oval,4,49,12.25,0/47,6,23.33,,0,,,,25 years 157 days
5.0,08/01/1981,Australia,Sydney Cricket Ground,16,65,13.00,0/13,6,25.50,1,1,,,,25 years 173 days
6.0,10/01/1981,New Zealand,Melbourne Cricket Ground,5*,70,14.00,0/23,6,29.33,,1,,,,25 years 175 days
7.0,11/01/1981,Australia,Melbourne Cricket Ground,21,91,15.17,0/42,6,36.33,,1,,,,25 years 176 days
8.0,15/01/1981,Australia,Sydney Cricket Ground,34,125,17.86,1/45,7,37.57,1,2,,,,25 years 180 days
9.0,18/01/1981,New Zealand,Brisbane Cricket Ground,35,160,20.00,0/25,7,41.14,,2,,,,25 years 183 days
10.0,14/02/1981,New Zealand,Eden Park,12,172,19.11,0/26,7,44.86,1,3,,,,25 years 210 days
11.0,15/02/1981,New Zealand,Seddon Park,18,190,19.00,1/38,8,44.00,,3,,,,25 years 211 days
12.0,25/11/1981,England,Sardar Vallabhai Patel Stadium,2*,192,19.20,3/35,11,35.18,1,4,,,,26 years 129 days
13.0,12/09/1982,Sri Lanka,Gandhi Sports Complex Ground,16,208,18.91,0/33,11,38.18,1,5,,,,27 years 55 days
14.0,15/09/1982,Sri Lanka,Arun Jaitley Stadium,10,218,18.17,3/39,14,32.79,,5,,,,27 years 58 days
15.0,26/09/1982,Sri Lanka,M Chinnaswamy Stadium,15,233,17.92,1/54,15,34.20,,5,,,,27 years 69 days
16.0,09/06/1983,West Indies,Old Trafford,27,260,18.57,3/48,18,31.17,,5,,,,27 years 325 days
17.0,11/06/1983,Zimbabwe,Grace Road,-,260,18.57,2/25,20,29.30,,5,,,,27 years 327 days
18.0,13/06/1983,Australia,Trent Bridge,0,260,17.33,1/52,21,30.38,,5,,,,27 years 329 days
19.0,15/06/1983,West Indies,Kennington Oval,1,261,16.31,3/71,24,29.54,,5,,,,27 years 331 days
20.0,18/06/1983,Zimbabwe,Nevill Ground,22,283,16.65,2/45,26,29.00,,5,,,,27 years 334 days
21.0,20/06/1983,Australia,County Ground (Chelmsford),21,304,16.89,4/29,30,26.10,1,6,,,,27 years 336 days
22.0,22/06/1983,England,Old Trafford,-,304,16.89,2/43,32,25.81,,6,,,,27 years 338 days
23.0,25/06/1983,West Indies,Lord's,2,306,16.11,1/23,33,25.73,1,7,,,,27 years 341 days
24.0,10/09/1983,Pakistan,Lal Bahadur Shastri Stadium,0*,306,16.11,2/34,35,25.23,,7,,,,28 years 53 days
25.0,02/10/1983,Pakistan,Sawai Mansingh Stadium,11*,317,16.68,1/38,36,25.58,,7,,,,28 years 75 days
26.0,13/10/1983,West Indies,Sher-I-Kashmir Stadium,10,327,16.35,0/26,36,26.31,,7,,,,28 years 86 days
27.0,09/11/1983,West Indies,Moti Bagh Stadium,22*,349,17.45,0/16,36,26.75,,7,,,,28 years 113 days
28.0,01/12/1983,West Indies,Nehru Stadium (Indore),12,361,17.19,0/26,36,27.47,,7,,,,28 years 135 days
29.0,07/12/1983,West Indies,Keenan Stadium,12*,373,17.76,0/17,36,27.94,,7,,,,28 years 141 days
30.0,17/12/1983,West Indies,Nehru Stadium (Guwahati),33,406,18.45,0/35,36,28.92,,7,,,,28 years 151 days
31.0,08/04/1984,Sri Lanka,Sharjah Cricket Stadium,-,406,18.45,0/25,36,29.61,,7,,,,28 years 264 days
32.0,13/04/1984,Pakistan,Sharjah Cricket Stadium,-,406,18.45,3/33,39,28.18,,7,,,,28 years 269 days
33.0,03/10/1984,Australia,Keenan Stadium,-,406,18.45,,39,28.18,,7,,,,29 years 76 days
34.0,05/10/1984,Australia,Sardar Patel Stadium,57,463,20.13,0/21,39,28.72,,7,,,,29 years 78 days
35.0,06/10/1984,Australia,Nehru Stadium (Indore),37,500,20.83,,39,28.72,,7,,,,29 years 79 days
36.0,12/10/1984,Pakistan,Ayub National Stadium,19,519,20.76,,39,28.72,,7,,,,29 years 85 days
37.0,31/10/1984,Pakistan,Jinnah Stadium (Sialkot),-,519,20.76,,39,28.72,,7,,,,29 years 104 days
38.0,05/12/1984,England,Nehru Stadium (Pune),0*,519,20.76,1/43,40,29.08,,7,,,,29 years 139 days
39.0,27/12/1984,England,Barabati Stadium,2,521,20.04,2/48,42,28.83,,7,,,,29 years 161 days
40.0,20/02/1985,Pakistan,Melbourne Cricket Ground,-,521,20.04,4/35,46,27.09,,7,,,,29 years 216 days
41.0,26/02/1985,England,Sydney Cricket Ground,2,523,19.37,1/33,47,27.21,,7,,,,29 years 222 days
42.0,03/03/1985,Australia,Melbourne Cricket Ground,-,523,19.37,3/27,50,26.12,,7,,,,29 years 227 days
43.0,05/03/1985,New Zealand,Sydney Cricket Ground,-,523,19.37,1/28,51,26.16,,7,,,,29 years 229 days
44.0,22/03/1985,Pakistan,Sharjah Cricket Stadium,8,531,18.96,1/24,52,26.12,,7,,,,29 years 246 days
45.0,29/03/1985,Australia,Sharjah Cricket Stadium,2,533,18.38,0/25,52,26.60,,7,,,,29 years 253 days
46.0,21/09/1985,Sri Lanka,P Sara Oval,-,533,18.38,1/42,53,26.89,,7,,,,30 years 64 days
47.0,22/09/1985,Sri Lanka,P Sara Oval,8*,541,18.66,,53,26.89,,7,,,,30 years 65 days
48.0,17/11/1985,Pakistan,Sharjah Cricket Stadium,11,552,18.40,1/36,54,27.06,,7,,,,30 years 121 days
49.0,22/11/1985,West Indies,Sharjah Cricket Stadium,-,552,18.40,0/36,54,27.72,,7,,,,30 years 126 days
50.0,11/01/1986,New Zealand,Brisbane Cricket Ground,-,552,18.40,1/29,55,27.75,,7,,,,30 years 176 days
51.0,12/01/1986,Australia,Brisbane Cricket Ground,8,560,18.06,3/38,58,26.97,,7,,,,30 years 177 days
52.0,16/01/1986,Australia,Melbourne Cricket Ground,-,560,18.06,2/39,60,26.72,,7,,,,30 years 181 days
53.0,18/01/1986,New Zealand,WACA Ground,1,561,17.53,1/25,61,26.69,,7,,,,30 years 183 days
54.0,21/01/1986,Australia,Sydney Cricket Ground,-,561,17.53,0/48,61,27.48,,7,,,,30 years 186 days
55.0,23/01/1986,New Zealand,Melbourne Cricket Ground,11,572,17.33,0/31,61,27.98,,7,,,,30 years 188 days
56.0,25/01/1986,New Zealand,Adelaide Oval,-,572,17.33,2/13,63,27.30,,7,,,,30 years 190 days
57.0,31/01/1986,Australia,Melbourne Cricket Ground,-,572,17.33,0/24,63,27.68,,7,,,,30 years 196 days
58.0,02/02/1986,New Zealand,North Tasmania Cricket Association Ground,24,596,17.53,3/26,66,26.82,2,9,,,,30 years 198 days
59.0,05/02/1986,Australia,Sydney Cricket Ground,16,612,17.49,0/30,66,27.27,,9,,,,30 years 201 days
60.0,09/02/1986,Australia,Melbourne Cricket Ground,4,616,17.11,0/13,66,27.47,,9,,,,30 years 205 days
61.0,10/04/1986,New Zealand,Sharjah Cricket Stadium,-,616,17.11,0/12,66,27.65,,9,,,,30 years 265 days
62.0,24/05/1986,England,Kennington Oval,-,616,17.11,2/38,68,27.40,1,10,,,,30 years 309 days
63.0,26/05/1986,England,Old Trafford,-,616,17.11,2/47,70,27.29,1,11,,,,30 years 311 days
64.0,07/09/1986,Australia,Sawai Mansingh Stadium,-,616,17.11,0/41,70,27.87,,11,,,,31 years 50 days
65.0,09/09/1986,Australia,Sher-I-Kashmir Stadium,11*,627,17.42,2/25,72,27.44,,11,,,,31 years 52 days
66.0,02/10/1986,Australia,Arun Jaitley Stadium,-,627,17.42,2/75,74,27.72,,11,,,,31 years 75 days
67.0,05/10/1986,Australia,Sardar Patel Stadium,1,628,16.97,0/27,74,28.08,,11,,,,31 years 78 days
68.0,27/11/1986,Sri Lanka,Sharjah Cricket Stadium,-,628,16.97,2/42,76,27.89,,11,,,,31 years 131 days
69.0,30/11/1986,West Indies,Sharjah Cricket Stadium,1*,629,17.00,0/41,76,28.43,1,12,,,,31 years 134 days
70.0,05/12/1986,Pakistan,Sharjah Cricket Stadium,0,629,16.55,0/32,76,28.86,,12,,,,31 years 139 days
71.0,18/02/1987,Pakistan,Eden Gardens,-,629,16.55,0/21,76,29.13,,12,,,,31 years 214 days
72.0,09/10/1987,Australia,MA Chidambaram Stadium,0,629,16.13,1/46,77,29.35,,12,,,,32 years 82 days
