0,1,2,3,4,5,6,7,8,9
Ground,O,M,R,W,4w,Best,Avg,S/R,E/R
Arun Jaitley Stadium,20.0,0,74,3,0,3/35,24.67,40.00,3.70
Barabati Stadium,9.0,0,81,2,0,2/81,40.50,27.00,9.00
Brabourne Stadium,8.0,1,25,0,0,0/25,,,3.13
Dr YS Rajasekhara Reddy Cricket Stadium,13.0,1,55,2,0,1/16,27.50,39.00,4.23
Dubai International Cricket Stadium,34.5,4,128,8,0,3/37,16.00,26.13,3.67
Eden Gardens,17.0,2,107,1,0,1/68,107.00,102.00,6.29
Edgbaston,35.0,3,161,7,1,4/55,23.00,30.00,4.60
Green Park,10.0,0,47,3,0,3/47,15.67,20.00,4.70
Greenfield International Stadium,6.0,1,11,2,0,2/11,5.50,18.00,1.83
Harare Sports Club,25.5,3,77,9,2,4/22,8.56,17.22,2.98
Headingley,10.0,2,37,3,0,3/37,12.33,20.00,3.70
Himachal Pradesh Cricket Association Stadium,15.0,2,61,1,0,1/32,61.00,90.00,4.07
Holkar Cricket Stadium,10.0,0,52,2,0,2/52,26.00,30.00,5.20
JSCA International Stadium Complex,10.0,0,53,0,0,0/53,,,5.30
Kennington Oval,37.0,1,209,5,0,3/61,41.80,44.40,5.65
Kingsmead,10.0,0,56,1,0,1/56,56.00,60.00,5.60
MA Chidambaram Stadium,4.0,0,20,1,0,1/20,20.00,24.00,5.00
Maharashtra Cricket Association Stadium,30.0,3,152,8,1,4/35,19.00,22.50,5.07
Newlands,7.0,0,32,2,0,2/32,16.00,21.00,4.57
Old Trafford,24.0,2,100,3,0,2/9,33.33,48.00,4.17
Pallekele International Cricket Stadium,20.0,4,70,9,2,5/27,7.78,13.33,3.50
Punjab Cricket Association IS Bindra Stadium,28.3,0,158,7,0,3/63,22.57,24.43,5.54
R Premadasa Stadium,17.0,0,77,4,0,2/32,19.25,25.50,4.53
Rajiv Gandhi International Stadium,10.0,0,60,2,0,2/60,30.00,30.00,6.00
Rangiri Dambulla International Stadium,6.2,0,22,2,0,2/22,11.00,19.00,3.47
St George's Park,7.0,0,22,1,0,1/22,22.00,42.00,3.14
SuperSport Park,13.0,2,36,3,0,2/24,12.00,26.00,2.77
Sydney Cricket Ground,10.0,0,40,2,0,2/40,20.00,30.00,4.00
The Rose Bowl,20.0,2,74,4,0,2/35,18.50,30.00,3.70
Vidarbha Cricket Association Stadium,20.0,2,80,4,0,2/29,20.00,30.00,4.00
Wanderers Stadium,5.0,0,21,1,0,1/21,21.00,30.00,4.20
Wankhede Stadium,9.0,0,56,1,0,1/56,56.00,54.00,6.22
Overall (32),501.3,35,2254,103,6,5/27,21.88,29.21,4.49
