0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Date,Versus,Ground,Batting,Batting,Batting,Bowling,Bowling,Bowling,Fielding,Fielding,Keeping,Keeping,Keeping,Age
,Date,Versus,Ground,Runs,Aggr,Avg,Wkts,Aggr,Avg,Ca,Agg,Ca,St,Agg,Age
1.0,12/05/2007,Bangladesh,Shere Bangla National Stadium,1,1,1.00,3/37,3,12.33,,0,,,,18 years 138 days
2.0,23/06/2007,Ireland,Civil Service Cricket Club,-,1,1.00,3/29,6,11.00,,0,,,,18 years 180 days
3.0,26/06/2007,South Africa,Civil Service Cricket Club,2*,3,3.00,3/47,9,12.56,,0,,,,18 years 183 days
4.0,29/06/2007,South Africa,Civil Service Cricket Club,-,3,3.00,0/41,9,17.11,,0,,,,18 years 186 days
5.0,01/07/2007,South Africa,Civil Service Cricket Club,-,3,3.00,0/28,9,20.22,,0,,,,18 years 188 days
6.0,16/08/2007,Scotland,Titwood,-,3,3.00,2/42,11,20.36,3,3,,,,18 years 234 days
7.0,21/08/2007,England,The Rose Bowl,2,5,2.50,0/42,11,24.18,,3,,,,18 years 239 days
8.0,24/08/2007,England,County Ground (Bristol),1*,6,3.00,3/60,14,23.29,,3,,,,18 years 242 days
9.0,27/08/2007,England,Edgbaston,1,7,2.33,1/50,15,25.07,1,4,,,,18 years 245 days
10.0,30/08/2007,England,Old Trafford,13*,20,6.67,0/43,15,27.93,1,5,,,,18 years 248 days
11.0,02/09/2007,England,Headingley,-,20,6.67,1/31,16,28.13,,5,,,,18 years 251 days
12.0,05/09/2007,England,Kennington Oval,-,20,6.67,1/44,17,29.06,,5,,,,18 years 254 days
13.0,08/09/2007,England,Lord's,0,20,5.00,0/44,17,31.65,,5,,,,18 years 257 days
14.0,02/03/2008,Australia,Sydney Cricket Ground,-,20,5.00,0/33,17,33.59,1,6,,,,19 years 68 days
15.0,04/03/2008,Australia,Brisbane Cricket Ground,6*,26,6.50,0/45,17,36.24,2,8,,,,19 years 70 days
16.0,10/06/2008,Pakistan,Shere Bangla National Stadium,0*,26,6.50,4/40,21,31.24,1,9,,,,19 years 168 days
17.0,12/06/2008,Bangladesh,Shere Bangla National Stadium,-,26,6.50,1/42,22,31.73,,9,,,,19 years 170 days
18.0,14/06/2008,Pakistan,Shere Bangla National Stadium,2,28,5.60,0/85,22,35.59,,9,,,,19 years 172 days
19.0,25/06/2008,Hong Kong,National Stadium (Karachi),-,28,5.60,4/23,26,31.00,,9,,,,19 years 183 days
20.0,26/06/2008,Pakistan,National Stadium (Karachi),-,28,5.60,1/52,27,31.78,,9,,,,19 years 184 days
21.0,02/07/2008,Pakistan,National Stadium (Karachi),-,28,5.60,1/53,28,32.54,,9,,,,19 years 190 days
22.0,23/01/2011,South Africa,SuperSport Park,8,36,6.00,0/32,28,33.68,,9,,,,22 years 29 days
23.0,27/02/2011,England,M Chinnaswamy Stadium,2,38,5.43,2/71,30,33.80,,9,,,,22 years 64 days
24.0,06/03/2011,Ireland,M Chinnaswamy Stadium,-,38,5.43,0/56,30,35.67,,9,,,,22 years 71 days
25.0,09/03/2011,Netherlands,Arun Jaitley Stadium,-,38,5.43,2/47,32,34.91,,9,,,,22 years 74 days
